new_index,s_time,e_time,delta_time,old_index
0,20760,23379,0,150
1,21360,23979,600,150
2,21600,23858,0,123
3,21600,22838,0,53
4,21600,24726,0,30
5,21600,24540,0,93
6,21600,25275,0,133
7,21600,24406,0,13
8,21600,25111,0,134
9,21600,24359,0,104
10,21600,25364,0,10
11,21600,24200,0,106
12,21600,24346,0,97
13,21600,24168,0,82
14,21600,24120,0,120
15,21600,23614,0,155
16,21600,23974,0,23
17,21600,24375,0,98
18,21600,24112,0,22
19,21600,25635,0,114
20,21600,24745,0,67
21,21600,24298,0,64
22,21600,24436,0,65
23,21600,24182,0,41
24,21600,24046,0,40
25,21600,23495,0,20
26,21600,24396,0,117
27,21600,24677,0,118
28,21600,23818,0,60
29,21600,24382,0,96
30,21600,23764,0,124
31,21600,24304,0,61
32,21660,24240,0,99
33,21660,24488,0,92
34,21660,25022,0,119
35,21660,24369,0,103
36,21660,25733,0,113
37,21660,24566,0,66
38,21660,24917,0,107
39,21780,24665,0,19
40,21900,24075,0,68
41,21900,25039,0,69
42,21960,24579,1200,150
43,22020,25382,360,119
44,22080,26115,480,114
45,22080,24862,480,96
46,22080,24660,420,99
47,22140,24886,540,97
48,22140,24652,540,22
49,22140,24514,540,23
50,22200,25592,0,135
51,22200,24953,0,95
52,22200,25564,0,109
53,22200,25809,0,136
54,22200,26475,0,145
55,22200,26408,0,146
56,22200,25096,0,31
57,22200,24800,600,106
58,22200,25447,0,74
59,22200,25943,0,139
60,22260,24424,660,124
61,22260,24609,0,110
62,22260,25035,660,98
63,22260,24518,660,123
64,22320,25148,660,92
65,22320,25831,720,134
66,22320,26393,660,113
67,22380,25084,780,61
68,22380,25126,780,97
69,22440,26115,840,133
70,22440,25236,840,117
71,22440,25566,840,30
72,22440,24335,840,20
73,22440,25380,840,93
74,22500,24603,0,21
75,22500,23797,0,156
76,22500,25198,900,64
77,22500,25068,900,82
78,22500,25862,840,119
79,22500,25209,840,103
80,22560,25817,900,107
81,22560,25080,960,120
82,22560,25466,900,66
83,22560,25179,1800,150
84,22620,26229,420,136
85,22620,26655,1020,114
86,22620,26012,420,135
87,22620,25477,0,105
88,22680,25516,1080,65
89,22680,25462,1080,96
90,22740,25252,1140,22
91,22740,25114,1140,23
92,22740,26504,1140,10
93,22740,25636,540,31
94,22800,26291,0,130
95,22800,26408,0,129
96,22800,24038,1200,53
97,22800,25380,1140,99
98,22800,24299,0,100
99,22800,27075,600,145
100,22800,25901,0,11
101,22800,25546,1200,97
102,22800,24973,0,81
103,22860,25635,1260,98
104,22860,25306,1260,40
105,22920,24487,0,101
106,22920,25679,1320,104
107,22920,25673,720,95
108,22920,25178,1320,123
109,22980,26125,1380,67
110,22980,27015,1380,114
111,22980,25144,1380,124
112,23040,26402,1380,119
113,23040,26551,1440,134
114,23040,25868,1380,92
115,23040,25659,2280,150
116,23040,25622,1440,41
117,23040,25620,1380,99
118,23100,26492,900,135
119,23100,26709,900,136
120,23100,25896,1500,117
121,23100,27173,1440,113
122,23100,25114,1500,155
123,23100,25701,0,149
124,23160,27368,960,146
125,23160,25864,1560,61
126,23160,25942,1560,96
127,23220,26077,600,105
128,23280,27023,1080,139
129,23280,26026,1680,97
130,23280,25880,1680,106
131,23280,27555,1080,145
132,23340,26236,1140,31
133,23340,26704,1140,109
134,23340,25852,1740,22
135,23340,25689,1080,110
136,23340,27015,1740,133
137,23340,26417,1740,118
138,23340,26146,1740,13
139,23400,25618,1800,60
140,23400,24881,0,132
141,23400,27501,0,159
