new_index,s_time,e_time,delta_time,old_index
0,21000,25516,0,6
1,21000,26586,0,2
2,21600,25312,0,9
3,21600,26355,0,7
4,21600,25249,0,24
5,21600,22931,0,4
6,21600,25145,0,25
7,21600,23412,0,5
8,21600,24059,0,3
9,21600,24994,0,14
10,21600,26326,0,11
11,21600,24863,0,15
12,21600,25799,0,10
13,21600,25753,0,8
14,21900,25106,0,19
15,21900,25126,0,18
16,22200,27304,0,13
17,22200,26716,1200,6
18,22200,24706,0,16
19,22200,27786,1200,2
20,22200,24575,0,17
21,22500,26149,900,24
22,22500,26045,900,25
23,22800,26512,1200,9
24,22800,26999,1200,10
25,22800,26063,1200,15
26,22800,26953,1200,8
27,22800,28279,0,20
28,22800,28311,0,12
29,22800,27526,1200,11
30,22800,28792,0,21
31,22800,26194,1200,14
32,22800,27555,1200,7
33,22800,25259,1200,3
34,23100,24930,0,0
35,23100,26306,1200,19
36,23100,26326,1200,18
37,23100,24798,0,1
38,23400,28504,1200,13
39,23400,27291,0,22
40,23400,27916,2400,6
41,23400,25906,1200,16
42,23400,27049,1800,24
43,23400,26945,1800,25
44,23400,25212,1800,5
45,23400,25775,1200,17
46,23400,28986,2400,2
47,23400,24731,1800,4
48,23400,27299,0,23
49,23700,29692,900,21
50,23700,29179,900,20
51,24000,29511,1200,12
52,24000,28726,2400,11
53,24000,28755,2400,7
54,24000,28199,2400,10
55,24000,26459,2400,3
56,24000,27712,2400,9
57,24000,27394,2400,14
58,24000,28153,2400,8
59,24000,27263,2400,15
60,24300,25998,1200,1
61,24300,27949,2700,24
62,24300,27845,2700,25
63,24300,27506,2400,19
64,24300,27526,2400,18
65,24300,26130,1200,0
66,24600,30186,3600,2
67,24600,30592,1800,21
68,24600,28491,1200,22
69,24600,26975,2400,17
70,24600,27106,2400,16
71,24600,29704,2400,13
72,24600,29116,3600,6
73,24600,30079,1800,20
74,24600,28499,1200,23
75,25200,28745,3600,25
76,25200,30797,2400,12
77,25200,29609,3600,8
78,25200,30043,3600,11
79,25200,29531,3600,10
80,25200,28849,3600,24
81,25200,31084,3600,7
82,25200,28465,3600,15
83,25200,26554,3600,4
84,25200,29132,3600,9
85,25200,28742,3600,14
86,25200,27659,3600,3
87,25200,27012,3600,5
88,25500,31037,2700,20
