new_index,s_time,e_time,delta_time,old_index
0,19800,23160,0,146
1,19800,23581,0,139
2,19800,22327,0,35
3,20400,22411,0,81
4,21300,24660,1500,146
5,21480,26903,0,102
6,21600,23097,0,135
7,21600,23109,0,136
8,21600,28049,0,9
9,21600,26780,0,150
10,21600,25755,0,7
11,21600,26956,0,1
12,21600,26797,0,147
13,21600,26776,0,0
14,21600,24516,0,12
15,21600,24389,0,13
16,21600,26491,0,8
17,21600,25923,0,141
18,21600,25223,0,39
19,21600,25204,0,38
20,21600,24932,0,55
21,21600,25419,0,54
22,21600,24156,0,144
23,21600,24231,0,143
24,21600,26430,0,142
25,21600,23188,0,158
26,21600,25673,0,148
27,21600,25332,0,6
28,21600,26975,0,103
29,21600,25659,0,93
30,21600,25359,0,95
31,21600,26422,0,11
32,21600,26334,0,10
33,21600,26239,0,3
34,21600,25999,0,2
35,21600,24440,0,111
36,21600,25954,0,113
37,21600,26135,0,112
38,21600,26733,0,149
39,22200,25507,0,125
40,22200,23524,0,160
41,22200,27623,720,102
42,22320,27695,720,103
43,22680,26393,0,140
44,22800,27691,1200,8
45,22800,25431,1200,143
46,22800,24635,0,67
47,22800,25118,0,66
48,22800,24508,0,78
49,22800,24392,0,79
50,22800,26057,0,124
51,22800,25006,0,47
52,22800,24956,0,43
53,22800,24938,0,77
54,22800,26398,0,94
55,22800,28156,1200,1
56,22800,24723,0,41
57,22800,24599,0,40
58,22800,26004,0,152
59,22800,26532,1200,6
60,22800,29249,1200,9
61,22800,25428,0,34
62,22800,24925,0,80
63,22800,24181,0,133
64,22800,26955,1200,7
65,22800,27976,1200,0
66,22800,25694,0,151
67,22800,24041,0,134
68,22800,26160,3000,146
69,22800,24596,0,76
70,22800,25301,0,52
71,22800,25456,0,25
72,22800,25356,1200,144
73,22800,25951,0,27
74,22800,23281,0,48
75,22800,25923,0,87
76,22800,26006,0,86
77,22800,25531,0,24
78,22800,25309,0,53
79,22800,23138,0,49
80,22800,25813,0,26
81,22920,28343,1440,102
82,23040,28415,1440,103
83,23100,26859,1500,95
84,23400,28576,1800,0
