new_index,s_time,e_time,delta_time,old_index
0,19200,23054,0,41
1,19200,23080,0,45
2,20700,24554,1500,41
3,21000,24880,1800,45
4,21600,25370,0,4
5,21600,25532,0,53
6,21600,25654,0,52
7,21600,24467,0,26
8,21600,26402,0,48
9,21600,25833,0,47
10,21600,24953,0,49
11,21600,24182,0,3
12,21600,24469,0,27
13,22140,25910,540,4
14,22140,24722,540,3
15,22140,25583,0,42
16,22200,26115,0,59
17,22200,26010,0,30
18,22200,26054,3000,41
19,22200,25309,0,85
20,22200,25471,0,25
21,22200,24637,0,24
22,22200,25171,0,18
23,22200,25087,0,19
24,22200,25542,0,9
25,22200,23820,0,15
26,22200,25599,0,10
27,22200,26274,0,36
28,22200,26338,0,37
29,22200,26425,0,31
30,22200,26090,0,58
31,22200,25498,0,43
32,22440,25307,840,26
33,22440,25793,840,49
34,22500,25369,900,27
35,22560,24975,0,61
36,22680,27482,1080,48
37,22740,26620,3540,45
38,22740,25322,1140,3
39,22740,26510,1140,4
40,22740,25151,0,60
41,22800,24726,0,14
42,22800,27417,0,29
43,22800,26257,0,35
44,22800,26944,0,44
45,22800,26582,0,40
46,22980,25951,780,18
47,22980,27205,780,31
48,22980,25867,780,19
49,23040,26850,840,30
50,23040,24660,840,15
51,23100,27015,900,59
52,23280,26147,1680,26
53,23280,26551,1080,25
54,23340,26693,1740,49
55,23340,27110,1740,4
56,23340,27573,1740,47
57,23340,27414,1140,36
58,23340,25922,1740,3
59,23340,27230,1140,58
60,23340,26209,1740,27
61,23340,27478,1140,37
62,23340,26783,1200,42
63,23400,25883,0,46
64,23400,27454,1800,52
65,23400,27365,0,76
66,23400,27155,0,1
67,23400,26399,0,82
68,23400,27925,0,50
69,23400,26289,0,6
70,23400,27777,0,55
71,23400,25384,0,71
72,23400,26258,0,69
73,23400,28078,0,28
74,23400,26867,0,17
75,23400,27315,0,54
76,23400,26460,0,81
77,23400,25630,0,33
78,23400,26609,0,2
79,23460,26758,1260,43
80,23460,27314,4260,41
81,23460,25871,720,60
82,23520,25935,960,61
83,23640,25566,840,14
84,23700,27632,2100,53
85,23760,26731,1560,18
86,23820,25440,1620,15
87,23880,27690,1680,30
88,23940,26377,1740,24
89,23940,27282,1740,9
90,23940,27397,1140,35
91,23940,26522,2340,3
92,23940,27339,1740,10
93,23940,27710,2340,4
94,23940,26827,1740,19
95,23940,28165,1740,31
96,24000,25909,0,73
97,24000,28802,2400,48
98,24180,28095,1980,59
99,24240,27593,2640,49
100,24240,27107,2640,26
101,24240,27109,2640,27
102,24300,28190,2100,58
103,24300,28082,1500,40
104,24420,26040,2220,15
105,24420,26831,1680,60
106,24420,28274,5220,41
107,24480,28360,5280,45
108,24480,28624,1680,44
109,24480,27923,2340,42
110,24540,29065,1140,50
111,24540,27838,2340,43
112,24540,28310,2940,4
113,24540,27811,2340,25
114,24540,27122,2940,3
115,24600,27015,2040,61
116,24600,26526,1800,14
117,24600,28674,2400,36
118,24600,27977,0,23
119,24600,28738,2400,37
120,24720,28530,2520,30
121,24780,29005,2580,31
122,24780,27191,2040,60
123,24780,27751,2580,18
124,24780,27667,2580,19
125,24840,27707,3240,26
126,25020,28935,2820,59
127,25080,29758,1680,28
128,25080,27969,1680,6
129,25080,27949,3480,27
130,25140,29757,2340,29
131,25140,28493,3540,49
132,25140,28895,1740,1
133,25140,29942,3540,48
134,25140,29030,2940,58
135,25140,27722,3540,3
136,25140,27066,2340,14
137,25200,28581,0,22
138,25200,28326,0,8
139,25200,29147,0,7
140,25200,28667,1800,17
141,25200,28326,0,5
142,25200,27462,0,84
143,25200,29372,0,75
144,25200,29098,0,57
145,25200,29495,3600,4
146,25200,29085,2400,35
147,25200,28409,1800,2
148,25200,29799,3600,52
149,25200,29831,3600,47
150,25200,28620,0,0
151,25260,26880,3060,15
152,25320,28500,3120,18
153,25380,29190,3180,30
154,25380,29487,6180,41
155,25440,29138,3240,9
156,25440,28579,3840,26
157,25440,28631,3240,19
158,25440,28181,3240,24
159,25440,29082,3240,10
160,25500,27911,2760,60
161,25500,29887,3900,53
162,25680,30174,3480,36
163,25680,30094,3480,37
164,25680,29714,2880,40
165,25740,28322,4140,3
166,25740,30035,4140,4
167,25740,29965,3540,31
168,25740,29367,3600,42
169,25740,29266,3540,43
170,25860,27480,3660,15
171,25860,29655,0,34
172,25980,29790,3780,30
173,25980,29860,6780,45
174,25980,29160,3780,18
175,26040,30671,4440,47
176,26040,29965,3840,58
177,26040,29078,2640,82
178,26040,30957,4440,48
179,26040,29479,4440,49
180,26040,29195,2640,81
181,26040,28455,3480,61
182,26100,30343,3900,59
183,26100,28026,3300,14
184,26100,29985,3300,35
185,26160,29212,4560,27
186,26160,29351,3960,19
