new_index,s_time,e_time,delta_time,old_index
0,19200,22668,0,127
1,19260,23668,0,100
2,19320,23611,0,9
3,19800,24879,0,55
4,19800,23268,0,84
5,19800,22597,0,146
6,19800,25559,0,12
7,19800,23302,0,63
8,19800,24067,0,83
9,19860,23889,0,141
10,19860,25440,0,26
11,19860,25365,0,27
12,19920,24131,0,11
13,20280,23748,480,84
14,20280,24547,480,83
15,20340,23137,540,146
16,20400,24444,0,132
17,20400,24434,0,140
18,20400,22071,0,135
19,20400,24429,540,141
20,20400,23689,0,118
21,20400,22724,0,78
22,20400,23966,0,57
23,20400,25268,0,54
24,20400,22782,0,111
25,20400,23902,600,63
26,20400,22326,0,88
27,20460,25539,660,55
28,20520,24787,720,83
29,20580,23548,0,109
30,20580,24791,660,11
31,20640,24108,840,84
32,20700,26280,840,26
33,20700,26205,840,27
34,20700,24293,0,104
35,20760,25027,960,83
36,20820,25688,420,54
37,20880,24169,480,118
38,21000,23923,0,82
39,21000,23157,0,92
40,21000,26856,0,113
41,21000,22692,0,51
42,21000,25029,1140,141
43,21000,26073,0,114
44,21000,25096,0,93
45,21000,25019,0,80
46,21000,24019,0,19
47,21000,23382,600,111
48,21000,24590,0,90
49,21000,23797,1200,146
50,21000,25571,0,34
51,21060,24231,0,128
52,21060,24528,1260,84
53,21120,23444,720,78
54,21240,26319,1440,55
55,21240,25507,1440,83
56,21300,24866,900,57
57,21300,25511,1380,11
58,21300,23226,900,88
59,21360,26940,1500,26
60,21360,26228,960,54
61,21360,24862,1560,63
62,21480,24503,0,110
63,21480,24769,1080,118
64,21540,26613,540,114
65,21540,25008,1740,84
66,21600,25429,0,94
67,21600,25093,0,71
68,21600,27122,0,13
69,21600,26281,0,45
70,21600,24861,0,74
71,21600,23474,0,3
72,21600,22965,0,5
73,21600,22901,0,1
74,21600,25025,0,151
75,21600,25634,1200,140
76,21600,25539,0,131
77,21600,23320,0,39
78,21600,25966,0,10
79,21600,24380,0,25
80,21600,23982,1200,111
81,21600,24600,0,18
82,21600,24397,1800,146
83,21600,25629,1740,141
84,21660,26565,0,8
85,21660,22170,0,102
86,21660,27165,1800,27
