new_index,s_time,e_time,delta_time,old_index
0,19800,23664,0,2
1,19800,23908,0,3
2,20760,24868,960,3
3,21420,25284,1620,2
4,21600,23314,0,48
5,21600,26246,0,26
6,21600,24044,0,65
7,21600,22740,0,106
8,21600,24088,0,86
9,21600,23051,0,108
10,21600,22892,0,24
11,21600,23606,0,1
12,21600,24025,0,62
13,21600,25012,0,61
14,21600,24375,0,42
15,21600,22907,0,109
16,21600,24524,0,57
17,21600,23612,0,82
18,21600,23390,0,12
19,21600,22701,0,7
20,21600,22718,0,8
21,21600,24816,0,116
22,21600,23922,0,117
23,21600,23967,0,91
24,21600,23962,0,90
25,21600,25147,0,121
26,21600,25014,0,120
27,21600,25964,0,122
28,21600,25828,0,123
29,21600,24737,0,93
30,21600,24395,0,58
31,21600,23545,0,79
32,21600,24381,0,41
33,21600,22977,0,23
34,21600,24939,0,52
35,21600,24093,0,18
36,21600,24194,0,27
37,21600,24202,0,28
38,21600,23382,0,99
39,21600,22910,0,98
40,21600,24650,0,34
41,21600,24029,0,59
42,21600,24085,0,84
43,21600,24553,0,33
44,21600,24128,0,85
45,21600,22816,0,94
46,21600,24346,0,19
47,21600,24614,0,20
48,21600,24627,0,38
49,21600,23927,0,16
50,21600,24406,0,37
51,21600,23188,0,10
52,21600,24284,0,64
53,21600,24301,0,63
54,21600,23931,0,105
55,21600,23432,0,6
56,21600,24299,0,31
57,21600,24396,0,81
58,21600,23891,0,29
59,21600,24532,0,30
60,21600,24377,0,54
61,21600,23134,0,100
62,21600,23155,0,9
63,21600,23603,0,22
64,21600,24277,0,53
65,21600,23275,0,47
66,21660,24408,0,80
67,21660,24986,0,51
68,21660,24383,0,13
69,21660,24024,0,74
70,21660,24020,0,75
71,21660,24319,0,0
72,21660,26417,0,25
73,21660,23521,0,49
74,21660,24060,0,104
75,21660,23548,0,77
76,21660,23525,0,21
77,21660,24227,0,15
78,21660,24064,0,87
79,21660,22380,0,103
80,21660,24187,0,17
81,21660,24809,0,92
82,21720,23682,0,78
83,21720,24168,0,66
84,21720,24734,120,20
