new_index,s_time,e_time,delta_time,old_index
0,19800,26067,0,29
1,21000,26583,0,27
2,21000,27109,0,70
3,21000,28345,0,72
4,21000,27815,0,26
5,21000,27353,0,71
6,21600,27497,0,31
7,21600,26184,0,105
8,21600,25598,0,64
9,21600,27490,0,30
10,21600,27644,0,104
11,21600,27481,0,23
12,21600,28415,0,25
13,21600,27065,0,28
14,21600,26350,0,94
15,21900,25540,0,36
16,22200,25438,0,111
17,22200,24512,0,112
18,22200,23916,0,74
19,22200,25419,0,110
20,22200,24671,0,113
21,22200,24120,0,75
22,22800,28909,1800,70
23,22800,29153,1800,71
24,22800,26732,0,33
25,22800,27231,0,93
26,23100,24816,900,74
27,23100,25020,900,75
28,23400,28150,1800,94
29,23400,27144,0,106
30,23400,25840,0,91
31,23400,29290,1800,30
32,23400,28420,0,39
33,23400,28468,0,38
34,23400,29297,1800,31
35,23400,28983,2400,27
36,24000,25716,1800,74
37,24000,29465,2400,28
38,24000,25920,1800,75
39,24000,27961,0,34
40,24600,30953,3600,71
41,24600,30709,3600,70
42,24900,26820,2700,75
43,24900,26616,2700,74
44,25200,31597,0,120
45,25200,31225,3600,31
46,25200,30783,4200,27
47,25200,31165,3600,30
48,25200,29101,0,0
49,25200,29950,3600,94
50,25800,28112,3600,112
51,25800,28774,0,114
52,25800,27516,3600,74
53,25800,28669,0,115
54,25800,27720,3600,75
55,25800,28271,3600,113
56,26400,33745,5400,72
57,26400,32509,5400,70
58,26400,31343,3600,93
59,26400,33218,5400,71
60,26400,31865,4800,28
61,26700,32589,0,24
62,26700,28416,4500,74
63,26700,28620,4500,75
64,27000,30759,0,116
65,27000,30976,0,37
66,27000,30932,4200,33
67,27000,31750,5400,94
68,27000,32965,5400,30
69,27000,31067,0,95
70,27000,33025,5400,31
71,27000,30972,3600,106
72,27000,33815,5400,25
73,27000,29363,0,101
74,27000,32583,6000,27
75,27420,33687,7620,29
76,27600,30469,1800,115
77,27600,29520,5400,75
78,27600,30574,1800,114
79,27600,29316,5400,74
80,28200,34338,0,97
81,28200,34309,7200,70
82,28200,35018,7200,71
83,28500,30420,6300,75
84,28500,30216,6300,74
85,28800,34765,7200,30
86,28800,34265,7200,28
87,28800,31976,0,100
88,28800,33550,7200,94
89,28800,33951,0,99
90,28800,34825,7200,31
91,28800,35615,7800,26
92,28800,32734,0,32
93,28800,33743,6000,93
94,29220,33218,7620,64
95,29220,33804,7620,105
96,29220,35264,7620,104
97,29400,31320,7200,75
98,29400,31116,7200,74
99,29400,32374,3600,114
100,29400,31871,7200,113
101,29400,31712,7200,112
102,29400,32269,3600,115
103,29400,34983,8400,27
104,29820,33039,7620,110
105,29820,33058,7620,111
106,30000,36109,9000,70
107,30000,36818,9000,71
108,30000,36159,0,43
109,30300,32016,8100,74
110,30300,32220,8100,75
111,30600,36565,9000,30
112,30600,35153,0,22
113,30600,36625,9000,31
114,30600,35865,0,82
115,30600,35142,0,21
116,30600,37415,9000,25
117,30600,34667,3600,95
118,30600,34270,0,107
119,30600,34572,7200,106
120,30600,34553,0,35
121,30600,35668,7200,38
122,30600,34359,0,117
123,30600,34359,3600,116
124,31200,33120,9000,75
125,31200,32916,9000,74
126,31200,33606,0,123
127,31200,34174,5400,114
128,31200,36143,8400,93
129,31200,34069,5400,115
130,31200,35950,9600,94
131,31800,37383,10800,27
132,31800,38067,12000,29
133,31800,34163,4800,101
134,31800,38618,10800,71
135,31800,37938,3600,97
136,31800,37909,10800,70
137,32100,34020,9900,75
138,32100,33816,9900,74
139,32400,39497,0,73
140,32400,38297,10800,31
141,32400,38290,10800,30
142,32400,38289,5700,24
143,32400,37420,9000,39
144,32400,36301,7200,0
145,33000,34716,10800,74
146,33000,35974,7200,114
147,33000,35312,10800,112
148,33000,35869,7200,115
149,33000,35471,10800,113
150,33000,34920,10800,75
151,33000,39393,0,121
152,33600,38031,10800,93
153,33600,39065,12000,28
154,33600,39644,12000,104
155,33600,38184,12000,105
156,33600,37270,3000,107
157,33600,37598,12000,64
158,33900,35820,11700,75
159,33900,35616,11700,74
160,34200,37584,7200,116
161,34200,40553,13200,71
162,34200,39783,13200,27
163,34200,38318,0,96
164,34200,40309,13200,70
165,34200,37944,10800,106
166,34200,38134,5400,32
167,34200,37438,12000,111
168,34200,40090,12600,30
169,34200,37419,12000,110
170,34200,40097,12600,31
171,34200,37584,3600,117
172,34800,39550,13200,94
173,34800,36720,12600,75
174,34800,37669,9000,115
175,34800,37424,0,122
176,34800,40681,13200,23
177,34800,36516,12600,74
178,34800,37774,9000,114
179,34980,40245,4380,82
180,35400,42215,14400,26
181,35400,37879,0,92
182,35700,37416,13500,74
183,35700,37620,13500,75
184,36000,41897,14400,31
185,36000,42398,0,98
186,36000,41890,14400,30
187,36000,43097,3600,73
188,36000,40431,13200,93
189,36180,42447,16380,29
190,36600,38520,14400,75
191,36600,39574,10800,114
192,36600,40270,6000,107
193,36600,38912,14400,112
194,36600,39071,14400,113
195,36600,39469,10800,115
196,36600,38316,14400,74
197,36600,42065,15000,28
198,37200,43309,16200,70
199,37200,43553,16200,71
200,37200,39563,10200,101
201,37500,39216,15300,74
202,37500,39420,15300,75
203,37800,43690,16200,30
204,37800,43697,16200,31
205,37800,41184,7200,117
206,37800,44615,16200,25
207,37800,41544,14400,106
208,37800,43383,16800,27
209,38400,40116,16200,74
210,38400,41374,12600,114
211,38400,41269,12600,115
212,38400,43150,16800,94
213,38400,40320,16200,75
214,39000,45815,18000,26
215,39000,44465,17400,28
216,39300,41016,17100,74
217,39300,41220,17100,75
218,39600,45497,18000,31
219,39600,42984,12600,116
220,39600,45490,18000,30
221,39600,44031,16800,93
222,40200,42512,18000,112
223,40200,42671,18000,113
224,40200,41916,18000,74
225,40200,42120,18000,75
226,40200,43069,14400,115
227,40200,43174,14400,114
228,40800,44184,10200,117
229,40800,44470,10200,107
230,41100,43020,18900,75
231,41100,42816,18900,74
232,41220,45804,19620,105
233,41220,47264,19620,104
234,41220,45218,19620,64
235,41400,47797,16200,120
236,41400,47297,19800,31
237,41400,44576,12600,100
238,41400,45467,14400,95
239,41400,47753,20400,71
240,41400,47290,19800,30
241,41400,47509,20400,70
242,41400,46551,12600,99
243,41820,45058,19620,111
244,41820,45039,19620,110
245,42000,44869,16200,115
246,42000,44974,16200,114
247,42000,43716,19800,74
248,42000,47583,21000,27
249,42000,46750,20400,94
250,42000,43920,19800,75
251,42000,46431,19200,93
252,42600,44963,15600,101
253,42600,47865,12000,82
254,42600,48065,21000,28
255,42900,44616,20700,74
256,42900,44820,20700,75
257,43800,46774,18000,114
258,43800,45516,21600,74
259,43800,45720,21600,75
260,43800,46669,18000,115
261,44400,50753,23400,71
262,44400,50509,23400,70
263,44400,50281,22800,23
264,44700,46416,22500,74
265,44700,46620,22500,75
266,45000,52345,24000,72
267,45000,47471,22800,113
268,45000,50890,23400,30
269,45000,50897,23400,31
270,45000,51138,16800,97
271,45000,48744,21600,106
272,45000,50583,24000,27
273,45000,47312,22800,112
274,45000,48670,14400,107
275,45600,47520,23400,75
276,45600,47316,23400,74
277,45600,48469,19800,115
278,45600,48574,19800,114
279,45600,50350,24000,94
280,46200,51665,24600,28
281,46200,53015,25200,26
282,46200,53015,24600,25
283,46500,48420,24300,75
284,46500,48216,24300,74
285,46800,52690,25200,30
286,46800,52909,25800,70
287,46800,50732,24000,33
288,46800,52697,25200,31
289,46800,53153,25800,71
290,47400,52983,26400,27
291,47400,49116,25200,74
292,47400,49320,25200,75
293,47400,50269,21600,115
294,47400,50374,21600,114
295,48300,50016,26100,74
296,48300,50220,26100,75
297,48600,54709,27600,70
298,48600,51006,17400,123
299,48600,54953,27600,71
300,48600,55415,27600,26
301,48600,51984,18000,117
302,48600,53031,25800,93
