new_index,s_time,e_time,delta_time,old_index
0,18600,22386,0,21
1,18600,22142,0,20
2,19140,22682,540,20
3,19200,23127,0,12
4,19200,23127,0,12
5,19200,23132,0,14
6,19200,23132,0,14
7,19320,23106,720,21
8,19560,22473,0,63
9,19680,23222,1080,20
10,19800,24560,0,29
11,19980,23907,780,12
12,19980,23912,780,14
13,20160,23946,1560,21
14,20340,24272,1140,14
15,20340,25100,540,29
16,20340,24267,1140,12
17,20400,22927,0,24
18,20400,23563,0,138
19,20400,23678,0,1
20,20460,23275,0,57
21,20520,23209,0,130
22,20640,24182,2040,20
23,20700,24627,1500,12
24,20700,24632,1500,14
25,20760,23415,0,22
26,20880,24777,0,15
27,20880,24782,0,13
28,21000,22834,0,46
29,21000,23516,0,110
30,21000,25402,0,30
31,21000,24082,0,37
32,21000,23873,0,44
33,21000,23973,0,125
34,21000,23967,0,126
35,21000,24486,0,133
36,21000,26375,0,71
37,21000,25161,0,9
38,21000,24034,0,62
39,21000,26071,0,39
40,21000,23968,0,140
41,21060,23973,1500,63
42,21060,24846,2460,21
43,21060,25820,1260,29
44,21120,24658,0,18
45,21120,23935,660,57
46,21180,25082,300,13
47,21180,25077,300,15
48,21240,24518,840,1
49,21300,23851,0,25
50,21300,24287,0,104
51,21300,23361,0,52
52,21300,25089,0,72
53,21300,26594,0,70
54,21360,23168,0,112
55,21360,23421,60,52
56,21360,24442,360,37
57,21420,24700,0,64
58,21420,23426,0,53
59,21480,24007,1080,24
60,21480,25022,2880,20
61,21480,23597,0,17
62,21480,24453,480,125
63,21540,25467,2340,12
64,21540,24355,1080,57
65,21540,25472,2340,14
66,21540,25701,540,9
67,21540,26136,0,28
68,21600,25562,0,33
69,21600,25927,0,11
70,21600,26253,0,102
71,21600,24697,0,50
72,21600,25091,0,32
73,21600,23438,0,41
74,21600,23561,0,47
75,21600,23884,0,7
76,21600,23999,0,142
77,21600,23287,0,43
78,21600,26157,0,100
79,21600,25729,0,10
80,21600,25571,0,3
81,21600,22981,0,26
82,21600,25637,0,115
83,21600,25671,0,127
84,21600,23621,0,151
85,21600,26025,0,118
86,21600,23642,0,16
87,21600,25167,0,117
88,21600,24984,0,116
89,21600,24970,0,139
90,21600,24362,0,146
91,21600,24660,0,65
92,21600,24735,0,106
