new_index,s_time,e_time,delta_time,old_index
0,0,4788,0,2996
1,0,4642,0,1732
2,0,3612,0,3773
3,0,2349,0,2127
4,0,850,0,3505
5,0,4188,0,1631
6,0,3574,0,1954
7,0,3497,0,2844
8,0,2126,0,2126
9,0,5100,0,2563
10,0,4562,0,2548
11,0,4551,0,2460
12,0,4486,0,1759
13,0,3985,0,2608
14,0,4159,0,1630
15,0,1563,0,1980
16,0,4552,0,2995
17,0,1663,0,2620
18,0,3627,0,2845
19,0,4409,0,2912
20,0,5308,0,2400
21,0,2787,0,1983
22,0,4875,0,2399
23,0,4471,0,2459
24,0,3707,0,1401
25,0,3647,0,1073
26,0,2005,0,2531
27,0,4153,0,2875
28,0,4228,0,2609
29,0,3609,0,1953
30,0,3766,0,2592
31,0,3753,0,1072
32,0,4929,0,1620
33,0,7368,0,1845
34,0,3815,0,2593
35,0,1576,0,2619
36,0,3502,0,1952
37,0,2944,0,1609
38,0,5003,0,1619
39,0,3828,0,1855
40,0,821,0,3504
41,0,3006,0,1951
42,0,5072,0,96
43,0,1964,0,2532
44,0,4352,0,2913
45,0,3686,0,1132
46,60,4810,0,1733
47,60,7794,0,1846
48,60,4220,0,2876
49,60,2637,0,1982
50,60,3418,0,1133
51,60,4444,0,1758
52,120,4019,0,1856
53,300,4733,0,850
54,300,4824,0,849
55,420,5182,0,2154
56,900,3681,0,3281
57,900,5932,0,2818
58,900,1996,0,2213
59,900,7022,0,1893
60,960,3548,0,2993
61,960,3220,0,2994
62,960,3726,0,3280
63,1200,2050,1200,3505
64,1200,1884,0,2197
65,1200,5762,1200,2548
66,1200,2021,1200,3504
67,1200,5671,1200,2459
68,1260,4006,0,1610
69,1620,4564,1620,1609
70,1740,4042,0,2550
71,1740,3927,0,2549
72,1740,5349,1740,1953
73,1740,5639,1620,1856
74,1800,5953,1800,2875
75,1800,3376,1800,2619
76,1800,5447,1800,1073
77,1800,3657,0,1981
78,1800,6803,1800,1619
79,1800,6729,1800,1620
80,1800,5523,0,2610
81,1800,5566,1800,2592
82,1800,4546,540,1610
83,1800,6910,0,675
84,1800,4377,1740,1982
85,1800,5591,0,1623
86,1800,5628,1800,1855
87,1800,5615,1800,2593
88,1800,4587,1800,1983
89,1800,5427,1800,2845
90,1800,7108,1800,2400
91,1800,3363,1800,1980
92,1800,6588,1800,2996
93,1800,3463,1800,2620
94,1800,3926,1800,2126
95,1800,6352,1800,2995
96,1800,6675,1800,2399
97,1800,5297,1800,2844
98,1860,5434,1860,1954
99,1860,5613,1860,1072
100,1860,3824,1860,2532
101,1860,3865,1860,2531
102,1860,9228,1860,1845
103,1860,5362,1860,1952
104,1980,9714,1920,1846
105,2100,5807,2100,1401
106,2100,7132,1200,2818
107,2100,6509,2100,2912
108,2100,6452,2100,2913
109,2100,7172,2100,96
110,2100,5816,0,1400
111,2100,6288,2100,1631
112,2100,6586,2100,1759
113,2100,8222,1200,1893
114,2100,5106,2100,1951
115,2100,5786,2100,1132
116,2100,6651,2100,2460
117,2160,6319,2160,1630
118,2160,5518,2100,1133
119,2160,4509,2160,2127
120,2160,6544,2100,1758
121,2220,6970,2160,1733
122,2340,7076,0,2547
123,2340,6864,2040,849
124,2340,6568,2340,2609
125,2400,6385,2400,2608
126,2400,6962,2400,2548
127,2400,6833,2100,850
128,2400,7162,1980,2154
129,2400,3250,2400,3505
130,2400,3221,2400,3504
131,2400,6871,2400,2459
132,2460,6118,0,1624
133,2460,7144,0,2153
134,2580,7222,2580,1732
135,2580,7680,2580,2563
136,2640,5421,1740,3281
137,2700,4960,1740,2994
138,2700,5288,1740,2993
139,2760,5526,1800,3280
140,3540,7368,3540,1855
141,3540,5103,3540,1980
142,3540,7439,3420,1856
143,3600,7366,3600,2592
144,3600,7415,3600,2593
145,3600,8071,3600,2459
146,3600,6177,3540,1982
147,3600,8475,3600,2399
148,3600,8908,3600,2400
149,3600,5787,1860,2549
150,3600,5726,3600,2126
151,3600,5949,3600,2127
152,3600,5902,1860,2550
153,3600,7353,3600,1072
154,3600,6387,3600,1983
155,3600,7247,3600,1073
156,3600,7174,3600,1954
157,3600,7209,3600,1953
158,3600,5457,1800,1981
159,3600,8388,3600,2996
160,3600,8529,3600,1620
161,3600,8162,3600,2548
162,3600,7097,3600,2844
163,3600,6346,2340,1610
164,3600,9722,2700,1893
165,3600,7753,3600,2875
166,3600,7227,3600,2845
167,3600,7258,1140,1624
168,3600,10968,3600,1845
169,3600,8152,3600,2995
170,3600,6544,3600,1609
171,3600,7391,1800,1623
172,3600,8603,3600,1619
173,3600,8632,2700,2818
174,3660,5323,3660,2620
175,3660,11394,3600,1846
176,3660,7162,3660,1952
177,3660,5236,3660,2619
178,3720,5725,3720,2531
179,3720,5684,3720,2532
180,3780,6786,3780,1951
181,3840,8000,3780,2876
182,4140,8664,3840,849
183,4200,8962,3780,2154
184,4200,9300,4200,2563
185,4200,8584,4140,1758
186,4200,7916,2100,1400
187,4200,9272,4200,96
188,4200,8359,4200,1630
189,4200,8388,4200,1631
190,4200,8884,1740,2153
191,4200,7907,4200,1401
192,4200,8609,4200,2912
193,4200,8552,4200,2913
194,4200,7886,4200,1132
195,4260,8693,3960,850
196,4260,7618,4200,1133
197,4260,8811,4260,2460
198,4260,8902,4260,1732
199,4320,8806,4320,1759
200,4320,9070,4260,1733
201,4440,7221,3540,3281
202,4440,9176,2100,2547
203,4500,7088,3540,2993
204,4500,8728,4500,2609
205,4500,6760,3540,2994
206,4500,8485,4500,2608
207,4620,7386,3660,3280
208,5400,11522,4500,1893
209,5400,10432,4500,2818
210,5940,8242,4200,2550
211,5940,8517,5880,1982
212,5940,11248,5940,2400
213,5940,9839,5820,1856
214,5940,8066,5940,2126
215,5940,9706,5940,2592
216,5940,8127,4200,2549
217,5940,10815,5940,2399
218,5940,9755,5940,2593
219,6000,10562,6000,2548
220,6000,10153,6000,2875
221,6000,8349,6000,2127
222,6000,10788,6000,2996
223,6000,9828,6000,1855
224,6000,10524,5700,849
225,6000,10552,6000,2995
226,6000,10471,6000,2459
227,6000,9627,6000,2845
228,6000,9497,6000,2844
229,6000,8005,6000,2531
230,6000,10684,3540,2153
231,6000,7857,4200,1981
232,6000,8787,6000,1983
233,6000,9574,6000,1954
234,6000,8944,6000,1609
235,6000,9658,3540,1624
236,6000,11003,6000,1619
237,6000,7964,6000,2532
238,6000,9647,6000,1073
239,6000,9753,6000,1072
240,6000,9609,6000,1953
