new_index,s_time,e_time,delta_time,old_index
0,0,2327,0,1414
1,0,3361,0,1589
2,0,3333,0,1590
3,0,2839,0,1113
4,0,2329,0,1114
5,0,2772,0,1112
6,0,2055,0,1669
7,300,2783,0,1670
8,2700,5183,2400,1670
9,3600,5655,3600,1669
10,6300,8783,6000,1670
11,7200,9255,7200,1669
12,9900,12383,9600,1670
13,15000,20068,0,673
14,15900,20968,900,673
15,16200,19596,0,2365
16,16200,20199,0,2366
17,16200,18255,16200,1669
18,16740,21808,1740,673
19,16800,19803,0,1346
20,16800,19351,0,1347
21,17100,19155,17100,1669
22,17400,21399,1200,2366
23,17400,20045,0,1489
24,17400,20796,1200,2365
25,17400,21229,0,3073
26,17400,19528,0,572
27,17400,20237,0,1490
28,17700,26277,0,665
29,17700,22768,2700,673
30,17760,22828,2760,673
31,17940,21769,540,3073
32,18000,20839,18000,1113
33,18000,22892,0,675
34,18000,22679,0,683
35,18000,21656,0,224
36,18000,20055,18000,1669
37,18000,21361,18000,1589
38,18000,22399,0,389
39,18000,20329,18000,1114
40,18000,20772,18000,1112
41,18000,25402,0,153
42,18060,20396,0,822
43,18300,21303,1500,1346
44,18300,20851,1500,1347
45,18300,23192,300,675
46,18300,20428,900,572
47,18300,23149,0,3072
48,18360,21693,18360,1590
49,18360,21721,18360,1589
50,18420,22249,1020,3073
51,18540,27117,840,665
52,18600,21264,0,95
53,18600,21996,2400,2365
54,18600,23668,3600,673
55,18600,22415,0,2135
56,18600,21372,18600,1112
57,18600,20929,18600,1114
58,18600,24649,0,359
59,18600,21439,18600,1113
60,18600,22599,2400,2366
61,18600,21750,0,1640
62,18660,22199,0,2543
63,18660,23509,360,3072
64,18720,22081,18720,1589
65,18720,22053,18720,1590
66,18720,23612,720,675
67,18900,23299,900,389
68,18900,22752,0,249
69,18900,21383,18600,1670
70,18900,24515,0,2640
71,18900,24515,0,2640
72,18960,22744,0,528
73,19080,22441,19080,1589
74,19080,27657,1380,665
75,19080,22932,180,249
76,19080,22413,19080,1590
77,19140,21268,1740,572
78,19140,23041,0,3058
79,19140,22955,540,2135
