new_index,s_time,e_time,delta_time,old_index
0,600,2142,0,339
1,900,5718,0,229
2,900,4705,0,479
3,1500,4832,0,186
4,1500,4642,0,185
5,2400,3869,0,413
6,3300,8118,2400,229
7,3300,6632,1800,186
8,3300,7105,2400,479
9,3300,6442,1800,185
10,3600,5105,0,412
11,3600,7634,0,477
12,5100,8242,3600,185
13,5100,8432,3600,186
14,6900,10232,5400,186
15,6900,10042,5400,185
16,7200,8669,4800,413
17,8400,9905,4800,412
18,8700,12032,7200,186
19,8700,11842,7200,185
20,14100,17432,12600,186
21,14100,17242,12600,185
22,18000,23231,0,424
23,18000,21332,16500,186
24,18000,20369,0,346
25,18000,20310,0,345
26,18000,22716,0,320
27,18000,22669,0,466
28,18000,21391,0,465
29,18000,20667,0,336
30,18000,20015,0,294
31,18000,21142,16500,185
32,18060,22776,60,320
33,18060,20238,0,67
34,18600,23687,0,249
35,18600,24175,0,250
36,18600,22649,0,521
37,18600,21465,0,522
38,18600,21700,0,335
39,18600,20778,540,67
40,18660,23747,60,249
41,18660,24235,60,250
42,18720,24269,0,445
43,18720,23538,0,444
44,18780,21447,780,336
45,18840,20855,840,294
46,18840,21940,240,335
47,18900,21269,900,346
48,18900,23682,0,492
49,18900,24595,0,491
50,18960,23742,60,492
51,18960,24655,60,491
52,19140,21450,1140,345
53,19200,23869,1200,466
54,19200,22789,0,369
55,19200,23476,0,370
56,19200,21837,0,373
57,19200,24235,0,457
58,19200,22591,1200,465
59,19260,23606,0,398
60,19320,22420,720,335
61,19380,21558,1320,67
62,19500,23413,0,480
63,19560,22197,360,373
64,19560,24791,1560,424
65,19680,24026,420,398
66,19680,24715,480,457
67,19740,22407,1740,336
68,19740,22109,1740,346
69,19800,22900,1200,335
70,19800,23021,0,268
71,19800,22738,0,356
72,19800,22665,1200,522
73,19800,23920,0,359
74,19800,23849,1200,521
75,19800,24618,1080,444
76,19800,23510,0,131
77,19800,22275,0,238
78,19800,22749,0,360
79,19800,23216,0,328
80,19800,25349,1080,445
81,19800,23787,0,454
82,19800,23565,0,267
83,19800,23282,0,327
84,19800,25435,0,453
85,19800,23432,0,161
86,19980,23318,0,5
87,19980,21995,1980,294
88,20040,22218,1980,67
89,20040,22677,840,373
90,20100,25135,900,457
91,20100,23810,300,131
92,20100,25795,1200,491
93,20100,24882,1200,492
94,20100,24816,2100,320
95,20160,25855,1260,491
96,20160,24942,1260,492
97,20160,23792,360,161
98,20220,22530,2220,345
99,20280,23380,1680,335
100,20280,23229,480,360
101,20280,24045,480,267
102,20340,24686,1080,398
103,20340,23561,540,268
104,20400,23791,2400,465
105,20400,25069,2400,466
106,20400,23738,420,5
107,20400,24110,600,131
108,20460,24092,660,161
109,20520,24002,720,327
110,20580,23518,780,356
111,20580,23247,2580,336
112,20640,22655,2640,294
113,20640,23009,2640,346
114,20640,23277,1440,373
115,20700,24820,900,359
116,20700,23175,900,238
117,20700,25787,2100,249
118,20700,25744,0,141
119,20700,25735,1500,457
120,20700,26275,2100,250
121,20760,24470,960,131
122,20820,24158,840,5
123,20880,23829,1080,360
124,20880,23058,2820,67
125,20940,24927,1140,454
126,20940,24422,1140,327
127,20940,24040,2340,335
128,20940,24705,1140,267
129,21000,23865,2400,522
130,21000,25276,1800,370
131,21000,25049,2400,521
132,21000,24632,1200,161
133,21000,24589,1800,369
134,21000,24913,1500,480
135,21000,23287,0,436
136,21060,25406,1800,398
137,21120,24830,1320,131
138,21120,26155,1920,457
139,21120,26351,3120,424
140,21120,26669,2400,445
141,21120,25938,2400,444
142,21300,26082,2400,492
143,21300,23989,0,81
144,21300,26995,2400,491
145,21300,26358,0,142
146,21360,24698,1380,5
147,21420,24057,2220,373
