new_index,s_time,e_time,delta_time,old_index
0,20400,22227,0,8
1,21600,23727,0,17
2,21600,27480,0,47
3,21600,27480,0,47
4,21600,23117,0,72
5,21600,23155,0,73
6,21600,23786,0,18
7,21600,23387,0,9
8,21660,23487,1260,8
9,21840,27720,240,47
10,22440,28320,840,47
11,22500,24927,0,19
12,22500,27044,0,24
13,22680,25107,180,19
14,22800,27037,0,43
15,22800,25515,0,61
16,22800,27419,0,50
17,22800,26387,0,45
18,22800,27676,0,41
19,22800,25817,0,60
20,22800,26960,0,37
21,22800,26186,0,20
22,22800,26186,0,20
23,22800,27058,0,40
24,22800,25227,300,19
25,22800,23385,0,35
26,22800,27415,0,23
27,22860,27378,0,39
28,22860,27740,0,34
29,22860,24377,1260,72
30,22860,27146,0,32
31,22860,24647,1260,9
32,22860,27782,0,33
33,22860,24415,1260,73
34,22860,26178,0,44
35,22860,25795,0,30
36,22860,26342,0,46
37,22860,27404,360,24
38,22860,29445,0,7
39,22860,28446,0,48
40,22860,25046,1260,18
41,22860,24987,1260,17
42,22920,28449,0,51
43,22920,24747,2520,8
44,22920,26507,120,45
45,22980,26391,0,5
46,22980,27266,120,32
47,23040,27326,180,32
48,23100,25815,300,61
49,23100,28980,1500,47
50,23100,26899,0,38
51,23160,27775,360,23
52,23220,26538,360,44
53,23220,26702,360,46
54,23220,26606,420,20
55,23280,28809,360,51
56,23280,25707,780,19
57,23280,28866,420,48
58,23340,26357,540,60
59,23340,27884,840,24
60,23340,26620,0,71
61,23400,26264,0,66
62,23400,26578,0,57
63,23400,26264,0,27
64,23400,26586,0,70
65,23400,27138,0,4
66,23400,24960,0,25
67,23400,29531,0,53
68,23400,24987,0,26
69,23400,27022,0,0
70,23400,28040,0,2
71,23400,27311,0,22
72,23400,24572,0,69
73,23400,25992,0,67
74,23400,27032,0,1
75,23400,30922,0,52
76,23400,28667,0,31
77,23400,27199,300,38
78,23400,27347,0,49
79,23400,27579,0,54
80,23400,27560,600,37
81,23400,28282,0,42
82,23400,26987,600,45
83,23460,26557,0,56
84,23460,27697,660,43
85,23460,27047,660,45
86,23520,26455,660,30
87,23520,28400,660,34
88,23520,25947,1020,19
89,23520,28106,0,3
90,23520,26276,0,28
91,23520,26518,0,58
92,23520,27806,660,32
93,23580,28199,780,50
94,23580,26966,780,20
95,23640,29169,720,51
96,23640,29520,2040,47
97,23640,26958,780,44
98,23700,27958,900,40
99,23700,28218,840,39
100,23700,28244,1200,24
101,23700,29286,840,48
102,23760,28375,960,23
103,23820,26535,1020,61
104,23820,27302,960,46
105,23880,27291,900,5
106,23880,28466,360,3
107,23880,28040,1080,37
108,23940,26938,420,58
109,23940,29207,540,31
110,23940,27118,540,57
111,24000,30594,0,13
112,24000,28929,0,15
113,24000,27097,540,56
114,24000,28922,1140,33
115,24000,30585,1140,7
116,24000,30590,0,6
117,24000,27186,600,70
118,24060,27647,1260,45
119,24060,26652,660,67
120,24060,27634,0,29
121,24060,24645,1260,35
122,24060,28700,660,2
123,24120,25637,2520,72
124,24120,27742,720,0
125,24120,28996,1320,41
126,24120,28664,1620,24
127,24120,26306,2520,18
128,24120,25907,2520,9
129,24120,26247,2520,17
130,24120,27400,780,71
131,24120,28406,1260,32
132,24120,25675,2520,73
133,24120,29649,1200,51
134,24120,28357,1320,43
135,24180,26607,1680,19
136,24180,26007,3780,8
137,24180,28417,1380,43
138,24180,28795,1380,23
139,24180,27498,1320,44
140,24180,27044,780,66
141,24180,27566,1380,20
142,24240,25800,840,25
143,24240,27626,1440,20
144,24240,27175,1380,30
145,24240,29826,1380,48
146,24300,29182,900,42
147,24300,30180,2700,47
148,24300,28038,900,4
149,24300,25887,900,26
150,24360,27377,1560,60
151,24420,28052,1020,1
152,24480,28279,1380,38
153,24480,29066,960,3
154,24480,30066,1620,48
155,24480,27195,1680,61
156,24540,28700,1740,37
157,24540,28127,1740,45
158,24540,29420,1680,34
159,24540,29807,1140,31
160,24540,30069,1620,51
161,24600,29215,1800,23
162,24600,27697,1140,56
163,24600,27027,2100,19
164,24600,27192,1200,67
165,24600,28837,1800,43
166,24600,29144,2100,24
167,24600,28861,0,55
168,24600,29118,1740,39
169,24600,29038,0,11
170,24600,28732,0,12
171,24660,28918,1860,40
172,24660,28839,1260,54
173,24660,30791,1260,53
174,24660,29300,1260,2
175,24660,32182,1260,52
176,24720,29006,1860,32
177,24720,27906,1320,70
178,24720,28038,1860,44
