new_index,s_time,e_time,delta_time,old_index
0,21000,24274,0,81
1,21000,27356,0,114
2,21000,24508,0,180
3,21000,26327,0,39
4,21300,23470,0,19
5,21540,24814,540,81
6,21600,25467,0,161
7,21600,25604,0,91
8,21600,27478,0,24
9,21600,26355,0,176
10,21600,28102,0,141
11,21600,25644,0,92
12,21600,26100,0,164
13,21600,26308,0,175
14,21600,26146,0,178
15,21600,26788,0,61
16,21600,26149,0,177
17,21600,26861,0,115
18,21600,24170,0,83
19,21600,25972,0,150
20,21600,25902,0,149
21,21600,28171,0,142
22,21600,28383,0,25
23,21660,25227,0,82
24,21900,27227,900,39
25,21900,27041,0,60
26,22140,25414,1140,81
27,22200,29529,0,113
28,22200,25751,0,188
29,22200,25617,0,187
30,22200,24939,0,28
31,22200,25856,0,90
32,22200,27324,0,173
33,22200,25741,0,63
34,22200,26903,0,75
35,22200,24590,0,65
36,22200,27397,0,174
37,22200,28816,0,93
38,22200,27203,0,154
39,22200,27453,0,94
40,22200,26867,0,89
41,22260,26264,660,91
42,22260,25827,600,82
43,22320,26125,0,182
44,22500,26409,0,16
45,22500,24907,0,31
46,22500,26200,0,17
47,22500,26609,0,22
48,22500,28856,1500,114
49,22500,27255,900,176
50,22500,26200,0,23
51,22500,26930,0,27
52,22560,26604,960,92
53,22560,27268,960,175
54,22620,26758,0,183
55,22680,25954,1680,81
56,22800,25207,0,136
57,22800,27975,0,160
58,22800,27467,600,89
59,22800,26819,0,110
60,22800,24521,0,129
61,22800,25282,0,30
62,22800,23954,0,130
63,22800,24933,0,40
64,22800,26295,0,35
65,22800,26577,0,34
66,22800,27590,0,151
67,22800,26920,0,109
68,22800,25538,0,146
69,22800,25474,0,145
70,22800,27287,0,98
71,22800,26431,0,64
72,22800,26416,0,97
73,22800,25280,0,62
74,22800,24405,0,95
75,22800,25034,0,18
76,22800,27135,0,26
77,22800,24882,0,41
78,22800,27366,0,58
79,22800,25423,0,49
80,22800,25783,0,68
81,22800,25180,0,135
82,22800,25561,0,88
83,22800,24269,0,186
84,22800,25180,0,138
85,22800,24906,0,134
86,22800,25207,0,137
87,22800,27019,0,184
88,22800,26940,0,123
89,22800,25246,0,133
90,22800,27152,0,59
91,22800,27499,0,124
92,22800,24674,0,78
93,22800,26547,0,53
94,22800,25419,0,77
95,22800,26625,0,52
96,22800,27745,0,111
97,22800,26524,0,71
98,22800,27837,0,112
99,22800,26637,0,131
100,22800,25548,0,48
101,22800,25566,0,46
102,22800,24461,0,96
103,22800,25809,0,12
104,22800,25780,0,13
105,22800,24944,0,85
106,22860,27535,0,7
107,22860,25845,0,73
108,22860,25795,0,47
109,22860,27680,0,152
110,22860,26838,0,132
111,22860,26516,660,90
112,22920,26729,0,72
113,22980,26889,480,16
114,22980,29763,1380,25
115,22980,26680,480,23
116,22980,27089,480,22
117,22980,26680,480,17
118,23040,25971,0,29
119,23040,28918,1440,24
120,23040,25430,840,65
121,23040,26581,840,63
122,23040,26607,1380,82
123,23100,28445,0,105
124,23100,28297,900,174
125,23100,28500,0,106
126,23100,27104,1500,91
127,23100,28224,900,173
128,23100,26173,0,156
129,23100,25839,900,28
130,23160,28487,2160,39
131,23280,26936,1080,90
132,23280,27947,1080,89
133,23280,27826,1680,178
134,23280,27324,1680,92
135,23280,28533,1080,94
136,23340,25484,540,85
137,23340,26614,2340,81
138,23340,27117,540,34
139,23400,27844,0,167
140,23400,24666,0,11
141,23400,27509,900,22
142,23400,27325,0,100
143,23400,28183,0,168
144,23400,24636,0,15
145,23400,26830,0,55
146,23400,27067,0,37
147,23400,28103,1200,75
148,23400,26385,540,73
149,23400,25959,0,171
150,23400,25896,0,144
151,23400,24647,0,10
152,23400,27018,0,57
153,23400,27070,0,56
154,23400,27314,0,117
155,23400,26036,0,148
156,23400,28155,1800,176
157,23400,26073,0,143
158,23400,24847,0,190
159,23400,25965,0,21
160,23400,28108,1800,175
161,23400,26136,0,140
162,23400,25045,0,108
163,23400,26044,0,84
164,23400,25233,0,189
165,23400,27147,600,53
166,23400,24980,0,195
167,23400,26182,0,87
168,23400,27100,900,17
169,23400,26084,0,20
170,23400,27225,600,52
171,23400,27359,0,36
172,23400,25022,0,107
173,23460,26487,0,54
174,23460,25755,0,165
175,23460,27160,960,23
176,23460,26474,0,128
177,23460,30076,1260,93
178,23460,25334,660,78
179,23460,27369,960,16
180,23460,26877,1260,187
181,23520,26139,720,77
182,23520,28219,720,124
183,23520,28310,720,151
184,23580,25241,780,96
185,23580,25686,780,134
186,23580,27720,780,123
187,23640,26575,780,47
188,23640,26086,840,133
189,23640,25245,840,95
190,23700,26466,900,46
191,23700,26683,900,68
192,23700,28703,1500,154
193,23700,27567,2100,161
194,23760,26681,0,127
195,23820,28172,1020,59
196,23820,26300,1020,62
197,23820,27451,1020,64
198,23820,28640,960,152
199,23880,27580,1380,17
200,23880,26811,840,29
201,23880,27989,1380,22
202,23880,28547,1680,89
203,23880,26024,1080,85
204,23880,28000,1080,109
205,23880,27536,1680,90
206,23940,28615,1080,7
207,23940,27214,2940,81
208,23940,28489,2340,177
209,23940,26330,1740,65
210,23940,27959,1140,110
211,23940,27481,1740,63
212,23940,26679,1740,28
213,24000,25282,0,201
214,24000,25279,0,202
215,24000,27037,0,126
216,24000,25250,0,200
217,24000,25403,0,199
218,24000,25645,600,108
219,24000,27036,0,122
220,24000,26971,0,121
221,24000,27039,0,125
222,24000,26407,1200,137
223,24000,26407,1200,136
224,24000,27551,1800,188
225,24000,26380,1200,135
226,24000,27567,2340,82
227,24000,29197,1800,174
228,24000,26380,1200,138
229,24000,27724,1200,71
230,24000,29124,1800,173
231,24060,28064,2460,91
232,24060,25682,660,107
233,24060,27869,1140,72
234,24120,28164,2520,92
235,24120,28686,1320,58
236,24120,27820,1620,23
237,24120,27105,1260,73
238,24120,28029,1620,16
239,24180,26799,1380,77
240,24180,30536,3180,114
241,24240,28017,1440,34
242,24240,25901,1440,96
243,24240,27249,1440,12
244,24240,25845,1440,95
245,24240,27220,1440,13
246,24240,28459,1440,184
247,24300,28214,900,117
248,24300,27956,2100,90
249,24300,26406,1500,134
250,24300,28846,2700,178
251,24300,26174,1500,78
252,24300,29008,2700,175
253,24300,27795,1500,35
254,24360,27244,0,74
255,24360,27722,0,5
256,24360,27033,960,143
257,24360,29150,1560,151
258,24360,26655,900,165
259,24360,28469,1860,22
260,24360,29059,1560,124
261,24360,29115,2760,176
262,24360,26806,1560,133
263,24360,27326,0,86
264,24360,29687,3360,39
265,24360,28060,1860,17
266,24420,26564,1620,85
267,24420,29087,2220,89
268,24420,29673,2220,94
269,24420,31749,2220,113
270,24420,28560,1620,123
271,24480,30358,2880,24
272,24480,31263,2880,25
273,24540,27506,180,86
274,24540,27554,1080,128
275,24540,28107,2880,82
276,24600,28613,0,198
277,24600,27874,3600,81
278,24600,25754,1800,130
279,24600,28216,1800,97
280,24600,27270,0,197
281,24600,27025,0,210
282,24600,27583,1800,68
283,24600,29087,1800,98
284,24600,28017,2400,187
285,24600,26321,1800,129
286,24660,27595,1800,47
287,24660,28769,2160,22
288,24660,28606,0,4
289,24660,28211,2460,188
290,24660,28360,2160,17
291,24660,28109,0,179
292,24720,27705,1860,73
293,24720,28629,2220,16
294,24720,26342,1320,107
295,24720,28420,2220,23
296,24720,27651,1680,29
297,24780,31396,2580,93
298,24780,27519,2580,28
299,24780,26425,1380,108
300,24840,28381,2640,63
301,24840,29660,1980,152
302,24840,27230,2640,65
303,24900,30097,2700,174
304,24900,29567,2700,89
305,24900,30024,2700,173
306,24900,26561,2100,96
307,24900,28556,2700,90
308,24900,28317,0,185
309,24900,27784,540,74
310,24960,28979,2160,110
311,24960,29312,2160,59
312,24960,28964,3360,91
313,24960,29004,3360,92
314,24960,29080,2160,109
315,25020,27164,2220,85
316,25020,26894,2220,78
317,25080,26685,2280,95
318,25080,29863,1680,168
319,25140,29280,2340,123
320,25140,29930,2340,151
321,25140,28106,780,86
322,25140,27759,2340,77
323,25140,28061,1380,127
324,25140,27246,2340,134
325,25140,28771,2340,64
326,25140,27520,2340,138
327,25140,30143,2940,154
328,25140,27547,2340,137
329,25140,27547,2340,136
330,25140,27520,2340,135
331,25140,27620,2340,62
332,25140,29839,2340,124
333,25200,29883,0,163
334,25200,27864,0,194
335,25200,29908,3600,175
336,25200,27495,1740,165
337,25200,26210,0,1
338,25200,29737,0,170
339,25200,26435,0,14
340,25200,27646,2400,133
341,25200,29955,3600,176
342,25200,27759,1800,171
343,25200,27899,0,139
344,25260,26629,0,209
345,25260,30080,2400,152
346,25260,28534,4260,81
347,25260,29186,0,191
348,25320,26942,1920,107
349,25380,28947,3720,82
350,25380,29946,2580,58
351,25380,27025,1980,108
352,25380,29036,3180,90
353,25440,28425,2580,73
354,25440,30107,3240,89
355,25440,28423,2640,68
356,25500,28266,2700,46
357,25500,30827,4500,39
358,25500,29459,2100,36
359,25500,29615,2100,37
360,25500,30677,0,38
361,25500,29478,2640,132
362,25500,30203,3300,75
363,25500,28930,2100,55
364,25560,29474,2160,117
365,25560,29590,3060,23
366,25560,27535,0,166
367,25560,30004,2160,167
368,25560,28495,2700,47
369,25560,29284,2760,71
370,25560,29469,3060,16
371,25560,27704,2760,85
372,25560,29369,2640,72
373,25560,29260,3060,17
374,25560,29669,3060,22
375,25620,30873,3420,94
376,25620,28551,2580,29
377,25620,28600,2820,13
378,25620,28359,3420,28
379,25620,28629,2820,12
380,25680,27341,2880,96
381,25680,29252,0,6
382,25680,32296,3480,93
383,25680,32036,4680,114
384,25680,29607,2880,34
385,25740,27345,2940,95
386,25740,29371,2940,64
387,25740,28706,1380,86
388,25740,29307,4080,82
389,25740,28624,1380,74
390,25740,28220,2940,62
391,25740,27614,2940,78
392,25740,28359,2940,77
393,25740,29577,2940,131
394,25800,28246,3000,133
395,25800,29804,4200,91
396,25800,29419,0,162
397,25800,29217,3600,187
398,25800,30503,3600,75
399,25800,29341,3600,63
400,25800,29074,4800,81
401,25800,30997,3600,174
402,25800,27098,0,196
403,25800,29667,4200,161
404,25800,30924,3600,173
405,25800,29445,3000,35
406,25800,28814,2340,128
407,25800,28190,3600,65
408,25860,29904,4260,92
