new_index,s_time,e_time,delta_time,old_index
0,18000,20651,0,56
1,18000,18966,0,88
2,18900,21551,900,56
3,19740,22391,1740,56
4,20400,21366,2400,88
5,21360,24011,3360,56
6,21600,24851,0,66
7,21600,24221,0,23
8,21600,24516,0,60
9,21600,26169,0,31
10,21600,24965,0,68
11,21600,24472,0,119
12,21600,25095,0,67
13,21600,25172,0,117
14,21600,24245,0,24
15,21600,27093,0,72
16,21600,21934,0,137
17,21600,24006,0,92
18,21600,25788,0,22
19,21660,24793,0,120
20,21900,29058,0,42
21,22200,28834,0,103
22,22200,30016,0,105
23,22200,24959,0,58
24,22200,26388,600,22
25,22200,25031,0,37
26,22260,23226,4260,88
27,22320,25770,0,26
28,22380,27873,780,72
29,22500,27069,900,31
30,22500,25751,900,66
31,22800,25832,0,75
32,22800,25972,0,39
33,22800,25559,0,62
34,22800,27346,0,52
35,22800,26988,1200,22
36,22800,26819,0,100
37,22800,27755,0,82
38,22800,27268,0,1
39,22800,25055,0,91
40,22800,26949,0,47
41,22800,27013,0,147
42,22800,26481,0,9
43,22860,29494,660,103
44,22860,25266,1260,92
45,22860,30676,660,105
46,23100,25751,5100,56
47,23100,28195,0,110
48,23100,26682,0,90
49,23100,28006,0,109
50,23100,28957,0,95
51,23100,27291,0,10
52,23100,29285,0,41
53,23100,30103,0,44
54,23100,30258,1200,42
55,23160,28653,1560,72
56,23160,31083,0,106
57,23160,29466,0,104
58,23160,26732,1560,117
59,23280,27849,1680,31
60,23340,26212,1740,119
61,23400,26934,0,29
62,23400,27228,0,89
63,23400,28014,0,32
64,23400,26316,1800,60
65,23400,26828,0,70
66,23400,26513,0,11
67,23400,27515,0,3
68,23400,27745,0,51
69,23400,28316,0,2
70,23400,26651,1800,66
71,23400,26533,1740,120
72,23400,29041,0,96
73,23400,26717,0,65
74,23400,26120,0,122
75,23460,28602,0,27
76,23460,25715,660,91
77,23460,26955,1860,67
78,23460,25764,0,152
79,23520,26970,1200,26
80,23580,27768,1980,22
81,23700,28209,0,99
82,23700,28122,0,0
83,23700,26459,1500,58
84,23820,30454,1620,103
85,23820,31636,1620,105
86,23880,27995,480,3
87,23880,28796,480,2
88,23880,29381,0,71
89,23940,30125,840,41
90,23940,27390,1620,26
91,23940,27305,2340,68
92,23940,29433,2340,72
93,24000,31158,2100,42
94,24000,24334,2400,137
95,24000,28213,1200,147
96,24000,28220,0,48
97,24000,26406,2400,92
98,24000,26645,2400,24
99,24000,25645,0,131
100,24000,26621,2400,23
101,24000,26543,0,77
102,24000,28546,1200,52
103,24000,28916,600,2
104,24060,26269,0,102
105,24060,26785,0,55
106,24120,25086,6120,88
107,24120,28689,2520,31
108,24240,27491,2640,66
109,24240,27822,1140,90
110,24240,29335,1140,110
111,24240,29146,1140,109
112,24300,28449,1500,47
113,24300,27472,1500,39
114,24300,27332,1500,75
115,24300,28768,1500,1
116,24300,29442,840,27
117,24300,27088,0,97
118,24300,28491,1200,10
119,24300,30157,1200,95
120,24300,28128,900,89
121,24360,29276,960,2
122,24360,29315,1560,82
123,24420,28535,1020,3
124,24420,27674,0,59
125,24540,28728,2940,22
126,24600,26556,0,153
127,24600,30459,0,34
128,24600,29022,900,0
129,24600,28050,2280,26
130,24600,30797,0,33
131,24600,27475,0,61
132,24600,27917,1200,65
133,24600,29214,1200,32
134,24600,28945,1200,51
135,24600,28410,0,28
136,24600,25590,0,87
137,24600,30241,1200,96
138,24600,27713,1200,11
139,24600,28134,1200,29
140,24600,27831,0,118
141,24660,28008,0,25
142,24780,30273,3180,72
143,24780,30281,900,71
144,24840,27671,2640,37
145,24840,27095,2040,91
146,24900,28581,2100,9
147,24900,32716,2700,105
148,24900,27659,2700,58
149,24900,31534,2700,103
150,24900,30081,0,81
151,24900,29154,0,21
152,24960,29529,3360,31
153,24960,29075,1560,3
154,24960,28410,2640,26
155,24960,32118,3060,42
156,25020,31326,1860,104
157,25020,28592,3420,117
158,25020,32943,1860,106
