new_index,s_time,e_time,delta_time,old_index
0,18600,24398,0,521
1,18600,24398,0,521
2,18600,19031,0,643
3,19200,24998,600,521
4,19200,21236,0,764
5,19200,20872,0,772
6,19200,25208,0,445
7,19200,20903,0,519
8,19200,26712,0,258
9,19200,21256,0,236
10,19260,20453,0,225
11,19500,25228,0,404
12,19800,23273,0,528
13,19800,22380,0,774
14,19800,21139,0,283
15,19800,24057,0,415
16,19800,21112,0,138
17,19800,25598,1200,521
18,19800,26729,0,61
19,19800,21664,0,116
20,19800,23423,0,99
21,19800,23936,0,584
22,19800,23168,0,585
23,19860,27372,660,258
24,19860,25821,0,685
25,19920,25648,420,404
26,20100,21248,0,216
27,20100,20879,0,783
28,20100,21684,0,294
29,20100,24707,0,605
30,20100,25405,0,650
31,20100,21397,0,54
32,20280,23648,480,585
33,20280,24416,480,584
34,20340,27852,1140,258
35,20340,22396,1140,236
36,20400,22103,1200,519
37,20400,25873,0,703
38,20400,26408,1200,445
39,20400,24657,600,415
40,20400,21928,0,503
41,20400,26456,0,444
42,20400,21197,0,248
43,20400,21476,0,6
44,20400,21880,0,191
45,20400,22860,0,304
46,20400,22666,0,393
47,20400,21968,0,17
48,20400,21926,0,16
49,20400,24719,0,670
50,20400,26198,1800,521
51,20400,24563,0,671
52,20400,21016,0,391
53,20400,21593,1140,225
54,20400,23357,0,766
55,20400,22727,0,612
56,20400,26128,900,404
57,20460,22941,0,377
58,20460,26669,0,710
59,20460,21766,0,28
60,20460,25017,0,160
61,20460,27389,660,61
62,20460,23933,660,528
63,20580,26541,720,685
64,20580,26308,1080,404
65,20640,24897,840,415
66,20700,21035,0,642
67,20700,23447,0,81
68,20700,22372,1500,772
69,20700,22736,1500,764
70,20700,22142,0,313
71,20700,25905,0,432
72,20700,25307,600,605
73,20760,24128,960,585
74,20760,22869,0,223
75,20760,22515,0,316
76,20760,24896,960,584
77,20940,26738,2340,521
78,20940,26668,1440,404
79,20940,28452,1740,258
80,21000,22922,0,615
81,21000,24386,0,768
82,21000,23082,0,512
83,21000,25091,0,754
84,21000,22691,0,614
85,21000,24167,0,494
86,21000,23424,0,778
87,21000,26012,0,442
88,21000,23555,0,776
89,21000,22312,1200,138
90,21000,26039,0,443
91,21000,22500,0,352
92,21000,22697,0,351
93,21000,22826,0,664
94,21000,22998,0,514
95,21000,24819,0,753
96,21000,23673,0,303
97,21000,28333,0,464
98,21060,23552,0,733
99,21060,23878,0,750
100,21060,22644,960,294
101,21060,22451,0,497
102,21060,24800,0,487
103,21060,24053,0,755
104,21120,28049,1320,61
105,21120,24150,0,410
106,21120,23748,0,486
107,21180,23162,0,235
108,21180,25316,1380,584
109,21180,22122,0,295
110,21180,24653,1380,528
111,21240,26713,840,703
112,21240,25847,1140,605
113,21300,23164,1500,116
114,21300,25461,0,639
115,21300,23915,0,526
116,21300,21916,900,391
117,21300,25619,900,670
118,21300,24668,1500,585
119,21300,23377,0,83
120,21300,23781,840,377
121,21300,25463,900,671
122,21360,25917,900,160
123,21420,27218,2820,521
124,21420,22009,0,390
125,21420,27148,1920,404
126,21480,23940,1080,304
127,21540,23806,1140,393
128,21540,23243,2340,519
129,21600,25252,0,500
130,21600,24223,0,193
131,21600,25721,0,189
132,21600,23128,1200,503
133,21600,25113,0,493
134,21600,26590,0,234
135,21600,24630,0,735
136,21600,24180,1800,774
137,21600,23366,0,244
138,21600,24768,0,587
139,21600,25739,0,220
140,21600,25223,0,607
141,21600,24162,0,621
142,21600,26689,0,359
143,21600,27656,1200,444
144,21600,27608,2400,445
145,21600,24332,0,727
146,21600,24939,0,181
147,21600,28520,0,434
148,21600,26181,0,516
149,21600,25246,0,238
150,21600,26381,0,448
151,21600,24373,0,610
152,21600,24919,0,195
153,21600,22955,0,454
154,21600,26415,0,158
155,21600,25252,0,500
156,21600,23082,0,791
157,21600,23274,0,788
158,21600,28050,0,62
159,21600,24741,0,547
160,21600,26507,0,215
161,21600,24062,0,793
162,21600,25431,0,684
163,21600,22793,2340,225
164,21600,26983,0,15
165,21600,23238,0,270
166,21600,24418,540,750
167,21600,26905,1500,650
168,21600,25298,0,739
169,21600,24578,0,532
170,21600,23821,0,264
171,21600,29008,0,257
172,21600,27561,1740,685
173,21600,25540,0,237
174,21600,23656,2400,236
175,21600,22031,3000,643
176,21600,24922,0,344
177,21600,25042,0,162
178,21600,23400,0,280
179,21600,27668,0,418
180,21600,26249,0,14
181,21600,24468,0,569
182,21600,22859,0,139
183,21600,25857,1800,415
184,21600,27922,0,405
185,21600,28394,0,60
186,21600,23394,0,45
187,21600,25283,0,424
188,21600,22900,0,53
189,21600,23280,0,354
190,21600,23489,0,731
191,21600,24376,0,323
192,21600,23080,1200,191
193,21600,25513,0,242
194,21600,27456,0,145
195,21600,22676,1200,6
196,21660,27728,60,418
197,21660,23751,0,226
198,21660,23583,0,347
199,21660,26729,0,760
200,21660,25063,0,324
201,21660,24991,0,156
202,21660,27460,0,149
203,21660,24617,1260,766
204,21660,23690,0,678
205,21660,23153,0,742
206,21660,24185,0,250
207,21660,23723,0,79
208,21660,24528,60,569
209,21660,24202,0,800
210,21660,23387,0,752
211,21660,24690,540,410
212,21780,25148,1980,585
213,21780,25916,1980,584
214,21840,23537,840,351
215,21840,26879,840,443
216,21840,23282,1140,313
217,21840,25580,780,487
218,21840,23340,840,352
219,21900,26864,0,167
220,21900,27628,2400,404
221,21900,27373,1500,703
222,21900,29233,900,464
223,21900,24447,0,309
224,21900,24178,0,273
225,21900,23771,0,20
226,21900,23159,300,139
227,21900,23048,1800,216
228,21900,23591,900,614
229,21900,24778,0,274
230,21900,23197,1800,54
231,21900,25139,0,100
232,21900,25373,2100,528
233,21900,26715,300,158
234,21900,24009,1140,223
235,21900,23468,1500,17
236,21900,22679,1800,783
237,21900,23655,1140,316
238,21960,23979,0,66
239,21960,25873,360,242
240,21960,28169,1500,710
241,21960,26567,1860,605
242,21960,25643,360,424
243,21960,26972,960,442
244,21960,27165,1260,432
245,21960,24395,0,626
246,21960,23351,900,497
247,21960,28889,2160,61
248,22020,24648,900,486
249,22020,23942,1020,615
250,22020,29532,2820,258
251,22020,28076,1620,444
252,22080,23664,1980,294
253,22080,22669,660,390
254,22080,27878,3480,521
255,22140,23082,960,295
256,22140,28462,540,405
257,22140,24632,1080,733
258,22140,26301,840,639
259,22140,23620,1740,191
260,22200,26457,2400,415
261,22200,27792,0,1
262,22200,24632,0,763
263,22200,24829,0,192
264,22200,22836,0,356
265,22200,22957,0,355
266,22200,25820,0,330
267,22200,24517,0,222
268,22200,25605,0,141
269,22200,23887,0,296
270,22200,24198,1200,514
271,22200,26254,0,292
272,22200,24560,0,529
273,22200,23377,0,7
274,22200,25367,1200,494
275,22200,24166,0,134
276,22200,26336,2400,584
277,22200,25065,0,170
278,22200,26321,600,189
279,22200,23322,0,746
280,22200,25970,0,188
281,22200,26291,1200,754
282,22200,26554,0,31
283,22200,25018,1140,750
284,22200,24236,3000,764
285,22200,23726,1800,16
286,22200,22997,1800,248
287,22200,25766,0,372
288,22200,24569,0,394
289,22200,26519,1800,670
290,22200,24272,0,462
291,22200,24873,1200,303
292,22200,26491,0,286
293,22200,23986,0,641
294,22200,28702,0,147
295,22200,26034,0,412
296,22200,24201,0,213
297,22200,23750,0,297
298,22200,24127,0,276
299,22200,25909,0,417
300,22200,26363,1800,671
301,22200,24078,0,682
302,22200,28994,600,60
303,22200,24664,0,197
304,22200,25462,0,194
305,22200,24868,0,395
306,22200,24755,1200,776
307,22200,25586,1200,768
308,22200,24917,0,619
309,22200,23868,0,771
310,22200,27583,600,15
311,22200,26781,600,516
312,22200,25590,0,52
313,22200,23872,3000,772
314,22200,26745,0,13
315,22200,24548,0,406
316,22200,25560,0,180
317,22200,25522,600,344
318,22200,26911,0,287
319,22200,26911,0,287
320,22200,24424,0,386
321,22200,24716,0,574
322,22200,26731,0,98
323,22200,24149,0,502
324,22200,23862,0,55
325,22200,23889,0,56
326,22200,26203,0,325
327,22200,25823,2400,99
328,22260,28470,0,0
329,22260,26685,0,416
330,22260,26616,0,413
331,22260,24224,0,135
332,22260,26115,0,32
333,22260,27075,660,158
334,22260,25521,0,157
335,22260,24538,360,273
336,22260,23572,2460,138
337,22260,26318,0,361
338,22260,24463,0,259
339,22320,26003,720,424
340,22320,25461,720,547
341,22320,25298,720,532
342,22320,29728,720,257
343,22320,25688,2520,585
344,22320,28802,0,146
345,22320,25972,720,500
346,22320,25559,420,100
347,22320,22936,1920,391
348,22320,28444,0,144
349,22380,29892,3180,258
350,22380,24362,1200,235
351,22380,26937,1920,160
352,22380,26026,780,238
353,22380,26293,780,242
354,22380,27370,780,234
355,22380,27469,780,359
356,22440,26259,1440,753
357,22440,25608,840,587
358,22440,24129,240,56
359,22440,24987,540,309
360,22440,26731,240,286
361,22440,27151,240,287
362,22440,24240,840,280
363,22440,25470,1320,410
364,22440,27347,840,215
365,22440,24078,840,270
366,22500,24293,0,392
367,22500,24227,840,752
368,22500,27149,900,14
369,22500,22835,1800,642
370,22500,24411,0,518
371,22500,24960,2100,304
372,22500,25942,900,162
373,22500,28055,0,10
374,22500,25115,1200,526
375,22500,23576,2100,6
376,22500,25273,900,610
377,22500,25040,0,385
378,22500,27281,0,399
379,22500,24924,1500,778
380,22500,23700,0,595
381,22500,25371,0,327
382,22500,23693,3240,225
383,22500,25062,900,621
384,22500,25972,0,115
385,22500,23282,0,782
386,22500,25093,0,728
387,22500,25599,0,360
388,22500,25365,0,322
389,22500,23806,2040,28
390,22500,27001,0,246
391,22500,26800,0,517
392,22500,24103,0,312
393,22500,27603,0,398
394,22500,24162,300,55
395,22500,27082,0,233
396,22500,26123,900,607
397,22500,25368,900,569
398,22560,29489,2760,61
399,22560,25963,900,324
400,22560,26500,960,237
401,22560,28521,2700,685
402,22560,26732,0,107
403,22560,23804,0,224
404,22560,26614,360,292
405,22560,27167,2460,605
406,22560,24616,3360,236
407,22560,24129,0,403
408,22560,25099,0,470
409,22560,28288,3060,404
410,22620,26911,420,286
411,22620,25404,0,247
412,22620,24584,360,135
413,22620,25395,0,328
414,22620,28418,4020,521
415,22620,25585,0,659
416,22620,26560,1020,237
417,22620,26092,120,115
418,22620,24844,420,386
419,22680,27461,1080,448
420,22680,24727,0,154
421,22680,25205,1020,250
422,22680,28480,1020,149
423,22680,28736,2280,444
424,22680,25040,480,529
425,22680,25891,0,37
426,22680,26816,2880,584
427,22680,28153,2280,703
428,22680,28890,420,0
429,22740,25109,540,394
430,22740,26062,1140,344
431,22740,25979,840,100
432,22740,25367,0,362
433,22740,26480,1680,487
434,22740,24131,1680,497
435,22740,28796,2340,444
436,22740,24420,1140,354
437,22740,24437,1740,351
438,22740,28332,540,1
439,22740,29062,1140,405
440,22740,25605,540,170
441,22740,24240,1740,352
442,22800,26822,0,151
443,22800,25702,0,172
444,22800,26313,1200,493
445,22800,25678,900,274
446,22800,25618,1740,750
447,22800,25242,0,704
448,22800,25243,0,30
449,22800,26128,0,505
450,22800,26577,0,22
451,22800,26168,3000,585
452,22800,26814,0,683
453,22800,26379,0,593
454,22800,25941,0,409
455,22800,27893,0,26
456,22800,26163,0,474
457,22800,27423,0,425
458,22800,29720,1200,434
459,22800,24985,0,655
460,22800,26464,0,47
461,22800,28161,0,520
462,22800,28161,0,520
463,22800,24986,0,656
464,22800,26075,0,501
465,22800,25912,0,46
466,22800,27099,0,25
467,22800,29056,0,110
468,22800,25127,2400,612
469,22800,25604,0,329
470,22800,23483,0,737
471,22800,23518,0,648
472,22800,24935,0,211
473,22800,26262,0,89
474,22800,26215,0,388
475,22800,25146,0,136
476,22800,24698,0,770
477,22800,26921,1200,189
478,22800,24462,600,55
479,22800,25262,1200,793
480,22800,27764,900,167
481,22800,27381,1200,516
482,22800,25235,840,626
483,22800,25350,0,460
484,22800,26776,0,36
485,22800,25078,900,273
486,22800,26131,1140,156
487,22800,25314,0,757
488,22800,24663,0,515
489,22800,25835,0,337
490,22800,24491,1800,614
491,22800,26298,0,343
492,22800,26182,0,232
493,22800,27168,0,221
494,22800,29518,0,111
495,22800,25512,0,8
496,22800,27790,1200,234
497,22800,24664,0,48
498,22800,25506,0,618
499,22800,30133,1800,464
500,22800,26609,0,508
501,22800,24886,0,577
502,22800,24503,3600,519
503,22800,24059,1200,139
504,22800,28255,0,11
505,22800,25003,540,259
506,22800,28808,3600,445
507,22800,26161,0,331
508,22800,25434,0,97
509,22800,26781,0,293
510,22800,26183,0,531
511,22800,27812,1800,442
512,22800,27347,0,133
513,22800,25809,0,153
514,22800,26483,1200,424
515,22800,25756,0,173
516,22800,25115,0,69
517,22800,25723,0,142
518,22800,25596,0,143
519,22800,26775,0,476
520,22800,29594,1200,60
521,22800,24523,0,185
522,22800,27225,540,416
523,22800,26700,0,482
524,22800,26039,900,100
