new_index,s_time,e_time,delta_time,old_index
0,24000,26774,0,22
1,24000,26646,0,19
2,24480,26017,0,29
3,24600,26386,0,11
4,24600,27014,0,10
5,24600,26754,0,36
6,24600,27114,0,9
7,24600,27123,0,0
8,24600,26687,0,35
9,24960,27139,0,16
10,25200,27342,0,27
11,25200,27409,0,21
12,25200,27227,0,1
13,25200,27416,0,28
14,25200,26684,0,13
15,25200,27435,0,15
16,25200,26601,0,14
17,25200,26692,0,24
18,25200,27425,0,31
19,25200,27226,0,2
20,25320,27760,0,20
21,25380,27050,0,23
22,25500,27952,0,32
23,26100,27680,0,12
24,26100,28361,0,4
25,26280,27760,0,30
26,26400,28043,0,7
27,26400,28663,0,34
28,26640,28236,0,8
29,26700,29223,2100,0
30,27000,28204,0,26
31,27000,28039,0,38
32,27000,28078,0,25
33,27000,29489,0,6
34,27000,28083,0,37
35,27600,30523,0,17
36,27900,30072,0,3
37,28680,30707,3480,1
38,28680,30889,3480,21
39,28680,30905,3480,31
40,28680,30915,3480,15
41,28680,30706,3480,2
42,28680,30164,3480,13
43,28680,30896,3480,28
44,28680,30081,3480,14
45,28680,30172,3480,24
46,28680,30822,3480,27
47,28800,31240,3480,20
48,28800,30688,0,5
49,28800,31323,4200,0
50,28860,30530,3480,23
51,28980,31432,3480,32
52,29100,31318,0,33
53,29580,31841,3480,4
54,29580,31160,3480,12
55,29760,31240,3480,30
56,29820,32466,5820,19
57,29820,32594,5820,22
58,29880,31523,3480,7
59,30000,33128,0,18
60,30120,31716,3480,8
61,30300,31837,5820,29
62,30420,32507,5820,35
63,30420,32834,5820,10
64,30420,32934,5820,9
65,30420,32206,5820,11
66,30420,32574,5820,36
67,30480,31519,3480,38
68,30480,31563,3480,37
69,30600,33089,3600,6
70,30600,31678,3600,25
71,30600,31804,3600,26
72,30600,32863,4200,34
73,30780,32959,5820,16
74,30900,33423,6300,0
75,31380,33552,3480,3
76,32160,34369,6960,21
77,32160,34302,6960,27
78,32160,34186,6960,2
79,32160,34395,6960,15
80,32160,33644,6960,13
81,32160,34385,6960,31
82,32160,33652,6960,24
83,32160,33561,6960,14
84,32160,34187,6960,1
85,32160,34376,6960,28
86,32280,34720,6960,20
87,32340,34010,6960,23
88,32400,35323,4800,17
89,32400,33478,5400,25
90,32400,34288,3600,5
91,32400,33604,5400,26
92,32460,34912,6960,32
93,33000,35523,8400,0
94,33060,34640,6960,12
95,33060,35321,6960,4
96,33240,34720,6960,30
97,33300,35946,9300,19
98,33300,36074,9300,22
99,33360,35003,6960,7
100,33600,35196,6960,8
101,33600,35818,4500,33
102,33780,35317,9300,29
103,33900,35987,9300,35
104,33900,36054,9300,36
105,33900,36314,9300,10
106,33900,35686,9300,11
107,33900,36414,9300,9
108,33960,34999,6960,38
109,33960,35043,6960,37
110,34260,36439,9300,16
111,34800,37928,4800,18
112,34860,37032,6960,3
113,35100,37623,10500,0
