new_index,s_time,e_time,delta_time,old_index
0,23400,25662,0,2
1,23880,26142,480,2
2,24180,26977,0,9
3,24360,26372,0,14
4,24480,26742,1080,2
5,24600,27397,420,9
6,25020,27586,0,32
7,25080,27342,1680,2
8,25200,28688,0,4
9,25320,28088,0,38
10,25320,27496,960,14
11,25380,28871,0,10
12,25440,28006,420,32
13,25440,28928,240,4
14,25500,30495,0,28
15,25500,28066,480,32
16,25560,28171,2160,2
17,25680,28337,0,3
18,25740,28016,0,43
19,25800,30101,0,27
20,25800,29242,0,31
21,25860,29506,0,35
22,25860,28786,0,12
23,25920,29551,0,5
24,25980,30173,0,11
25,25980,28777,1800,9
26,25980,28552,0,30
27,26100,28711,2700,2
28,26160,29602,360,31
29,26160,28817,480,3
30,26160,29648,960,4
31,26220,28786,1200,32
32,26220,28988,900,38
33,26280,28456,1920,14
34,26340,28764,0,18
35,26400,29824,0,7
36,26400,28966,1380,32
37,26400,29197,2220,9
38,26400,29891,1020,10
39,26400,30701,600,27
40,26400,29282,0,15
41,26520,30151,600,5
42,26520,30230,0,36
43,26520,29962,720,31
44,26580,30068,1380,4
45,26580,29307,0,29
46,26700,29101,0,13
47,26700,28976,960,43
48,26700,29357,1020,3
49,26760,30406,900,35
50,26820,28964,0,44
51,26820,31815,1320,28
52,26880,29806,1020,12
53,26880,29648,1560,38
54,26940,31133,960,11
55,26940,30428,1740,4
56,26940,30382,1140,31
57,27000,29572,1020,30
58,27000,31301,1200,27
59,27000,28641,0,39
60,27060,29857,2880,9
61,27060,29626,2040,32
62,27060,29694,0,26
63,27120,30070,0,6
64,27120,29296,2760,14
65,27180,29837,1500,3
66,27180,29791,3780,2
67,27180,30671,1800,10
68,27300,28997,0,17
69,27300,30742,1500,31
70,27300,30106,0,16
71,27420,29651,0,37
72,27420,31130,900,36
73,27420,30147,840,29
74,27480,30046,2460,32
75,27540,30112,1560,30
76,27540,30964,1140,7
77,27600,31901,1800,27
78,27600,31231,1680,5
79,27600,30368,2280,38
80,27600,30211,4200,2
81,27660,30457,3480,9
82,27660,29936,1920,43
83,27780,30437,2100,3
84,27780,30346,2760,32
85,27780,31426,1920,35
86,27780,32775,2280,28
87,27780,31222,1980,31
88,27840,31328,2640,4
89,27900,30324,1560,18
90,27960,31451,2580,10
91,27960,30886,2100,12
92,28020,30196,3660,14
93,28080,32273,2100,11
94,28080,31711,2160,5
95,28080,30848,2760,38
96,28140,30751,4740,2
97,28140,30284,1320,44
98,28140,30712,2160,30
99,28140,30706,3120,32
100,28200,31642,2400,31
101,28200,32501,2400,27
102,28200,29753,0,42
103,28320,30482,0,20
104,28320,30977,2640,3
105,28320,30721,1620,13
106,28320,31270,1200,6
107,28380,30506,0,19
108,28380,31868,3180,4
109,28380,32090,1860,36
110,28380,30611,960,37
111,28440,31237,4260,9
112,28440,30716,2700,43
113,28500,30901,1800,13
114,28500,31066,3480,32
115,28500,31924,2100,7
116,28560,33555,3060,28
