new_index,s_time,e_time,delta_time,old_index
0,23400,27490,0,90
1,23400,26846,0,71
2,24000,26549,0,52
3,24000,28024,0,62
4,24000,28436,0,64
5,24000,26991,0,51
6,24000,28632,0,68
7,24000,28955,0,0
8,24180,29511,0,1
9,24240,28676,240,64
10,24300,30016,0,32
11,24300,28185,0,65
12,24300,27460,0,93
13,24300,29038,0,31
14,24360,29315,360,0
15,24480,30601,0,56
16,24600,28800,0,101
17,24600,28878,0,100
18,24600,28046,1200,71
19,24600,30757,0,69
20,24600,27041,0,59
21,24660,30781,180,56
22,25200,26688,0,50
23,25200,28646,1800,71
24,25200,26873,0,96
25,25200,26849,0,120
26,25200,30192,0,34
27,25200,28469,0,94
28,25200,28028,0,35
29,25200,27224,0,66
30,25200,26203,0,104
31,25200,26157,0,105
32,25200,26850,0,119
33,25200,26572,0,99
34,25200,29832,1200,68
35,25200,28055,0,13
36,25200,30343,0,28
37,25200,26905,0,97
38,25200,26992,0,113
39,25200,26428,0,98
40,25260,30591,1080,1
41,25260,27366,0,21
42,25380,29835,1380,64
43,25440,29993,1140,65
44,25500,30513,0,29
45,25500,32188,0,57
46,25560,32337,1080,56
47,25680,31985,1080,69
48,25800,28589,0,40
49,25800,32652,0,73
50,25800,27528,0,38
51,25800,29679,0,12
52,25800,28610,0,9
53,25800,32673,0,74
54,25800,29661,0,6
55,25800,29088,1800,51
56,26040,32817,1560,56
57,26100,32405,1500,69
58,26100,29602,0,63
59,26220,30852,2220,68
60,26280,31235,2280,0
61,26400,29762,0,20
62,26400,29228,2400,52
63,26400,29042,1800,59
64,26400,29846,3000,71
65,26400,31534,0,55
66,26520,33208,1020,57
67,26580,30090,0,19
68,26700,29187,0,44
69,26700,29147,0,43
70,26760,33537,2280,56
71,27000,29888,0,5
72,27000,32420,2700,31
73,27000,33085,2700,32
74,27000,31422,0,26
75,27000,29858,0,110
76,27000,28493,0,102
77,27060,31613,2760,65
78,27180,31635,3180,64
79,27240,32926,0,30
80,27300,28528,2100,98
81,27300,31161,1500,6
82,27300,29986,0,58
83,27300,28672,2100,99
84,27300,28973,2100,96
85,27300,29005,2100,97
86,27480,34168,1980,57
87,27480,32112,3480,68
88,27480,30273,0,4
89,27600,29072,0,49
90,27600,31479,1800,12
91,27600,29247,0,122
92,27660,33965,3060,69
93,27720,29512,2520,113
94,27840,34617,3360,56
95,28080,34768,2580,57
96,28200,32175,0,89
97,28200,31702,2100,63
98,28200,31646,4800,71
99,28200,31488,4200,51
100,28320,33651,4140,1
101,28380,31022,3780,59
102,28620,32710,5220,90
103,28740,34426,1500,30
104,28800,30975,0,16
105,28800,33921,0,27
106,28800,30496,0,115
107,28800,31457,0,46
108,28800,31471,0,45
109,28800,32252,0,114
110,28800,30475,0,116
111,28800,34220,4500,31
112,28800,34885,4500,32
113,28860,33413,4560,65
114,28980,29983,3780,104
115,28980,29937,3780,105
116,29040,31726,1740,58
117,29100,33732,5100,68
118,29100,31928,5100,52
119,29340,36117,4860,56
120,29400,31360,0,67
121,29400,31118,0,37
122,29400,33855,5400,64
123,29400,33530,0,77
124,29460,32348,2460,5
125,29460,35765,4860,69
126,29520,32680,5220,93
127,29520,36208,4020,57
128,29580,36432,3780,73
129,29580,36453,3780,74
130,29640,32909,4440,94
131,29640,32429,3840,40
132,29700,30928,4500,98
133,29700,31072,4500,99
134,29700,31373,4500,96
135,29700,31405,4500,97
136,29820,34020,5220,101
137,29820,34098,5220,100
138,29940,32203,0,22
139,30000,32898,0,47
140,30000,32855,4800,13
141,30000,33835,0,75
142,30000,33879,4200,12
143,30000,31649,4800,120
144,30000,31650,4800,119
145,30000,31488,4800,50
146,30000,33217,0,48
147,30120,34673,5820,65
148,30180,32958,0,39
149,30180,33542,3780,20
150,30180,35314,3780,55
151,30300,36988,4800,57
152,30360,33002,5760,59
153,30480,32967,3780,44
154,30480,35435,6480,0
155,30480,32927,3780,43
156,30480,37257,6000,56
157,30480,34935,6480,64
158,30600,33274,0,23
159,30600,32472,0,3
160,30600,31064,0,87
161,30600,33177,0,8
162,30600,31211,0,127
163,30600,32090,0,103
164,30600,33818,0,7
165,30600,36685,6300,32
166,30600,34052,1800,114
167,30600,32275,1800,116
168,30600,36020,6300,31
169,30600,32296,1800,115
170,30600,31060,0,88
171,30720,37025,6120,69
172,30840,33526,3540,58
173,30840,34829,0,60
174,30900,34188,6900,51
175,30900,36586,3660,30
176,31080,37768,5580,57
177,31200,34030,0,109
178,31200,32662,0,53
179,31200,33993,3720,4
180,31260,35892,7260,68
181,31320,36333,5820,29
182,31320,34759,0,18
183,31500,34328,7500,52
184,31500,31964,900,87
185,31500,31960,900,88
186,31680,34568,4680,5
187,31680,37011,7500,1
188,31800,35017,1800,48
189,31800,34655,6600,13
190,31800,33475,3000,116
191,31800,33496,3000,115
192,31800,33679,0,84
193,31800,33028,6600,98
194,31800,33508,0,121
195,31800,33505,6600,97
196,31800,36353,7500,65
197,31800,33172,6600,99
198,31800,33473,6600,96
199,31860,38165,7260,69
200,31980,35955,3780,89
201,32100,36555,8100,64
202,32160,38848,6660,57
203,32340,37295,8340,0
204,32340,34982,7740,59
205,32400,37138,8100,31
206,32400,33081,0,80
207,32400,36490,9000,90
208,32400,34560,0,17
209,32400,33011,0,128
210,32400,32902,0,81
211,32400,32860,1800,88
212,32400,35616,3600,114
213,32400,32895,0,126
214,32400,32970,0,92
215,32400,32864,1800,87
216,32400,32698,0,118
217,32400,37032,8400,68
218,32400,34639,0,82
219,32400,32720,0,117
220,32400,32950,0,91
221,32400,36235,0,76
222,32400,33872,4800,49
223,32400,32896,0,125
224,32400,38116,8100,32
225,32460,38581,7980,56
226,32580,35251,3780,45
227,32580,35237,3780,46
228,32700,34347,5100,122
229,32760,33717,7560,105
230,32760,33763,7560,104
231,32940,36730,2100,60
232,32940,37618,7440,29
233,32940,39097,8340,69
234,32940,39490,7440,57
235,33000,35828,7800,35
236,33000,34728,7200,38
237,33000,35733,2400,7
238,33300,33598,900,118
239,33300,33981,900,80
240,33300,33795,900,126
241,33300,33850,900,91
242,33300,33620,900,117
243,33300,33870,900,92
244,33300,33760,2700,88
245,33300,33764,2700,87
246,33300,33802,900,81
247,33300,33796,900,125
248,33360,40212,7560,73
249,33360,40233,7560,74
250,33480,36269,7680,40
251,33600,36410,7800,9
252,33600,35296,4800,115
253,33600,37800,9000,101
254,33600,37878,9000,100
255,33600,35275,4800,116
256,33720,40270,8220,57
257,33720,38352,9720,68
258,33840,39961,9360,56
259,33840,37725,9540,65
260,33900,36891,9900,51
261,33900,36449,9900,52
262,33900,37060,9600,93
263,33960,39094,7560,55
264,33960,37322,7560,20
265,34020,36126,8760,21
266,34080,38516,10080,64
267,34200,34664,3600,87
268,34200,34696,1800,125
269,34200,37495,8400,6
270,34200,34750,1800,91
271,34200,34695,1800,126
272,34200,35507,9000,96
273,34200,35158,0,95
274,34200,34498,1800,118
275,34200,35428,9000,98
276,34200,38614,0,25
277,34200,35167,9000,99
278,34200,35905,9000,97
279,34200,35266,0,123
280,34200,36224,9000,66
281,34200,36993,6720,4
282,34200,34881,1800,80
283,34200,34811,3600,127
284,34200,34702,1800,81
285,34200,34660,3600,88
286,34200,37416,5400,114
287,34200,37417,4200,48
288,34200,35533,0,79
289,34200,35234,0,124
290,34200,35693,7200,102
291,34200,36625,0,108
292,34200,34520,1800,117
293,34200,37098,4200,47
294,34200,38332,0,78
295,34200,34770,1800,92
296,34260,40417,9660,69
297,34260,36701,9660,59
298,34260,36707,7560,43
299,34260,36747,7560,44
300,34440,39771,10260,1
301,34560,40681,10080,56
302,34560,38599,0,61
303,34620,37224,7320,58
304,34620,37398,4440,39
305,34680,41230,9180,57
306,34800,36288,9600,50
307,34800,36475,6000,116
308,34800,40516,10500,32
309,34800,38223,9000,12
310,34800,39538,10500,31
311,34800,36229,0,54
312,34800,39432,10800,68
313,34800,37655,9600,13
314,34800,36496,6000,115
315,34920,36712,9720,113
316,34980,39658,9480,29
317,35100,35398,2700,118
318,35100,35781,2700,80
319,35100,35650,2700,91
320,35100,35564,4500,87
321,35100,35420,2700,117
322,35100,35670,2700,92
323,35100,35560,4500,88
324,35100,35596,2700,125
325,35100,38985,10800,65
326,35100,35602,2700,81
327,35100,35595,2700,126
328,35400,37050,10200,119
329,35400,38258,8400,110
