new_index,s_time,e_time,delta_time,old_index
0,21600,28317,0,613
1,21600,27551,0,130
2,21600,24280,0,21
3,21600,27162,0,164
4,21600,25094,0,647
5,21600,23983,0,641
6,21600,28173,0,463
7,21600,25107,0,142
8,21600,26219,0,378
9,21600,27179,0,464
10,21600,28078,0,612
11,21600,26507,0,489
12,21600,27232,0,423
13,21600,28349,0,524
14,21600,24377,0,640
15,21600,25444,0,490
16,21600,27545,0,644
17,21600,24080,0,20
18,21600,30570,0,109
19,21600,26530,0,63
20,21600,26218,0,296
21,21600,27436,0,427
22,21600,26941,0,664
23,21600,27590,0,426
24,21600,26706,0,577
25,21600,25208,0,107
26,21600,26711,0,22
27,21600,26671,0,416
28,21600,26047,0,406
29,21600,26769,0,12
30,21600,26612,0,11
31,21600,27569,0,131
32,21600,27939,0,119
33,21600,26239,0,425
34,21600,26239,0,424
35,21600,24172,0,143
36,21600,27658,0,118
37,21600,26327,0,417
38,21600,23688,0,576
39,21600,28365,0,487
40,21600,27877,0,562
41,21600,29570,0,299
42,21600,25904,0,300
43,21600,24756,0,571
44,21600,27845,0,561
45,21600,27754,0,196
46,21600,28074,0,195
47,21600,24980,0,572
48,21600,27198,0,385
49,21600,25178,0,661
50,21600,27131,0,226
51,21600,28047,0,156
52,21600,27352,0,412
53,21600,26839,0,225
54,21600,27480,0,413
55,21600,26671,0,604
56,21600,29048,0,155
57,21600,25351,0,376
58,21600,28786,0,579
59,21600,28847,0,605
60,21600,28757,0,523
61,21600,24324,0,630
62,21600,24396,0,631
63,21600,28644,0,570
64,21600,27127,0,569
65,21600,27047,0,645
66,21600,23966,0,575
67,21600,25720,0,660
68,21600,26637,0,646
69,21600,26264,0,379
70,21600,28102,0,466
71,21600,24612,0,580
72,21600,28547,0,465
73,21600,29516,0,247
74,21600,25620,0,627
75,21600,29665,0,275
76,21600,24865,0,581
77,21600,27668,0,295
78,21600,25296,0,405
79,21600,27668,0,295
80,21600,26692,0,677
81,21600,25001,0,139
82,21600,25758,0,626
83,21600,26596,0,137
84,21600,25496,0,477
85,21600,27901,0,184
86,21600,25279,0,0
87,21600,25408,0,1
88,21600,23338,0,615
89,21600,24804,0,478
90,21600,25978,0,573
91,21600,27861,0,185
92,21600,26388,0,676
93,21600,25427,0,459
94,21600,24642,0,666
95,21600,26667,0,79
96,21600,27670,0,625
97,21600,23794,0,50
98,21600,26159,0,458
99,21600,27427,0,80
100,21600,26408,0,682
101,21600,25444,0,430
102,21600,26516,0,78
103,21600,26400,0,307
104,21600,25290,0,431
105,21600,26038,0,480
106,21600,24545,0,665
107,21600,25571,0,479
108,21660,27498,0,81
109,21660,27831,0,606
110,21660,27377,0,386
111,21660,27063,0,136
112,21660,24536,0,375
113,21660,25473,0,23
114,21660,25516,0,138
115,21660,25930,0,683
116,21660,29052,0,488
117,21660,25033,0,108
118,21660,24269,0,650
119,21660,32343,0,663
120,21660,26098,60,480
121,21660,28175,0,306
122,21660,27433,0,422
123,21660,25521,0,24
124,21660,25631,60,479
125,21780,25359,0,649
126,21780,24327,0,648
127,21780,32463,120,663
128,21780,27224,0,578
129,22140,28272,0,651
130,22200,26145,0,344
131,22200,25764,0,201
132,22200,25864,0,61
133,22200,30320,0,455
134,22200,26069,0,66
135,22200,25474,0,52
136,22200,26153,0,202
137,22200,27493,0,105
138,22200,25656,0,53
139,22200,27369,600,12
140,22200,28630,0,380
141,22200,26667,0,3
142,22200,26384,0,106
143,22200,26058,0,2
144,22200,25962,0,62
145,22200,25872,0,343
146,22260,27622,0,381
147,22260,25640,0,67
148,22260,26492,0,19
149,22260,29565,0,115
150,22320,27882,720,164
151,22320,27332,720,11
152,22440,26048,840,107
153,22440,27546,840,577
154,22440,26248,840,1
155,22440,28575,0,653
156,22440,26598,840,626
157,22500,26050,0,85
158,22500,25869,0,221
159,22500,26975,0,73
160,22500,25129,0,224
161,22500,26181,0,180
162,22500,24579,0,337
163,22500,25087,0,371
164,22500,30416,900,247
165,22500,25777,0,84
166,22500,26342,0,262
167,22500,24528,0,342
168,22500,24950,0,372
169,22500,27965,0,28
170,22500,27160,0,27
171,22500,25788,0,222
172,22500,26466,0,293
173,22500,25970,0,42
174,22500,26476,0,263
175,22500,24580,0,132
176,22500,24650,0,336
177,22500,25020,0,229
178,22500,24757,0,217
179,22500,24780,0,218
180,22500,25356,0,172
181,22500,26343,0,216
182,22500,26393,0,215
183,22500,25883,0,332
184,22500,28025,0,163
185,22500,25916,0,333
186,22500,25023,0,302
187,22500,25346,0,173
188,22500,25092,0,323
189,22500,28462,0,123
190,22500,29456,0,122
191,22500,27001,0,29
192,22500,27010,0,30
193,22500,25135,0,301
194,22500,24810,0,230
195,22500,25975,0,331
196,22500,25855,0,330
197,22500,25998,0,198
198,22500,26318,0,181
199,22500,24290,0,335
200,22500,26492,0,154
201,22500,26311,0,197
202,22500,25364,0,534
203,22500,29892,840,488
204,22500,24424,0,334
205,22500,27059,0,352
206,22500,24533,0,133
207,22500,25893,0,535
208,22500,25465,0,279
209,22500,27383,0,245
210,22500,26584,0,318
211,22500,28327,0,246
212,22500,25472,0,64
213,22500,25984,0,65
214,22500,31981,0,248
215,22500,25043,0,324
216,22500,26394,0,206
217,22500,24943,0,309
218,22500,24980,0,328
219,22500,29295,0,624
220,22500,25322,0,125
221,22500,25271,0,124
222,22500,29044,0,623
223,22500,24833,0,285
224,22500,26072,0,170
225,22500,26741,0,313
226,22500,25228,0,327
227,22500,24766,0,238
228,22500,29114,0,72
229,22500,25550,0,284
230,22500,25490,0,310
231,22500,26751,0,205
232,22500,24982,0,239
233,22560,26186,0,171
234,22560,24947,0,278
235,22560,24955,0,219
236,22560,26023,0,43
237,22560,26279,0,153
238,22560,26239,960,0
239,22620,24933,0,220
240,22620,26316,1020,405
241,22620,29806,1020,579
242,22620,26343,0,317
243,22620,26799,0,294
244,22620,28688,1020,295
245,22620,28447,1020,80
246,22620,26998,1020,573
247,22620,28690,1020,625
248,22620,25993,960,108
249,22680,28312,1080,423
250,22680,29724,1080,570
251,22680,28207,1080,569
252,22680,27127,1080,406
253,22740,27909,1140,12
254,22740,27358,1140,296
255,22740,31710,1140,109
256,22740,28513,1080,422
257,22740,27979,1140,225
258,22740,28578,1080,81
259,22740,27656,1140,78
260,22800,25979,0,365
261,22800,28751,1200,130
262,22800,27071,0,298
263,22800,25888,0,364
264,22800,26920,1200,660
265,22800,26656,1140,138
266,22800,25537,0,60
267,22800,29957,1200,523
268,22800,26443,0,162
269,22800,29549,1200,524
270,22800,25888,0,304
271,22800,29577,0,17
272,22800,27699,0,128
273,22800,26662,0,161
274,22800,26842,0,297
275,22800,27465,0,129
276,22800,29327,0,436
277,22800,25985,0,305
278,22800,26183,0,268
279,22800,27867,1200,79
280,22800,28331,1200,226
281,22800,26378,1200,661
282,22860,27524,1260,379
283,22860,28439,1260,464
284,22860,28458,1260,385
285,22860,27587,1260,417
286,22860,28304,1080,578
287,22860,27479,1260,378
288,22860,27931,1260,416
289,22860,29433,1260,463
290,22920,27916,1320,137
291,22980,26381,1380,139
292,22980,30428,1380,155
293,22980,27992,1380,11
294,22980,29319,1380,119
295,22980,31045,1380,275
296,23040,29487,1440,156
297,23040,29757,1440,613
298,23040,28920,1440,413
299,23040,29514,1440,195
300,23040,29518,1440,612
301,23040,29098,1440,118
302,23040,28985,1440,644
303,23040,28792,1440,412
304,23100,27659,1500,458
305,23100,26480,840,67
306,23100,29247,0,282
307,23100,31070,1500,299
308,23100,26046,0,362
309,23100,26480,1500,572
310,23100,29254,1500,196
311,23100,26607,1500,142
312,23100,25780,1500,21
313,23100,28863,0,283
314,23100,26764,900,61
315,23100,28503,1440,136
316,23100,26862,900,62
317,23100,26605,0,363
318,23100,26969,900,66
319,23100,27404,1500,300
320,23100,26256,1500,571
321,23100,27908,1500,682
322,23160,27430,1500,683
323,23160,29662,1560,466
324,23160,29405,1560,561
325,23160,29437,1560,562
326,23160,26987,1560,459
327,23160,30107,1560,465
328,23160,30407,1560,605
329,23160,27538,1560,573
330,23220,26042,720,125
331,23220,27309,0,18
332,23220,29391,1560,606
333,23220,25792,1620,143
334,23220,26714,1620,647
335,23280,30045,1680,487
336,23280,27747,1080,3
337,23280,29053,1620,422
338,23280,26859,1500,649
339,23280,26970,1680,431
340,23280,27138,1080,2
341,23280,28187,1680,489
342,23280,26126,780,173
343,23340,26196,840,172
344,23340,28432,1740,677
345,23340,27184,1740,490
346,23340,31256,1740,247
347,23340,28509,1740,12
348,23340,25887,1560,648
349,23340,29176,1740,427
350,23340,29167,840,246
351,23340,28128,1740,676
352,23340,32821,840,248
353,23400,26930,0,39
354,23400,27091,0,311
355,23400,26957,0,92
356,23400,25380,0,249
357,23400,26764,0,632
358,23400,26263,0,56
359,23400,29219,0,288
360,23400,26207,0,602
361,23400,29799,0,590
362,23400,28466,0,350
363,23400,30564,0,591
364,23400,28376,0,233
365,23400,25358,0,250
366,23400,28414,0,361
367,23400,28406,0,150
368,23400,26563,0,633
369,23400,27891,0,587
370,23400,28240,0,234
371,23400,30018,0,384
372,23400,26682,0,543
373,23400,29361,0,26
374,23400,29107,0,25
375,23400,25918,0,545
376,23400,26984,0,94
377,23400,27484,0,266
378,23400,26289,0,100
379,23400,26516,0,99
380,23400,26831,0,567
381,23400,25034,0,566
382,23400,27104,0,635
383,23400,26205,0,568
384,23400,27008,1800,107
385,23400,28269,0,167
386,23400,25049,0,565
387,23400,26136,0,96
388,23400,25568,0,5
389,23400,28579,0,517
390,23400,27421,0,32
391,23400,25673,0,4
392,23400,26063,0,200
393,23400,27748,0,588
394,23400,25896,0,209
395,23400,28511,1800,22
396,23400,28226,0,149
397,23400,26093,0,199
398,23400,27170,0,312
399,23400,27038,0,55
400,23400,26876,0,264
401,23400,29817,0,292
402,23400,27624,0,267
403,23400,26775,0,552
404,23400,28293,0,516
405,23400,26958,0,54
406,23400,26105,0,622
407,23400,26676,0,544
408,23400,26049,0,621
409,23400,26701,0,634
410,23400,26900,0,542
411,23400,26967,0,598
412,23400,26349,0,601
413,23400,26319,0,475
414,23400,26545,0,476
415,23400,26442,1800,666
416,23400,27350,0,583
417,23400,27350,0,583
418,23400,27576,0,584
419,23400,27576,0,584
420,23400,25878,0,166
421,23400,27244,1800,430
422,23400,25525,0,532
423,23400,25789,0,585
424,23400,25780,0,533
425,23400,26150,0,449
426,23400,26136,0,448
427,23400,24454,0,451
428,23400,28218,0,319
429,23400,28905,0,558
430,23400,26026,0,165
431,23400,26345,1800,665
432,23400,27780,0,589
433,23400,26871,0,111
434,23400,26338,0,667
435,23400,29899,0,441
436,23400,29349,0,152
437,23400,25901,0,146
438,23400,26029,900,224
439,23400,30340,0,75
440,23400,25812,0,51
441,23400,26156,0,669
442,23400,26425,0,340
443,23400,26604,1800,478
444,23400,26745,0,339
445,23400,25072,0,462
446,23400,25627,0,461
447,23400,26049,0,486
448,23400,23801,0,432
449,23400,26564,0,668
450,23400,27255,0,35
451,23400,27296,1800,477
452,23400,26763,0,112
453,23400,27496,0,671
454,23400,26815,0,91
455,23400,28607,0,259
456,23400,27378,0,258
457,23400,26206,0,232
458,23400,24736,0,15
459,23400,25285,0,214
460,23400,29661,1800,185
461,23400,24703,0,16
