new_index,s_time,e_time,delta_time,old_index
0,0,1650,0,176
1,1500,6310,0,463
2,1500,5547,0,1115
3,19200,26409,0,490
4,19200,26320,0,491
5,19620,26829,420,490
6,19740,26860,540,491
7,20220,27429,1020,490
8,20400,27520,1200,491
9,20700,28564,0,0
10,20700,25168,0,408
11,20700,25421,0,409
12,20820,28029,1620,490
13,20940,28060,1740,491
14,21000,24412,0,847
15,21120,27087,0,290
16,21120,23690,0,483
17,21300,27547,0,6
18,21300,28509,2100,490
19,21300,25768,600,408
20,21540,28660,2340,491
21,21600,26947,0,552
22,21600,29482,0,28
23,21600,30879,0,452
24,21600,29007,0,609
25,21600,28193,0,29
26,21600,26387,0,424
27,21600,29553,0,828
28,21600,28778,0,453
29,21600,25783,0,460
30,21600,25480,0,461
31,21600,26947,0,553
32,21600,25815,0,738
33,21600,29246,0,658
34,21600,25427,0,1127
35,21600,27085,0,441
36,21600,29259,0,659
37,21600,27654,0,646
38,21600,27248,0,647
39,21600,25818,0,673
40,21600,29742,0,506
41,21600,27901,0,794
42,21600,29846,0,507
43,21600,26502,0,901
44,21600,27097,0,412
45,21600,27982,0,413
46,21600,26152,0,367
47,21600,25721,0,733
48,21600,28002,0,793
49,21600,26234,0,732
50,21600,26479,0,1139
51,21600,26637,0,642
52,21600,28968,0,795
53,21600,24673,0,1220
54,21600,28790,0,796
55,21600,26397,0,1219
56,21600,24652,0,1128
57,21600,27871,0,33
58,21600,25452,0,672
59,21600,25595,0,387
60,21600,27440,0,503
61,21600,28127,0,160
62,21600,26842,0,154
63,21600,23847,0,168
64,21600,25062,0,474
65,21600,25214,0,354
66,21600,25255,0,353
67,21600,25620,0,352
68,21600,24728,0,971
69,21600,26421,0,337
70,21600,25842,0,921
71,21600,27931,0,510
72,21600,26075,0,922
73,21600,26806,0,336
74,21600,27087,0,511
75,21600,26292,0,508
76,21600,25108,0,392
77,21600,24832,0,391
78,21600,26040,0,327
79,21600,24784,0,884
80,21600,24553,0,580
81,21600,25944,0,326
82,21600,24045,0,201
83,21600,27006,0,288
84,21600,25544,0,548
85,21600,29790,0,119
86,21600,26321,900,409
87,21600,27563,0,860
88,21600,25077,0,385
89,21600,26642,0,861
90,21600,29251,0,417
91,21600,23969,0,344
92,21600,28980,0,306
93,21600,27698,0,502
94,21600,24572,0,739
95,21600,27538,0,280
96,21600,25456,0,549
97,21600,28295,0,851
98,21600,28032,0,632
99,21600,27017,0,633
100,21600,29003,0,118
101,21600,28018,0,850
102,21660,27345,0,509
103,21660,24937,0,475
104,21660,25303,0,885
105,21660,28504,0,608
106,21660,25220,0,581
107,21660,26675,0,423
108,21660,24946,0,351
109,21660,29173,0,416
110,21720,27346,0,442
111,21720,29481,0,827
112,21720,24737,0,557
113,21720,24946,0,386
114,21720,25990,0,388
115,21720,26829,0,643
116,21840,26308,1140,408
117,21900,28991,0,4
118,21900,28816,0,5
119,21900,25312,900,847
120,21900,28965,0,7
121,21900,29292,0,205
122,21900,26697,300,1219
123,21960,25392,0,70
124,21960,26975,300,423
125,22020,25093,420,1220
126,22020,26537,0,462
127,22020,25850,0,1114
128,22140,25967,540,1127
129,22140,28542,540,793
130,22140,27182,540,861
131,22200,25352,0,896
132,22200,26224,0,128
133,22200,28007,0,210
134,22200,27604,0,958
135,22200,24975,0,505
136,22200,25808,0,959
137,22200,25522,0,504
138,22200,27026,0,66
139,22200,29320,3000,491
140,22200,25457,0,897
141,22200,25059,0,895
142,22200,25402,0,745
143,22200,29236,0,1
144,22200,29409,3000,490
145,22200,25443,0,473
146,22200,26215,0,202
147,22200,26106,0,203
148,22200,24780,0,472
149,22260,28100,660,503
150,22260,27057,660,1219
151,22260,25546,600,351
152,22260,25903,600,885
153,22260,25232,660,739
