new_index,s_time,e_time,delta_time,old_index
0,0,2551,0,452
1,0,3508,0,1330
2,0,1258,0,1155
3,0,1185,0,1154
4,0,3078,0,385
5,0,2740,0,802
6,0,1515,0,12
7,0,1858,0,775
8,0,2970,0,386
9,0,1432,0,414
10,0,5850,0,1298
11,0,3291,0,887
12,0,3300,0,1569
13,0,4149,0,1105
14,0,1055,0,435
15,0,3861,0,1115
16,0,4179,0,577
17,0,1705,0,950
18,0,4859,0,2287
19,0,1826,0,1410
20,0,4654,0,215
21,0,4756,0,2288
22,0,1769,0,878
23,0,4828,0,890
24,0,2284,0,2044
25,0,2872,0,551
26,0,1436,0,755
27,0,3911,0,446
28,0,2326,0,189
29,0,2482,0,963
30,0,2211,0,202
31,0,2207,0,203
32,0,1254,0,2338
33,0,1619,0,677
34,0,3025,0,393
35,0,1720,0,267
36,0,2289,0,394
37,0,2902,0,536
38,0,3443,0,1151
39,0,3151,0,487
40,0,3137,0,602
41,0,4670,0,214
42,0,2430,0,817
43,0,4378,0,251
44,0,3621,0,782
45,0,1573,0,415
46,0,1940,0,360
47,0,2748,0,713
48,0,3596,0,1181
49,0,5781,0,171
50,0,2402,0,1015
51,0,1322,0,690
52,0,2368,0,451
53,0,2145,0,561
54,0,2113,0,1039
55,0,1057,0,436
56,0,2676,0,993
57,0,2265,0,1074
58,0,2854,0,714
59,60,5076,0,578
60,60,3848,0,733
61,60,3825,0,1512
62,60,2643,0,1588
63,60,2826,0,573
64,60,3613,0,743
65,60,3348,0,483
66,60,4257,0,1387
67,60,3279,0,686
68,60,2954,0,685
69,60,2688,0,828
70,60,2983,0,1000
71,120,3773,0,383
72,120,4810,0,384
73,120,3527,0,826
74,180,3233,0,1073
75,180,3084,0,572
76,180,4685,0,101
77,240,4180,0,741
78,240,2685,0,1296
79,240,2500,0,702
80,240,3426,0,610
81,300,2320,0,318
82,300,4123,0,331
83,300,3755,0,332
84,300,3380,0,891
85,300,3048,0,372
86,360,2870,0,1509
87,360,2386,0,701
88,480,3030,0,1297
89,480,4260,0,929
90,480,3074,0,1230
91,540,2666,0,1035
92,540,2473,0,841
93,540,2655,0,491
94,540,3903,0,411
95,540,2005,0,816
96,540,4090,0,410
97,540,4561,0,1240
98,540,3904,0,259
99,540,5169,0,1289
100,540,3833,0,1652
101,540,5152,0,674
102,540,3382,0,1325
103,540,2604,0,490
104,540,2836,0,560
105,540,3579,0,888
106,540,4310,0,1061
107,540,2863,0,1202
108,540,2062,0,1411
109,540,3902,0,260
110,600,3560,0,371
111,600,4488,0,1060
112,600,3773,0,730
113,600,2829,0,1231
114,600,4016,0,381
115,600,2529,0,842
116,600,5054,0,675
117,600,4177,0,1106
118,600,4126,0,930
119,600,3628,0,1150
120,600,4076,0,412
121,600,4032,0,382
122,600,3561,0,742
123,600,2857,0,565
124,600,3468,0,459
125,600,3728,0,1160
126,600,3030,0,1201
127,600,2973,0,882
128,600,5440,0,1109
129,600,4107,0,729
130,660,4444,0,734
131,660,2697,0,949
132,660,4756,0,1241
133,720,3310,0,879
134,720,4577,0,1114
135,720,3303,660,1588
136,720,3593,0,1326
137,780,4374,0,287
138,780,3965,0,286
139,840,4111,0,1653
140,840,4034,0,1912
141,840,3736,0,1587
142,840,5494,840,215
143,840,5510,840,214
144,840,3865,0,837
145,900,2831,0,774
146,900,4513,0,252
147,900,3970,0,458
148,900,4639,0,744
149,960,5338,960,251
150,960,4513,900,743
151,1080,3846,1020,573
152,1140,3542,1140,1015
153,1140,4928,1080,733
154,1140,4291,1140,487
155,1140,4818,0,336
156,1140,5004,0,1001
157,1140,4830,0,335
158,1200,2819,1200,677
159,1200,2496,0,1419
160,1200,4689,0,1075
161,1200,5209,0,433
162,1200,7320,0,434
163,1200,5470,0,590
164,1200,4342,0,931
165,1200,4054,1200,714
166,1200,5349,1200,1105
167,1200,5480,0,800
168,1200,4777,0,379
169,1200,4280,900,891
170,1200,4140,0,380
171,1200,4123,1140,1000
172,1200,3948,900,372
173,1200,3940,1200,802
174,1200,5061,1200,1115
175,1260,3705,1020,1296
176,1260,5457,1200,1387
177,1260,4790,0,783
178,1380,4284,1200,572
179,1440,3950,1080,1509
180,1440,3950,0,1510
181,1440,4847,1320,826
182,1500,4248,1500,713
183,1500,4083,1440,1588
184,1500,4050,1020,1297
185,1620,3827,1620,203
186,1620,3831,1620,202
187,1680,5658,0,1511
188,1680,5264,0,1568
189,1680,4274,1200,1230
190,1680,5230,1140,410
191,1680,5043,1140,411
192,1680,4875,0,601
193,1740,3172,1740,414
194,1740,5095,0,482
195,1740,4257,0,481
196,1740,5093,0,836
197,1740,3777,1080,949
198,1740,2795,1740,435
199,1740,6194,1140,675
200,1740,3855,1200,491
201,1740,6369,1200,1289
202,1740,5361,1740,782
203,1740,6352,1200,674
204,1740,4959,1680,686
205,1740,5628,1140,1060
206,1740,2797,1740,436
207,1740,4291,1740,452
208,1740,4108,1740,451
209,1740,4608,1140,459
210,1740,4634,1680,685
211,1740,4582,1200,1325
212,1740,4966,0,535
213,1740,3673,1200,841
214,1740,4779,1200,888
215,1740,7765,0,172
216,1740,4170,1140,1201
217,1740,4046,0,1019
218,1740,5040,1740,1569
219,1740,4350,0,1036
220,1800,5570,1260,1061
221,1800,5232,1200,382
222,1800,3373,1800,415
223,1800,5276,1200,412
224,1800,5353,1740,743
225,1800,4770,1800,386
226,1800,5216,1200,381
227,1800,4672,1800,551
228,1800,3913,1800,1039
229,1800,4378,0,829
230,1800,5307,1200,729
231,1800,4189,0,745
232,1800,4973,1200,730
233,1800,7581,1800,171
234,1800,4928,1200,1160
235,1800,4096,1260,560
236,1800,3322,1260,1411
237,1800,5580,1320,929
238,1800,3945,1800,561
239,1800,4123,1260,1202
240,1800,3048,0,563
241,1800,4065,1800,1074
242,1800,5588,0,1180
243,1800,4111,0,480
244,1800,5396,1800,1181
245,1800,5539,900,744
246,1800,3864,1260,490
247,1800,4878,1800,385
248,1800,6628,1800,890
249,1800,3265,1260,816
250,1800,4673,1080,1326
251,1800,4994,960,1912
252,1800,5584,1140,734
253,1800,4942,600,931
254,1800,4987,0,209
255,1800,3729,1200,842
256,1800,5071,960,1653
257,1800,4891,0,208
258,1800,5093,1260,1652
259,1800,4702,1800,536
260,1800,4089,1800,394
261,1800,6446,0,1288
262,1800,4825,1800,393
263,1800,4761,1200,742
264,1800,5740,1560,741
265,1800,4060,1560,702
266,1800,7650,1800,1298
267,1800,6470,1800,214
268,1800,5565,1740,1512
269,1800,5088,1740,483
270,1800,6454,1800,215
271,1800,4696,960,1587
272,1800,4793,0,801
273,1800,4390,1080,879
274,1860,3986,1320,1035
275,1860,4089,1260,1231
276,1860,5386,1260,930
277,1860,5513,1740,383
278,1860,6550,1740,384
279,1860,6365,1680,101
280,1920,5777,1200,1114
281,1920,6936,1860,578
282,1920,4548,1860,828
283,1980,4353,1380,882
284,1980,5670,840,335
285,1980,5658,840,336
286,2040,5000,1440,371
287,2160,4743,2100,1588
288,2160,4926,2100,573
289,2280,5203,2220,1000
290,2280,6144,1140,1001
291,2280,5810,1020,783
292,2280,5305,1440,837
293,2340,5917,1140,379
294,2340,6436,1680,1241
295,2340,5280,1140,380
296,2340,6361,1800,1240
297,2400,5148,2100,372
298,2400,6549,2400,1105
299,2400,5480,2100,891
300,2400,6261,2400,1115
301,2400,6188,2340,733
302,2400,5304,2220,572
303,2400,5994,1620,287
304,2400,5807,2280,826
305,2400,4179,0,131
306,2400,5585,1620,286
307,2400,6670,1200,590
308,2400,5254,2400,714
309,2400,5140,2400,802
310,2460,6657,2400,1387
311,2460,5010,1980,1297
312,2520,4965,2280,1296
313,2520,6800,1320,800
314,2520,4922,2520,1015
315,2640,5508,2040,459
316,2700,6353,2580,383
317,2700,6313,1800,252
318,2700,7390,2580,384
319,2700,6439,1800,744
320,2700,5596,1860,1587
321,2760,5508,2760,713
322,2880,6430,2340,410
323,2880,6243,2340,411
324,2940,5523,2880,1588
325,2940,5151,2940,202
326,2940,5147,2940,203
327,3000,9120,1800,434
328,3000,5373,2400,882
329,3000,5296,2460,560
330,3000,5766,2940,573
331,3000,8016,2940,578
332,3000,6857,2280,1114
333,3060,5289,2460,1231
334,3120,6173,2940,1073
335,3180,6669,1980,1075
336,3300,6260,2700,371
337,3300,8140,2700,1109
338,3480,6376,2640,1587
339,3480,6074,3000,1230
340,3480,8092,2940,674
341,3540,5751,3540,202
342,3540,5908,3540,451
343,3540,6091,3540,452
344,3540,7218,2400,336
345,3540,6713,2940,730
346,3540,6090,3060,1297
347,3540,6408,2940,459
348,3540,7320,3060,929
349,3540,7518,1860,1511
350,3540,7230,2400,335
351,3540,7428,2940,1060
352,3540,5747,3540,203
353,3540,7328,3480,733
354,3540,6413,2820,1326
355,3540,6050,3180,1509
356,3540,5836,3000,560
357,3540,7124,1860,1568
358,3540,7328,1740,1180
359,3540,5985,3300,1296
360,3540,6893,1800,836
361,3540,7305,3480,1512
362,3600,9381,3600,171
363,3600,8054,3000,675
364,3600,6900,3600,1569
365,3600,6002,3600,1015
366,3600,5664,3060,490
367,3600,6178,1800,829
368,3600,6442,3060,1325
369,3600,5715,3060,491
370,3600,5865,3600,1074
371,3600,4657,3600,436
372,3600,6348,3300,372
373,3600,6454,3600,714
374,3600,8290,3480,384
375,3600,6210,1860,1036
376,3600,9625,1860,172
377,3600,7253,3480,383
378,3600,7107,3000,729
379,3600,7370,3060,1061
380,3600,7007,3480,826
381,3600,6494,3540,685
382,3600,6183,3540,1588
383,3600,6593,1800,801
384,3600,7339,2700,744
385,3600,7153,3540,743
386,3600,7384,2940,734
387,3600,5745,3600,561
388,3600,6819,3540,686
389,3600,7461,3600,1115
390,3600,7177,3000,1106
391,3600,8105,3420,101
392,3600,6504,3420,572
393,3600,7130,2340,783
394,3600,6680,3300,891
395,3600,4655,3600,435
396,3600,7381,0,1078
397,3660,6600,2460,380
398,3660,7186,3060,930
399,3660,7256,3660,1181
400,3660,7237,2460,379
401,3660,6400,3660,802
402,3840,6865,3000,837
403,3900,7085,3120,286
404,3900,8180,2700,800
405,3900,7494,3120,287
406,4080,7630,3540,410
407,4080,7443,3540,411
408,4140,7997,3420,1114
409,4140,7100,3540,371
410,4200,6966,4140,573
411,4200,6429,3600,1231
412,4200,8349,4200,1105
413,4200,9216,4140,578
414,4260,7692,3660,382
415,4260,7676,3660,381
416,4260,6633,3660,882
417,4380,7128,4380,713
418,4440,7023,4380,1588
419,4500,7404,4320,572
420,4800,7540,4800,802
421,4800,8581,1200,1078
422,4800,8949,4800,1105
423,4860,7410,4380,1297
424,4920,8708,4860,733
425,5100,7848,5100,713
426,5100,8060,4500,371
427,5280,11305,3540,172
428,5280,9060,4800,929
429,5340,8936,5340,1181
430,5340,8693,3600,836
431,5340,9128,3540,1180
432,5340,8525,4560,286
433,5340,8934,4560,287
434,5340,8866,4740,930
435,5340,7891,5340,452
436,5400,8763,4860,411
437,5400,9854,4800,675
438,5400,9090,4260,335
439,5400,8950,4860,410
440,5400,7696,4860,560
441,5400,7802,5400,1015
442,5400,9078,4260,336
443,5400,7768,5400,451
444,5400,8619,5340,686
445,5400,8425,4560,837
446,5400,7983,5340,1588
447,5400,8304,5220,572
448,5400,7665,5400,1074
449,5400,10012,4860,674
450,5400,7994,4920,1230
451,5400,8294,5340,685
452,5400,7773,4800,882
453,5400,9257,4680,1114
454,5400,11181,5400,171
455,5460,7689,4860,1231
456,5580,8633,5400,1073
457,5580,8346,5520,573
458,6000,10149,6000,1105
459,6000,8550,5520,1297
460,6000,9788,5940,733
461,6000,8740,6000,802
462,6000,9781,2400,1078
463,6300,9732,5700,382
464,6300,9260,5700,371
465,6300,9716,5700,381
466,6600,10457,5880,1114
467,6600,9348,6600,713
468,6840,10628,6780,733
469,6960,9189,6360,1231
470,7140,10920,6660,929
471,7200,11349,7200,1105
472,7200,10726,6600,930
473,7200,10981,3600,1078
474,7200,9465,7200,1074
475,7740,11597,7020,1114
476,7740,10793,7560,1073
477,7800,11588,7740,733
478,8400,12181,4800,1078
479,8640,12129,7440,1075
480,9000,11265,9000,1074
481,9000,12249,0,1104
482,9000,12857,8280,1114
483,9600,13381,6000,1078
484,10800,14949,10800,1105
485,10800,14581,7200,1078
486,10800,13065,10800,1074
487,11040,14093,10860,1073
488,12000,15781,8400,1078
489,12600,14865,12600,1074
490,12600,16749,12600,1105
491,13200,16981,9600,1078
492,14280,18060,13800,929
493,14340,18128,12540,1180
494,14340,16742,14340,1015
495,14340,16713,13740,882
496,14340,17936,14340,1181
497,14340,17434,0,609
498,14400,16665,14400,1074
499,14400,17926,13800,930
500,14400,20181,14400,171
501,14400,17166,14340,573
502,14400,18181,10800,1078
503,14460,20485,12720,172
504,14460,17364,14280,572
505,14640,18129,13440,1075
506,14700,18481,11100,1078
507,14760,17946,14520,610
508,14820,18309,13620,1075
509,14880,17933,14700,1073
510,15000,17265,15000,1074
511,15000,18781,11400,1078
512,15300,19081,11700,1078
513,15480,19260,15000,929
514,15540,17942,15540,1015
515,15540,17913,14940,882
516,15600,18849,6600,1104
517,15600,17865,15600,1074
518,15600,19381,12000,1078
519,15660,18426,15600,573
520,15900,19681,12300,1078
521,15960,19054,1620,609
522,16020,18914,15960,685
523,16080,19770,14940,335
524,16080,19758,14940,336
525,16140,19165,15300,837
526,16140,19359,16080,686
527,16140,19234,1800,609
528,16140,19666,15540,930
529,16140,19493,14400,836
530,16200,19385,15420,286
531,16200,19794,15420,287
532,16200,19981,12600,1078
533,16200,18465,16200,1074
534,16200,19104,16020,572
535,16440,19626,16200,610
536,16500,20281,12900,1078
537,16740,20528,14940,1180
538,16740,20520,16260,929
539,16740,22765,15000,172
540,16740,19142,16740,1015
541,16800,19065,16800,1074
542,16800,20581,13200,1078
543,16800,22581,16800,171
544,16800,20396,16800,1181
545,16860,19626,16800,573
546,17100,20881,13500,1078
547,17160,19533,16560,882
548,17280,20174,17220,685
549,17340,20559,17280,686
550,17340,20829,16140,1075
551,17400,19665,17400,1074
552,17400,21181,13800,1078
553,17580,20633,17400,1073
554,17700,21481,14100,1078
555,17880,20474,17400,1230
556,17880,20490,16140,1036
557,17880,21660,17400,929
558,17940,20965,17100,837
559,17940,21534,17160,287
560,17940,20308,17940,451
561,17940,20066,17400,1035
562,17940,20342,17940,1015
563,17940,20491,17940,452
564,17940,21034,3600,609
565,17940,21125,17160,286
566,18000,20265,18000,1074
567,18000,23165,0,1108
568,18000,24344,0,1864
569,18000,20766,17940,573
570,18000,23827,0,1869
571,18000,21053,17820,1073
572,18000,20470,0,1080
573,18000,21690,16860,335
574,18000,19704,0,1079
575,18000,21781,14400,1078
576,18000,21678,16860,336
577,18000,22297,0,520
578,18000,21249,9000,1104
579,18000,21353,16260,836
580,18060,20289,17460,1231
581,18060,21586,17460,930
582,18060,20964,17880,572
583,18300,21486,18060,610
584,18300,22597,300,520
585,18300,22081,14700,1078
586,18600,22381,15000,1078
587,18600,22032,18000,382
588,18600,21536,0,1158
589,18600,20865,18600,1074
590,18600,22016,18000,381
591,18600,24088,0,1047
592,18600,23456,0,1777
593,18780,21153,18180,882
594,18840,21391,18840,452
595,18840,23137,840,520
596,18900,23634,0,468
597,18900,25244,900,1864
598,18900,22681,15300,1078
