new_index,s_time,e_time,delta_time,old_index
0,22200,26297,0,2
1,22680,26777,480,2
2,22800,27027,0,3
3,22860,27045,0,0
4,23280,25712,0,33
5,23340,25696,0,41
6,23400,25835,0,32
7,23400,27136,0,6
8,23400,24421,0,11
9,23400,25405,0,25
10,23400,25631,0,27
11,23400,27533,0,1
12,23580,27677,1380,2
13,23580,27765,720,0
14,23640,24662,0,10
15,23760,27945,900,0
16,23820,26926,0,43
17,23880,28065,1020,0
18,23880,26406,0,49
19,24000,26432,720,33
20,24000,26526,120,49
21,24000,28227,1200,3
22,24000,28185,1140,0
23,24120,26646,240,49
24,24240,28337,2040,2
25,24480,26375,0,52
26,24480,29704,0,8
27,24480,26915,1080,32
28,24540,28725,1680,0
29,24600,26851,0,44
30,24600,26614,0,53
31,24600,26831,0,45
32,24600,29390,0,9
33,24600,26798,0,34
34,24660,26590,0,31
35,24660,26491,0,29
36,24900,27332,1620,33
37,24900,28997,2700,2
38,25020,27640,0,48
39,25080,27522,0,40
40,25140,26161,1740,11
41,25140,29367,2340,3
42,25200,26213,0,12
43,25200,26193,0,13
44,25200,28260,0,5
45,25200,26651,0,50
46,25200,27279,0,37
47,25320,29666,2460,0
48,25500,28120,480,48
49,25500,29696,2100,1
50,25500,28067,0,26
51,25680,28115,2280,32
52,25740,29916,3540,2
53,25800,27763,0,24
54,25860,29420,0,7
55,25920,27815,1440,52
56,25920,31454,1440,8
57,25980,28251,0,14
58,25980,30176,2580,1
59,26100,28291,0,16
60,26100,28952,0,15
61,26340,28960,1320,48
62,26340,30567,3540,3
63,26460,31502,1860,9
64,26460,28474,1860,53
65,26520,28955,3120,32
66,26700,31046,3840,0
67,26760,30936,4560,2
68,26820,29440,1800,48
69,26880,29051,0,28
70,26880,31076,3480,1
71,27000,29098,2340,29
72,27000,29234,0,35
73,27000,28345,0,54
74,27060,29492,3780,33
75,27060,29005,0,30
76,27180,31407,4380,3
77,27300,29196,0,23
78,27420,28442,3780,10
79,27480,31676,4080,1
80,27600,30035,4200,32
81,27600,29648,0,36
82,27660,31836,5460,2
83,27900,31426,0,42
84,27900,32127,5100,3
85,27960,32187,5160,3
86,28080,32276,4680,1
87,28200,30205,4800,25
88,28200,30298,0,19
89,28200,30820,3180,48
90,28200,30057,0,18
91,28440,32667,5640,3
92,28440,30875,5040,32
93,28440,32616,6240,2
94,28500,30731,5100,27
95,28500,29513,3300,12
96,28500,29493,3300,13
97,28500,31560,3300,5
98,28560,32906,5700,0
99,28740,33782,4140,9
100,28740,30754,4140,53
101,28800,31798,0,4
102,28800,29821,5400,11
103,28920,31352,5640,33
104,28920,31276,5580,41
105,29100,31063,3300,24
106,29100,31271,2220,28
107,29340,33516,7140,2
108,29340,33686,6480,0
109,29400,31651,4800,44
110,29400,32052,4740,31
111,29400,31598,4800,34
112,29400,31631,4800,45
113,29400,33627,6600,3
114,29400,33136,6000,6
115,29460,33656,6060,1
116,29520,31119,0,39
117,29640,31654,5040,53
118,29640,34682,5040,9
119,29640,30662,6000,10
120,29640,31585,2580,30
121,29700,32014,0,17
122,29820,32346,5940,49
123,30300,32534,3300,35
124,30300,34496,6900,1
125,30300,31645,3300,54
126,30300,33826,6480,43
127,30300,34476,8100,2
128,30360,34706,7500,0
129,30420,32862,5340,40
130,30540,33392,4440,15
131,30540,36074,6060,8
132,30540,32435,6060,52
133,30540,33066,6660,49
134,30600,32572,0,22
135,30600,32433,0,46
136,30600,33035,7200,32
137,30600,34827,7800,3
138,30840,33111,4860,14
139,30900,33467,5400,26
140,30900,32998,6240,29
141,31140,33572,7860,33
142,31200,35376,9000,2
143,31260,35487,8460,3
144,31260,32818,0,38
145,31260,35606,8400,0
146,31500,33598,3300,19
147,31500,35696,8100,1
148,31500,33505,8100,25
149,31500,33357,3300,18
150,31740,34266,7860,49
151,31800,32813,6600,12
152,31800,34452,7140,31
153,31800,32793,6600,13
154,31800,34860,6600,5
155,31920,36147,9120,3
156,32100,35098,3300,4
157,32280,36456,10080,2
158,32340,34775,8940,32
159,32400,33421,9000,11
160,32400,36823,0,21
161,32400,34832,9120,33
162,32400,34363,6600,24
163,32460,36593,9060,1
164,32700,34898,8100,34
165,32700,34951,8100,44
166,32700,34931,8100,45
167,32760,36945,9900,0
168,32820,34772,5940,28
169,32880,34711,8220,29
170,32940,37167,10140,3
171,32940,33962,9300,10
172,33000,36560,7140,7
173,33240,37373,9840,1
174,33600,37785,10740,0
175,33600,37697,11400,2
176,33600,34945,6600,54
177,33600,38824,9120,8
