new_index,s_time,e_time,delta_time,old_index
0,19800,25869,0,173
1,19800,24238,0,172
2,19800,24035,0,266
3,20400,30614,0,138
4,20400,28281,0,15
5,20400,30138,0,179
6,20400,28986,0,16
7,20400,30514,0,139
8,20400,28363,0,17
9,20400,28863,0,72
10,20400,28467,0,14
11,20460,30331,0,73
12,21000,26203,0,80
13,21000,27843,0,3
14,21000,24330,0,250
15,21000,27677,0,2
16,21000,23992,0,251
17,21180,29061,780,15
18,21180,31294,780,139
19,21180,31394,780,138
20,21240,29307,840,14
21,21300,25385,0,231
22,21300,27924,0,228
23,21300,28341,0,229
24,21300,25422,0,74
25,21360,26381,0,174
26,21360,31098,960,179
27,21360,29823,960,72
28,21540,28581,240,229
29,21600,26188,0,256
30,21600,27796,0,83
31,21600,31471,1140,73
32,21600,22956,0,52
33,21600,26803,600,80
34,21600,28891,0,20
35,21600,31093,0,162
36,21600,28957,0,21
37,21600,31138,0,178
38,21600,27052,0,117
39,21600,29143,0,156
40,21600,27728,0,41
41,21600,23065,0,53
42,21600,26292,0,159
43,21600,26127,0,145
44,21600,27423,0,212
45,21600,26883,0,144
46,21600,27534,0,89
47,21600,26609,0,18
48,21600,25673,0,238
49,21600,26625,0,255
50,21600,24866,0,252
51,21660,25601,0,75
52,21660,30568,0,90
53,21660,27656,0,46
54,21660,30769,0,91
55,21660,29203,0,157
56,21720,32508,0,163
57,21720,27156,0,19
58,21720,28294,0,27
59,21720,28197,0,13
60,21720,25287,0,29
61,21720,29100,0,49
62,21720,28761,420,229
63,21780,26469,0,158
64,21840,26857,0,25
65,21840,31954,1440,139
66,21900,32114,1500,138
67,21900,28524,600,228
68,21900,24892,900,251
69,21900,28276,0,51
70,21900,27057,0,213
71,21900,28401,0,47
72,22080,30147,1680,14
73,22080,29121,780,229
74,22140,30021,1740,15
75,22140,27161,780,174
76,22140,26225,840,231
77,22200,26800,0,100
78,22200,26608,0,101
79,22200,28269,2400,173
80,22200,26736,0,237
81,22200,26638,2400,172
82,22260,25414,0,78
83,22260,27429,0,236
84,22260,31998,1860,179
85,22320,24452,0,5
86,22320,29361,1020,229
87,22320,25650,1320,250
88,22320,27005,0,43
89,22380,27975,0,50
90,22380,24117,0,71
91,22380,31918,780,178
92,22380,29032,0,184
93,22440,26562,1140,74
94,22500,26779,0,142
95,22500,26819,0,42
96,22500,27509,900,18
97,22500,27020,0,143
98,22500,29124,1200,228
99,22560,31023,2160,72
100,22560,32674,2160,139
101,22560,27581,1200,174
102,22560,27996,840,19
103,22560,29909,0,170
104,22560,27763,1560,80
105,22560,26633,960,238
106,22620,27305,300,43
107,22620,28816,1020,83
108,22620,32158,1020,178
109,22620,30583,2220,17
110,22620,26561,960,75
111,22680,27207,1080,145
112,22680,29721,1380,229
113,22680,27811,0,175
114,22680,32894,2280,138
115,22740,28907,0,171
116,22740,33528,1020,163
117,22740,25732,1740,251
118,22800,31386,2400,16
119,22800,26260,0,181
120,22800,26258,0,180
121,22800,29105,0,76
122,22800,28661,0,182
123,22800,30681,2400,15
124,22800,25184,0,275
125,22800,32671,2340,73
126,22800,28427,0,81
127,22800,29477,1800,2
128,22800,29643,1800,3
129,22800,32293,1200,162
130,22800,25210,0,264
131,22860,29434,1140,27
132,22860,30151,1260,20
133,22860,28479,0,183
134,22860,28312,0,116
135,22860,27549,1080,158
136,22920,28051,240,175
137,22920,27945,1320,255
138,22920,30987,2520,14
139,22920,29397,1200,13
140,22980,28263,1380,144
141,22980,29285,180,76
142,22980,27299,480,42
