new_index,s_time,e_time,delta_time,old_index
0,21000,24401,0,6
1,21600,24973,0,106
2,21600,28246,0,77
3,21600,26630,0,62
4,21600,24336,0,111
5,21600,25037,0,105
6,21660,29203,0,65
7,22200,25519,0,14
8,22200,28421,0,84
9,22200,25601,1200,6
10,22200,27740,0,60
11,22200,27189,0,61
12,22200,30710,0,79
13,22440,27230,0,63
14,22500,26536,0,25
15,22500,26354,0,56
16,22620,28841,420,84
17,22680,29326,1080,77
18,22740,27041,0,101
19,22800,28042,0,3
20,22800,27074,0,41
21,22800,25630,0,39
22,22800,25641,0,44
23,22800,28185,0,117
24,22800,25879,0,124
25,22800,28714,0,99
26,22800,28145,0,118
27,22920,26566,0,112
28,22920,31905,0,66
29,22920,25901,0,68
30,23280,29501,1080,84
31,23340,26741,2340,6
32,23340,25727,0,90
33,23400,26520,0,74
34,23400,30943,1740,65
35,23400,26230,600,39
36,23400,26890,0,58
37,23400,27237,0,57
38,23400,27784,0,87
39,23400,28085,0,88
40,23400,26699,0,15
41,23400,26559,0,38
42,23400,29316,0,113
43,23400,28544,0,121
44,23400,25764,0,46
45,23400,27280,0,70
46,23400,26082,0,7
47,23460,25537,0,47
48,23460,29838,0,100
49,23460,26779,1260,14
50,23520,27149,0,102
51,23640,32150,1440,79
52,23640,28327,0,89
53,23700,27106,0,50
54,23700,28581,0,104
55,23700,29811,0,125
56,23700,28120,0,40
57,23700,29616,0,114
58,23700,28579,0,103
59,23700,26436,2100,111
60,23700,28730,2100,62
61,23700,26916,0,51
62,23700,29406,0,64
63,23760,25864,0,76
64,23760,27302,0,45
65,23820,28094,1020,41
66,23880,27734,1380,56
67,23940,30586,2340,77
68,23940,27745,0,69
69,24000,27774,0,29
70,24000,29207,0,122
71,24000,26747,0,98
72,24000,26631,0,123
73,24000,28305,0,10
74,24000,25029,0,110
75,24000,25437,0,109
76,24000,27227,0,85
77,24000,30221,1800,84
78,24000,30781,0,78
79,24060,30181,0,126
80,24060,28170,0,28
81,24120,27336,420,51
82,24180,28017,780,57
83,24180,28216,1680,25
84,24180,26862,780,7
85,24240,27399,840,38
86,24240,27539,840,15
87,24300,29542,1500,3
88,24420,28300,1020,70
89,24420,30334,1620,99
90,24480,27886,780,50
91,24480,27799,2280,14
92,24540,29225,1140,88
93,24600,28142,840,45
94,24600,27872,0,20
95,24600,28551,0,22
96,24600,33529,0,80
97,24600,30516,0,43
98,24600,28001,3600,6
99,24660,27876,960,51
100,24660,28097,3060,105
101,24660,27490,1860,39
102,24660,27780,1260,74
103,24660,31185,0,12
104,24660,28033,3060,106
105,24780,28270,1380,58
106,24780,29054,1980,41
107,24840,31621,840,78
108,24840,27821,1920,68
109,24900,27582,1500,7
110,24960,33470,2760,79
111,25020,29404,1620,87
112,25080,28296,1380,51
113,25080,31301,2880,84
114,25080,28934,2580,56
115,25080,27485,0,48
116,25140,27504,1740,46
117,25140,28977,1740,57
118,25140,31786,3540,77
119,25140,27981,2340,44
120,25200,30291,0,81
121,25200,31053,1500,64
122,25200,30545,2400,118
123,25200,27673,1740,47
124,25200,27730,0,53
125,25200,31578,1740,100
126,25200,28404,0,86
127,25260,30800,3060,60
128,25260,30249,3060,61
129,25320,34641,2400,66
130,25320,32910,3660,65
131,25380,30846,0,82
132,25380,28607,1380,85
133,25380,29642,0,0
134,25380,27894,0,19
135,25440,28739,2040,15
136,25440,29214,1440,29
137,25500,28330,2700,39
138,25500,30263,1500,10
139,25560,28873,2160,38
140,25620,33572,0,71
141,25620,31535,2820,3
142,25680,29524,1920,45
143,25680,28191,0,75
144,25680,31699,2280,70
145,25680,29299,0,21
146,25680,32614,1020,12
147,25680,31078,3180,25
148,25680,30469,2040,89
149,25680,28067,2340,90
150,25740,29059,3540,14
151,25740,31861,1680,126
152,25740,29398,2040,50
153,25800,32137,0,42
154,25800,28482,2400,7
155,25800,29512,4800,6
156,25860,29379,1260,20
157,25860,30702,2460,88
158,25860,28939,3060,124
159,25860,31023,0,13
160,25920,29725,1980,69
161,25920,30789,2220,40
162,25980,29785,2040,69
163,26040,33372,2040,78
164,26040,30440,3300,101
165,26100,30289,3600,56
166,26100,29046,0,73
167,26100,30675,0,1
168,26100,27741,0,16
169,26160,30353,0,37
170,26160,31561,3360,117
171,26160,29639,2460,51
172,26160,30260,2760,57
173,26220,33222,4620,77
174,26220,31269,4620,62
175,26220,29350,2820,74
176,26220,28956,4620,111
177,26280,30919,3480,41
178,26280,31625,3480,118
179,26340,31182,2940,88
180,26340,30450,2280,28
181,26340,29653,2940,38
182,26400,32862,0,83
183,26400,30112,5400,6
184,26400,30595,1800,22
185,26460,30631,3660,44
186,26460,29759,3060,15
187,26460,29142,3060,7
188,26460,31604,3060,121
