new_index,s_time,e_time,delta_time,old_index
0,18600,27265,0,34
1,20700,30118,0,29
2,20700,31557,0,30
3,21000,28966,0,80
4,21600,24336,0,108
5,21600,26691,0,145
6,21600,30345,0,52
7,21600,28809,0,45
8,21600,26842,0,6
9,21600,25413,0,24
10,21600,22871,0,2
11,21600,22871,0,3
12,21600,27653,0,19
13,21600,27129,0,20
14,21660,28176,0,13
15,21720,29686,720,80
16,21720,25704,0,4
17,21780,26266,0,10
18,22080,26064,360,4
19,22140,24876,540,108
20,22200,27911,0,59
21,22320,28373,720,19
22,22380,27112,0,113
23,22500,32363,0,50
24,22500,26822,0,147
25,22500,28029,900,20
26,22500,24818,0,85
27,22500,27837,0,119
28,22680,28430,0,101
29,22740,27006,0,66
30,22740,26983,0,65
31,22740,28264,0,100
32,22740,27888,0,7
33,22740,25367,0,79
34,22740,30706,1740,80
35,22800,25102,0,161
36,22800,26263,0,122
37,22800,26918,0,115
38,22800,26100,0,68
39,22800,25392,0,78
40,22860,25596,1260,108
41,22980,30948,0,81
42,22980,31748,0,31
43,23040,27024,1320,4
44,23100,30273,0,41
45,23220,29273,1620,19
46,23220,25956,1620,108
47,23220,32638,2520,29
48,23280,26743,480,122
49,23280,25995,0,67
50,23340,28869,1740,20
51,23400,26905,0,55
52,23400,25730,0,163
53,23400,26795,0,127
54,23400,26600,0,126
55,23400,27651,0,146
56,23400,33907,0,47
57,23400,24940,0,129
58,23400,25253,0,159
59,23400,32481,0,36
60,23400,26338,0,26
61,23400,26761,0,25
62,23400,27595,0,117
63,23400,27504,0,9
64,23400,27133,0,8
65,23400,26932,0,76
66,23400,27264,0,21
67,23400,27089,0,141
68,23400,27025,0,120
69,23400,26837,0,142
70,23400,27048,0,103
71,23400,26700,600,68
72,23400,26052,0,104
73,23400,29727,0,37
74,23400,25440,0,165
75,23400,25288,0,105
76,23400,27718,0,125
77,23400,24900,0,133
78,23400,27884,0,124
79,23400,24994,0,128
80,23460,34317,2760,30
81,23520,26147,780,79
82,23520,28762,1920,6
83,23520,28309,0,62
84,23520,27854,0,102
85,23580,27896,0,22
86,23580,29548,0,27
87,23700,30860,0,111
88,23700,27787,0,5
89,23700,32094,0,88
90,23760,28492,1380,113
91,23820,26556,2220,108
92,23880,27874,0,106
93,23880,27143,0,123
94,23880,31846,2880,80
95,23940,26761,0,73
96,23940,29651,1740,59
97,23940,31102,0,32
98,23940,27516,0,121
99,23940,28209,0,143
100,24000,26820,0,74
101,24000,27458,0,93
102,24000,28243,1260,65
103,24000,33090,0,89
104,24000,28118,1200,115
105,24000,28266,1260,66
106,24060,28546,2280,10
107,24060,29810,1380,101
108,24060,28015,0,114
109,24120,27578,120,93
110,24120,28362,0,116
111,24120,27853,720,8
112,24120,29644,1380,100
113,24120,29457,1620,119
114,24120,30636,2460,13
115,24180,28164,2460,4
116,24240,28556,660,22
117,24240,29769,2640,20
118,24240,28344,840,9
119,24240,30293,2640,19
120,24300,27695,900,127
121,24420,27925,1020,55
122,24420,26816,0,160
123,24420,27135,1140,67
124,24420,28527,0,92
125,24420,27240,420,74
126,24420,27480,0,109
127,24420,29531,0,112
128,24420,27047,1680,79
129,24420,27857,1020,142
130,24480,32448,1500,81
131,24480,27301,540,73
132,24480,27943,1680,122
133,24540,26580,1140,165
134,24540,26580,0,164
135,24540,28862,2040,147
136,24540,28647,120,92
137,24600,31148,0,12
138,24600,27252,1200,104
139,24600,28630,0,58
140,24600,26488,1200,105
141,24600,33732,0,43
142,24600,28695,0,144
143,24600,26527,0,149
144,24660,28360,0,107
145,24660,28524,0,140
146,24720,33488,1740,31
147,24720,28345,1320,120
148,24720,29848,0,56
149,24780,30468,0,110
150,24780,26739,0,154
151,24780,28080,1980,68
152,24840,28529,1440,141
153,24840,28958,2040,115
154,24900,28764,1500,21
