new_index,s_time,e_time,delta_time,old_index
0,19500,25391,0,117
1,20400,24861,0,141
2,20400,23069,0,153
3,20700,24282,0,55
4,20700,21151,0,227
5,20880,24976,0,135
6,20880,26771,1380,117
7,21000,26082,0,127
8,21000,25609,0,125
9,21000,24368,0,99
10,21300,23242,0,97
11,21540,24209,1140,153
12,21600,26330,0,44
13,21600,25122,0,54
14,21600,25889,0,218
15,21600,26414,0,179
16,21600,27133,0,13
17,21600,24606,0,180
18,21600,24968,600,99
19,21600,27283,0,47
20,21600,25182,900,55
21,21600,26767,0,12
22,21600,25935,0,3
23,21600,22051,900,227
24,21600,26003,0,171
25,21600,22054,0,228
26,21660,26845,0,2
27,21780,25876,900,135
28,21780,26945,0,118
29,21840,26879,0,170
30,22020,27829,0,48
31,22080,25836,0,167
32,22140,25508,1140,99
33,22200,28343,0,46
34,22200,28311,0,4
35,22200,28167,0,5
36,22200,24821,0,152
37,22260,25782,660,54
38,22260,22714,660,228
39,22320,24989,1920,153
40,22440,28331,2940,117
41,22440,26324,0,122
42,22500,26022,900,54
43,22500,24618,0,162
44,22500,26739,0,176
45,22500,22954,900,228
46,22500,26659,0,113
47,22500,27109,1500,125
48,22500,27940,0,144
49,22500,26903,900,171
50,22500,27034,0,177
51,22560,25566,960,180
52,22560,27444,0,52
53,22560,26142,1860,55
54,22560,27599,720,170
55,22560,23011,1860,227
56,22560,27331,0,51
57,22560,26895,960,3
58,22620,27805,960,2
59,22740,25964,0,101
60,22800,26569,0,76
61,22800,26885,0,169
62,22800,28767,600,5
63,22800,27301,0,94
64,22800,27967,1200,12
65,22800,26329,0,103
66,22800,24739,0,107
67,22800,26470,0,77
68,22800,26168,1800,99
69,22860,26616,780,167
70,22920,27141,0,161
71,23100,25653,0,86
72,23100,28265,1320,118
73,23100,28183,0,124
74,23220,27681,2820,141
75,23340,27499,840,113
76,23340,26708,2340,99
77,23340,28224,780,52
78,23340,25961,1140,152
79,23340,28111,780,51
80,23340,28379,1500,170
81,23400,28009,2400,125
82,23400,26922,1800,54
83,23400,25243,0,154
84,23400,23854,1800,228
85,23400,27689,1800,218
86,23400,26697,0,185
87,23400,28500,0,39
88,23400,26045,0,84
89,23400,28196,0,146
90,23400,25110,0,202
91,23400,27747,0,147
92,23400,26210,0,85
93,23400,28567,1800,12
94,23400,26982,2700,55
95,23400,23851,2700,227
96,23460,27863,1860,171
97,23460,29571,1260,4
98,23460,27536,0,123
99,23460,27921,3060,141
100,23460,26804,0,20
101,23520,28879,0,11
102,23580,27349,780,76
103,23580,28126,0,10
104,23580,27464,1140,122
105,23580,27513,0,104
106,23700,27456,1620,167
107,23700,25411,0,16
108,23760,26766,2160,180
109,23760,27430,960,77
110,23760,27856,2880,135
111,23820,29787,1620,5
112,23880,29991,1680,4
113,23880,26549,3480,153
114,23940,29831,4440,117
115,24000,29143,0,140
116,24000,27298,0,21
117,24000,30143,1800,46
118,24000,25860,0,96
119,24000,29185,2340,2
120,24000,28076,540,123
121,24000,26155,0,27
122,24000,26002,0,142
123,24060,29588,0,1
124,24060,28944,1500,52
125,24060,28831,1500,51
126,24060,26681,1860,152
127,24120,27344,1380,101
128,24120,29653,2520,13
129,24120,27488,3120,99
130,24120,29159,2280,170
131,24180,29970,0,0
132,24180,24631,3480,227
133,24180,27762,3480,55
134,24300,27822,2700,54
135,24300,28635,2700,3
136,24300,28909,3300,125
137,24300,28703,2700,171
138,24300,24754,2700,228
139,24360,29443,1260,124
140,24360,28148,0,174
141,24420,30531,2220,4
142,24420,29587,2820,12
143,24480,28249,1680,76
144,24480,28236,2400,167
145,24540,29725,2880,2
146,24540,29705,2760,118
147,24540,28036,0,98
148,24540,28761,1620,161
149,24540,27837,1140,185
150,24600,27467,0,63
151,24600,30071,0,126
152,24600,30050,0,145
153,24600,28433,0,166
154,24600,27467,0,81
155,24600,26760,0,26
