new_index,s_time,e_time,delta_time,old_index
0,0,3117,0,568
1,0,2058,0,928
2,0,3303,0,198
3,0,2258,0,1530
4,0,2113,0,927
5,0,4507,0,182
6,0,1053,0,194
7,0,5994,0,1088
8,0,3851,0,195
9,0,5661,0,185
10,60,3248,0,569
11,180,3345,0,1453
12,240,3782,0,1452
13,600,1561,0,1361
14,600,1507,0,801
15,600,3825,0,295
16,1140,4991,1140,195
17,1200,4742,960,1452
18,1260,4425,1080,1453
19,1500,2461,900,1361
20,1740,4157,0,186
21,1740,4928,1680,569
22,1740,4946,0,145
23,1740,4407,0,160
24,1740,7401,1740,185
25,1740,6247,1740,182
26,1740,5043,1740,198
27,1800,4917,1800,568
28,2340,6191,2340,195
29,2340,5505,2160,1453
30,2400,5942,2160,1452
31,2400,3361,1800,1361
32,3300,4261,2700,1361
33,3300,5717,1560,186
34,3480,6645,3300,1453
35,3540,6207,1800,160
36,3540,6843,3540,198
37,3540,7391,3540,195
38,3540,6746,1800,145
39,3540,8047,3540,182
40,3540,9201,3540,185
41,3600,7142,3360,1452
42,4440,5401,3840,1361
43,4740,8591,4740,195
44,4740,7905,4560,1453
45,5160,7577,3420,186
46,5280,6241,4680,1361
47,5340,8643,5340,198
48,5340,8546,3600,145
49,5340,9847,5340,182
50,5340,8007,3600,160
51,5400,7717,0,179
52,5940,9105,5760,1453
53,5940,9791,5940,195
54,5940,11601,5940,185
55,6000,6961,5400,1361
56,7080,9497,5340,186
57,7140,10443,7140,198
58,7140,10305,6960,1453
59,7140,9807,5400,160
60,7140,11647,7140,182
61,7140,10991,7140,195
62,7140,10346,5400,145
63,7200,8253,7200,194
64,7200,9258,7200,928
65,7200,8161,6600,1361
66,7200,9313,7200,927
67,7740,13401,7740,185
68,8400,9361,7800,1361
69,8940,13447,8940,182
70,8940,12791,8940,195
71,8940,12146,7200,145
72,8940,11607,7200,160
73,8940,12243,8940,198
74,9600,10561,9000,1361
75,10140,13346,8400,145
76,10140,12807,8400,160
77,10740,14591,10740,195
78,10800,14006,9060,145
79,10800,11761,10200,1361
80,10800,13467,9060,160
81,11340,14007,9600,160
82,11400,14606,9660,145
83,11940,15146,10200,145
84,12000,14667,10260,160
85,12300,14967,10560,160
86,12300,15506,10560,145
87,12600,14917,7200,179
88,12600,13561,12000,1361
89,12660,15327,10920,160
90,13320,15987,11580,160
91,13440,16107,11700,160
92,13800,17006,12060,145
93,14040,16707,12300,160
94,14340,17643,14340,198
95,14340,16757,12600,186
96,14340,18847,14340,182
97,14400,16513,14400,927
98,14400,18251,14400,195
99,14400,15453,14400,194
100,14400,16458,14400,928
101,14460,15421,13860,1361
102,14520,16857,0,196
103,14700,17367,12960,160
104,15000,18206,13260,145
105,15000,17667,13260,160
106,15000,21757,0,184
107,15240,21997,240,184
108,15600,18267,13860,160
109,15840,19046,14100,145
110,15900,18567,14160,160
111,16080,18417,1560,196
112,16140,18807,14400,160
113,16140,19346,14400,145
114,16200,17161,15600,1361
115,16440,23197,1440,184
116,16740,19407,15000,160
117,17340,20007,15600,160
118,17940,21791,17940,195
119,17940,24697,2940,184
120,17940,21146,16200,145
121,17940,20607,16200,160
122,18000,23131,0,1264
123,18000,27334,0,94
124,18000,21957,0,1507
125,18000,20766,0,197
126,18000,25676,0,61
127,18000,26445,0,1385
128,18000,25676,0,61
129,18000,18961,17400,1361
130,18000,27156,0,93
131,18060,20397,3540,196
132,18060,21872,0,187
133,18060,26971,0,886
134,18060,26455,0,1353
135,18060,22562,0,183
136,18180,26663,0,1149
137,18240,20907,16500,160
138,18540,27696,540,93
139,18600,27045,600,1385
140,18600,25187,0,1495
141,18600,22181,0,1354
142,18600,22528,0,1059
143,18600,26884,0,1317
144,18600,25680,0,1481
145,18600,21267,16860,160
146,18720,28054,720,94
147,18720,21925,0,1509
148,18900,26855,0,1604
149,19140,22346,17400,145
150,19140,21807,17400,160
151,19200,24546,0,918
152,19200,24061,0,1497
153,19200,28115,0,59
154,19200,25861,0,792
155,19200,27645,1200,1385
156,19200,23412,0,1494
157,19200,26999,0,1603
158,19200,23157,1200,1507
159,19200,28195,0,1358
160,19200,28145,0,1360
161,19200,27683,1020,1149
162,19200,26460,0,908
163,19200,26343,0,1154
164,19260,24606,60,918
165,19260,25847,660,1495
166,19260,25921,60,792
167,19260,22365,0,332
168,19320,28231,1260,886
169,19440,28774,1440,94
170,19500,27784,900,1317
171,19500,27895,1440,1353
172,19500,27455,600,1604
173,19680,27356,1680,61
174,19740,24601,540,1497
175,19740,26497,4740,184
176,19740,28896,1740,93
177,19740,22407,18000,160
178,19800,25946,0,664
179,19800,24695,0,968
180,19800,25970,0,795
181,19800,22917,0,537
182,19800,25217,0,149
183,19800,24931,1800,1264
184,19800,29934,0,943
185,19800,23338,0,1074
186,19800,28116,0,1659
187,19800,29503,0,39
188,19800,26723,0,1270
189,19800,26256,0,1271
190,19800,24189,0,99
191,19800,26131,0,27
192,19800,20761,19200,1361
193,19800,24085,0,101
194,19800,23740,0,1344
195,19800,27517,0,558
196,19800,24645,0,969
197,19800,27868,0,87
198,19800,23887,0,1666
199,19800,27052,0,986
200,19800,24009,0,1862
201,19800,27692,0,985
202,19800,22137,5280,196
203,19800,23622,0,1050
204,19800,22778,0,1858
205,19800,23612,1740,187
206,19800,25813,0,1381
207,19800,25380,0,1301
208,19800,26815,0,264
209,19800,22566,1800,197
210,19800,29934,0,943
211,19800,24679,0,1334
212,19800,28245,1800,1385
213,19800,24952,0,350
214,19800,25940,0,597
215,19800,23176,0,1689
216,19800,24238,0,1477
217,19860,20494,0,1065
218,19860,25345,0,273
219,19860,27383,0,1593
