new_index,s_time,e_time,delta_time,old_index
0,19740,25601,0,29
1,19800,25784,0,19
2,19800,26220,0,18
3,19800,24992,0,11
4,19800,25959,0,28
5,21000,24081,0,113
6,21600,24665,0,48
7,21600,28187,0,26
8,21600,24616,0,54
9,21600,24727,0,55
10,21600,27884,0,21
11,21600,27771,0,20
12,21600,24920,0,97
13,21600,25752,0,1
14,21600,26063,0,56
15,21600,25956,0,57
16,21600,25145,0,47
17,21600,27923,0,111
18,21600,25412,0,62
19,21600,25367,0,46
20,21600,24629,0,49
21,21600,25205,0,50
22,21600,25268,0,51
23,21600,25668,0,63
24,21720,28310,0,110
25,21840,28068,0,27
26,22500,27133,0,33
27,22500,26732,0,32
28,22560,29018,0,7
29,22620,29210,900,110
30,22680,29003,1080,111
31,22740,29160,2940,18
32,22800,26181,0,59
33,22980,28830,0,25
34,23400,26996,0,53
35,23400,27090,0,43
36,23400,26844,0,52
37,23400,27077,0,42
38,23400,25698,0,108
39,23400,26674,0,76
40,23400,25891,0,89
41,23400,29655,0,115
42,23400,25595,0,78
43,23400,27400,0,35
44,23400,25198,0,93
45,23400,25951,0,109
46,23400,26863,0,34
47,23400,24090,0,70
48,23400,25932,0,88
49,23400,26730,0,95
50,23400,28372,0,31
51,23400,25773,0,90
52,23400,25901,0,91
53,23400,25933,0,60
54,23400,26313,0,61
55,23400,26678,0,58
56,23400,26836,0,106
57,23400,26467,0,82
58,23400,26758,0,107
59,23400,26277,0,83
60,23400,25687,0,65
61,23400,25748,0,64
62,23400,26289,0,67
63,23400,26199,0,103
64,23400,26208,0,102
65,23400,27025,0,5
66,23400,26404,0,100
67,23400,26386,0,101
68,23400,26771,0,98
69,23400,26810,0,99
70,23400,29034,0,15
71,23400,29622,0,14
72,23400,28637,0,24
73,23400,28314,0,30
74,23400,26363,0,68
75,23400,29149,0,23
76,23400,26580,0,69
77,23400,25932,0,45
78,23400,27960,0,119
79,23400,25490,0,85
80,23400,25778,0,81
81,23400,26898,0,94
82,23400,28003,0,118
83,23400,25924,0,44
