new_index,s_time,e_time,delta_time,old_index
0,0,1707,0,94
1,0,1467,0,93
2,4800,6507,4800,94
3,4800,6267,4800,93
4,9600,11067,9600,93
5,9600,11307,9600,94
6,14400,16107,14400,94
7,14400,15867,14400,93
8,19200,20667,19200,93
9,19200,20907,19200,94
10,21600,26393,0,0
11,22200,30661,0,103
12,22200,28530,0,104
13,22500,31874,0,2
14,22800,25415,0,42
15,22800,25399,0,43
16,22860,27339,0,71
17,22860,27828,0,70
18,22980,29207,0,131
19,23100,29397,0,106
20,23100,29630,0,105
21,23100,27887,0,7
22,23220,25992,0,135
23,23400,26272,0,81
24,23400,26216,0,41
25,23400,26268,0,40
26,23400,26666,0,82
27,23400,26577,0,62
28,23400,28350,0,85
29,23400,27111,0,64
30,23400,27887,0,65
31,23400,30186,0,53
32,23400,26673,0,63
33,23400,27681,0,86
34,23400,27800,0,29
35,23400,26043,0,38
36,23400,27082,0,10
37,23400,32515,0,3
38,23400,28674,0,46
39,23400,27113,0,128
40,23400,27251,0,18
41,23400,25428,0,57
42,23400,28416,0,28
43,23400,31119,0,145
44,23400,29102,0,27
45,23400,29876,0,130
46,23400,26098,0,39
47,23400,26676,0,87
48,23460,27631,0,19
49,23460,28780,0,47
50,23460,26059,660,43
51,23460,27546,0,52
52,23520,26568,0,111
53,23640,26255,840,42
54,23700,27794,0,33
55,23700,26876,0,32
56,23700,26772,0,153
57,23700,27305,0,67
58,23700,28047,0,100
59,23700,28201,0,99
60,23700,27138,0,66
61,23700,26340,0,44
62,23880,27447,0,120
63,23940,28890,540,85
64,24000,26640,300,44
65,24000,25467,24000,93
66,24000,25707,24000,94
67,24000,29272,0,31
68,24000,29344,0,30
69,24000,26698,600,39
70,24000,27103,0,96
71,24000,26773,0,9
72,24000,26211,0,98
73,24000,26652,0,97
74,24000,26751,0,72
75,24000,26827,0,35
76,24000,28215,0,117
77,24000,26790,0,8
78,24060,30609,0,92
79,24060,26703,660,38
80,24060,25870,0,20
81,24060,29028,1200,70
82,24060,33580,0,146
83,24120,25938,0,21
84,24120,27831,720,64
85,24120,28154,0,118
86,24120,28607,720,65
87,24120,27386,720,82
88,24180,30384,0,129
89,24180,30656,780,130
90,24180,28461,780,86
91,24180,27052,780,81
92,24240,28334,540,33
93,24240,30467,1260,131
94,24240,27416,540,32
95,24240,28091,840,18
96,24240,28587,540,100
97,24240,28411,780,19
98,24240,29947,0,132
99,24240,27104,0,95
100,24300,29843,0,22
101,24300,30293,0,49
102,24300,29087,1200,7
103,24300,28910,0,1
104,24300,27235,0,134
105,24360,30751,0,48
106,24360,26959,1560,43
107,24360,28446,900,52
108,24420,27288,1020,40
109,24480,26672,0,56
110,24540,29019,1680,71
111,24540,28755,540,117
112,24600,26628,1200,57
113,24600,27648,1080,111
114,24600,29920,1140,47
115,24600,30884,0,126
116,24600,32928,0,4
117,24660,28265,960,67
118,24660,28227,780,120
119,24660,27936,1260,87
120,24660,27358,1260,39
121,24660,27275,1860,42
