new_index,s_time,e_time,delta_time,old_index
0,23400,26526,0,22
1,23400,24673,0,4
2,23400,26584,0,21
3,23400,27944,0,33
4,23400,25526,0,28
5,23400,25841,0,35
6,23400,25158,0,29
7,23400,24466,0,42
8,23400,24670,0,1
9,23400,26046,0,14
10,23400,26046,0,34
11,23400,24650,0,0
12,23400,26331,0,15
13,23400,30025,0,44
14,23400,26356,0,9
15,23400,27763,0,6
16,23400,26587,0,40
17,23400,24789,0,3
18,23400,27330,0,8
19,23520,25646,0,23
20,23520,26723,0,47
21,23820,26788,0,36
22,23940,27945,0,19
23,24000,28420,0,5
24,24300,27186,0,48
25,24360,28723,960,6
26,24360,27547,960,40
27,24420,26944,0,31
28,24480,26413,0,2
29,24480,27584,0,41
30,24480,27050,0,30
31,24480,27411,1080,15
32,24600,27246,1200,14
33,24780,27770,0,37
34,24780,28303,0,27
35,25200,26935,0,49
36,25200,29620,0,20
37,25200,28156,1800,9
38,25200,29516,0,32
39,25200,27534,0,50
40,25200,30063,0,45
41,25200,29570,0,46
42,25200,29800,0,7
43,25260,29804,1860,33
44,25260,28191,1860,15
45,25380,31485,0,38
46,25380,28567,1980,40
47,25440,28544,960,41
48,25560,30088,2160,6
49,25800,30454,1800,5
50,25800,31671,0,39
51,25860,28564,2460,14
52,25920,29194,1140,37
53,25920,29002,1620,48
54,26040,29227,2640,40
55,26040,29468,2520,47
56,26100,27526,2700,0
57,26100,27526,2700,1
58,26100,29545,2700,21
59,26100,28824,2700,35
60,26100,28226,2700,28
61,26100,28049,2700,29
62,26100,27166,2700,42
63,26100,28979,0,13
64,26100,30258,2700,8
65,26100,28880,2700,34
66,26100,27431,2700,4
67,26100,30628,2700,6
68,26100,29456,2700,22
69,26100,33015,2700,44
70,26100,27588,2700,3
71,26160,30580,960,20
72,26280,29057,1800,30
73,26400,29356,3000,9
74,26400,30488,0,16
75,26400,28333,1920,2
76,26760,29864,2280,41
77,26880,30308,3360,47
78,26880,29811,3480,15
79,26940,29382,3420,23
80,26940,31256,1740,32
81,27060,30684,2280,27
