new_index,s_time,e_time,delta_time,old_index
0,22200,24024,0,66
1,22200,25239,0,31
2,22320,25245,0,7
3,22500,25078,0,18
4,22800,24869,0,56
5,22800,25664,0,9
6,22800,24589,0,24
7,22800,25288,0,53
8,22800,24589,0,25
9,22800,25028,0,26
10,22860,25618,0,21
11,23100,24924,900,66
12,23220,25798,720,18
13,23220,26145,900,7
14,23400,25777,0,5
15,23520,26008,720,53
16,23700,25769,900,56
17,23760,26624,960,9
18,23820,25610,0,67
19,23940,25764,1740,66
20,23940,26518,1440,18
21,24000,26835,0,17
22,24000,27039,1800,31
23,24000,26835,0,17
24,24240,26728,1440,53
25,24300,26442,0,19
26,24420,26210,600,67
27,24480,26549,1680,56
28,24540,27527,0,20
29,24600,27525,2280,7
30,24600,27358,1740,21
31,24660,27913,0,6
32,24720,27473,0,16
33,24720,27298,2220,18
34,24840,27068,2040,26
35,24900,28026,0,30
36,24900,27634,0,52
37,24900,26724,2700,66
38,24960,27448,2160,53
39,24960,27102,660,19
40,25140,26929,2340,24
41,25140,26929,2340,25
42,25200,27121,0,40
43,25200,27346,0,57
44,25200,27098,0,43
45,25200,27830,0,8
46,25200,27223,0,0
47,25200,27199,0,42
48,25200,25983,0,39
49,25200,28277,0,10
50,25200,27373,0,27
51,25200,27615,0,63
52,25200,26008,0,38
53,25200,28076,0,48
54,25200,27577,1800,5
55,25200,28057,0,49
56,25200,27463,0,45
57,25200,27098,0,41
58,25200,28980,0,61
59,25200,27208,0,44
60,25200,28273,0,4
61,25440,27230,1620,67
62,25440,27509,2640,56
63,25500,28686,3300,31
64,25500,28078,3000,18
65,25500,27701,1200,19
66,25560,28414,660,52
67,25680,28168,2880,53
68,25680,28933,1020,6
69,25800,27624,3600,66
70,25800,28816,1800,17
71,26280,28426,1080,57
72,26340,28828,3540,53
73,26400,28601,2100,19
74,26400,29254,1500,52
75,26400,29158,3540,21
76,26460,29667,1920,20
77,26460,28250,2640,67
78,26460,29384,3660,9
79,26520,29098,4020,18
80,26580,28404,4380,66
81,26640,28709,3840,56
82,26940,29816,1740,48
83,27000,29857,1800,49
84,27000,29023,1800,0
85,27000,29854,2100,52
86,27000,29834,2280,16
87,27000,29228,4200,26
88,27000,28429,0,3
89,27000,30293,2100,30
90,27000,30431,0,69
91,27060,30368,0,68
92,27060,29007,0,34
93,27120,30373,2460,6
94,27180,29595,1980,63
95,27180,28642,0,2
96,27180,29326,1980,57
97,27180,29381,2880,19
98,27240,29728,4440,53
99,27300,30373,2100,4
100,27300,30316,3300,17
101,27300,29090,3480,67
102,27300,29878,4800,18
103,27300,29399,0,1
104,27360,29184,5160,66
105,27480,29380,4680,25
106,27480,30405,5160,7
107,27480,29458,4680,24
108,27600,28408,2400,38
109,27600,29608,2400,44
110,27600,29498,2400,43
111,27600,29599,2400,42
112,27600,29498,2400,41
113,27600,29521,2400,40
114,27600,30684,0,62
115,27600,30677,2400,10
116,27600,29863,2400,45
117,27600,28383,2400,39
118,27780,29849,4980,56
119,27900,31086,5700,31
120,27960,30133,2760,27
121,27960,30814,3060,52
122,28080,31287,3540,20
123,28140,30286,2940,57
124,28200,30958,5340,21
125,28200,30778,5700,18
126,28260,30748,5460,53
127,28260,30084,6060,66
128,28500,30290,4680,67
129,28500,31424,5700,9
130,28500,31793,3600,30
131,28680,31933,4020,6
132,28680,31605,6360,7
133,28680,30881,4380,19
134,28800,31657,3600,49
135,28800,29453,0,59
136,28800,32231,1800,69
137,28800,30400,0,33
138,28800,31028,6000,26
139,28800,31634,4080,16
140,28800,32108,1740,68
141,28800,31713,0,60
142,28800,30823,3600,0
143,28800,31014,0,12
144,28800,30647,0,23
145,28800,29524,0,58
146,28920,30744,6720,66
147,28920,30989,6120,56
148,29040,31894,4140,52
149,29100,31199,1800,1
150,29100,31678,6600,18
151,29100,32173,3900,4
