new_index,s_time,e_time,delta_time,old_index
0,23400,26940,0,34
1,23400,26746,0,35
2,23640,25899,0,22
3,23640,28771,0,10
4,24000,27009,0,33
5,24000,26904,0,32
6,24000,27341,0,12
7,24000,27605,0,28
8,24000,27595,0,29
9,24300,29431,660,10
10,24300,26559,660,22
11,24360,30059,0,1
12,24480,30179,120,1
13,24720,30419,360,1
14,24780,28432,0,13
15,24900,31127,0,0
16,24960,30659,600,1
17,25200,26466,0,19
18,25200,27647,0,5
19,25200,27668,0,4
20,25200,28248,0,17
21,25440,31775,540,0
22,25620,31527,1260,1
23,25740,28744,0,16
24,25740,30588,0,15
25,25800,29340,2400,34
26,25800,29146,2400,35
27,25860,32195,960,0
28,25860,30854,0,8
29,26340,32675,1440,0
30,26400,30005,2400,28
31,26400,29767,0,24
32,26400,29409,2400,33
33,26400,29528,0,25
34,26400,29304,2400,32
35,26400,29839,2400,12
36,26400,29995,2400,29
37,26460,32367,2100,1
38,26640,32975,1740,0
39,26760,32009,0,14
40,26820,32727,2460,1
41,27000,29127,0,36
42,27000,29615,0,37
43,27000,28018,0,3
44,27000,28020,0,2
45,27000,33335,2100,0
46,27000,29122,0,21
47,27000,29072,0,20
48,27180,31016,2400,13
49,27300,33635,2400,0
50,27420,32268,1680,15
51,27600,33507,3240,1
52,27720,34055,2820,0
53,27780,29046,2580,19
54,27780,30227,2580,5
55,27780,30248,2580,4
56,28080,33987,3720,1
57,28200,34535,3300,0
58,28380,31920,4980,34
59,28380,31726,4980,35
60,28440,34775,3540,0
61,28500,34407,4140,1
62,28560,33809,1800,14
63,28860,34767,4500,1
64,28860,35195,3960,0
65,28980,32347,2580,24
66,28980,32108,2580,25
67,28980,31989,4980,33
68,28980,32575,4980,29
69,28980,32419,4980,12
70,28980,32585,4980,28
71,28980,31884,4980,32
72,29280,35187,4920,1
73,29340,32388,4140,17
74,29340,35675,4440,0
75,29400,34625,0,11
76,29400,31724,0,23
77,29460,34308,3720,15
78,29580,30598,2580,3
79,29580,31707,2580,36
80,29580,30600,2580,2
81,29580,31702,2580,21
82,29580,31652,2580,20
83,29580,32195,2580,37
84,29640,34527,0,9
85,29760,33596,4980,13
86,29760,36095,4860,0
87,29820,35727,5460,1
88,30120,36027,5760,1
89,30240,36575,5340,0
90,30360,32807,5160,5
91,30360,32828,5160,4
92,30360,31626,5160,19
93,30420,32744,1020,23
94,30420,35669,3660,14
95,30420,35645,1020,11
96,30540,36447,6180,1
97,30600,36935,5700,0
98,30960,34500,7560,34
99,30960,34306,7560,35
100,30960,36867,6600,1
101,30960,35808,5220,15
102,31260,37595,6360,0
103,31320,34324,5580,16
104,31380,37287,7020,1
105,31560,34688,5160,25
106,31560,35155,7560,29
107,31560,35165,7560,28
108,31560,34464,7560,32
109,31560,34927,5160,24
110,31560,34569,7560,33
111,31560,34999,7560,12
112,31800,37707,7440,1
113,31800,34768,0,7
114,31800,34754,0,6
115,31860,38195,6960,0
116,31920,37169,5160,14
117,32160,34282,5160,21
118,32160,34232,5160,20
119,32160,34775,5160,37
120,32160,33180,5160,2
121,32160,34287,5160,36
122,32160,33178,5160,3
123,32340,36176,7560,13
124,32340,38675,7440,0
125,32640,38339,8280,1
126,32940,34206,7740,19
127,32940,35408,7740,4
128,32940,35387,7740,5
129,33000,35860,7260,16
130,33000,39227,8100,0
131,33060,38759,8700,1
132,33180,37966,7440,15
133,33480,39707,8580,0
134,33480,39179,9120,1
135,33540,36886,10140,35
136,33540,37080,10140,34
137,33780,39479,9420,1
138,33780,36719,8580,17
139,33900,39108,7140,14
140,33900,40127,9000,0
141,34140,37481,10140,12
142,34140,37044,10140,32
143,34140,37745,10140,28
144,34140,37735,10140,29
145,34140,37268,7740,25
146,34140,37507,7740,24
147,34140,37149,10140,33
148,34200,39899,9840,1
149,34380,37348,2580,7
150,34380,37334,2580,6
151,34440,40667,9540,0
152,34560,40259,10200,1
153,34680,37540,8940,16
154,34740,36862,7740,21
155,34740,37355,7740,37
156,34740,35758,7740,3
157,34740,36812,7740,20
158,34740,36867,7740,36
159,34740,35760,7740,2
160,34800,41027,9900,0
