new_index,s_time,e_time,delta_time,old_index
0,22800,25154,0,23
1,22800,26320,0,12
2,22800,25908,0,2
3,22860,25902,0,8
4,22980,25623,0,28
5,23400,25754,600,23
6,23400,24997,0,24
7,23400,24982,0,25
8,23400,26643,0,7
9,23400,25622,0,11
10,23400,27176,0,18
11,23460,26103,480,28
12,23520,27143,0,17
13,23580,27100,780,12
14,23700,27634,0,19
15,23700,26742,840,8
16,23880,26988,1080,2
17,23940,27610,0,14
18,24000,27565,0,15
19,24000,27322,0,0
20,24000,26643,1020,28
21,24000,27101,0,1
22,24000,27962,0,16
23,24060,27836,660,18
24,24120,27162,1260,8
25,24240,27910,300,14
26,24360,28294,660,19
27,24420,26774,1620,23
28,24540,28105,540,15
29,24540,28060,1740,12
30,24540,28163,1020,17
31,24720,27363,1740,28
32,24900,26497,1500,24
33,24900,26482,1500,25
34,24960,28002,2100,8
35,25020,27242,1620,11
36,25080,27272,0,10
37,25140,28462,1140,0
38,25140,28810,1200,14
39,25140,28916,1740,18
40,25200,27524,0,22
41,25200,26574,0,30
42,25200,28928,0,3
43,25200,28907,1200,15
44,25200,26329,0,29
45,25320,29254,1620,19
46,25320,29387,1320,16
47,25380,28399,0,9
48,25380,28623,1980,7
49,25440,28138,2460,28
50,25440,29024,2640,12
51,25560,27752,480,10
52,25740,29807,1740,16
53,25740,29074,0,21
54,25740,28094,2940,23
55,25740,29062,1740,0
56,25800,29507,1800,15
57,25800,29117,3000,2
58,25800,28124,600,22
59,25800,29585,1860,14
60,25860,28972,0,6
61,25860,28879,480,9
62,25860,29636,2460,18
63,25920,29154,3060,8
64,25980,29081,1980,1
65,25980,28172,900,10
66,26100,29769,2580,17
67,26160,29945,2220,14
68,26220,30154,2520,19
69,26220,29927,2220,15
70,26220,28918,3240,28
71,26340,29583,2940,7
72,26400,29634,3540,8
73,26400,27774,1200,30
74,26400,27529,1200,29
75,26400,28470,0,4
76,26400,28049,3000,25
77,26400,28088,3000,24
78,26460,29561,2460,1
79,26460,30044,3660,12
80,26520,29842,2520,0
81,26580,30308,1380,3
82,26640,28964,1440,22
83,26640,30707,2640,16
84,26700,30034,960,21
85,26760,29779,1380,9
86,26820,30527,2820,15
87,26820,29174,4020,23
88,26820,29741,0,13
89,26880,29072,1800,10
90,26940,29043,0,5
91,27000,30785,3060,14
92,27000,29222,3600,11
93,27060,30644,4260,12
94,27120,30827,3120,15
95,27120,30354,4260,8
96,27180,30849,3660,17
97,27240,29938,4260,28
98,27360,30461,3360,1
99,27360,30603,3960,7
100,27420,31354,3720,19
101,27480,30401,660,13
102,27540,31325,3600,14
103,27600,29249,4200,25
104,27600,28974,2400,30
105,27600,30922,3600,0
106,27600,28729,2400,29
107,27600,29288,4200,24
108,27660,31244,4860,12
109,27720,30418,4740,28
110,27840,30194,5040,23
111,27840,31547,3840,15
112,27840,31157,5040,2
113,27960,30284,2760,22
114,27960,31194,5100,8
115,28020,31689,4500,17
116,28080,32014,4380,19
117,28080,31099,2700,9
118,28080,31192,2220,6
119,28140,30362,4740,11
120,28320,31904,5520,12
121,28320,31339,2940,9
122,28380,31702,4380,0
123,28440,32216,5040,18
124,28440,31138,5460,28
125,28500,32169,4980,17
126,28740,32468,3540,3
127,28740,31094,5940,23
128,28740,32525,4800,14
129,28800,29929,3600,29
130,28800,30174,3600,30
131,28800,30488,5400,24
132,28800,32576,5400,18
133,28800,30449,5400,25
134,28920,32154,6060,8
135,28920,31142,5520,11
136,28980,31901,2160,13
137,29040,33107,5040,16
138,29100,32119,3720,9
139,29100,32885,5160,14
140,29100,32684,6300,12
141,29100,31798,6120,28
142,29220,31290,2820,4
143,29280,33214,5580,19
144,29280,32392,3420,6
145,29280,33056,5880,18
146,29340,32441,5340,1
147,29340,31664,4140,22
148,29340,31532,4260,10
149,29400,32717,6600,2
150,29580,32501,2760,13
151,29760,33003,6360,7
152,29760,31982,6360,11
153,29820,32518,6840,28
154,29880,31983,2940,5
155,29880,33587,5880,15
156,29880,33665,5940,14
157,29940,32294,7140,23
158,30000,33101,6000,1
159,30000,33019,4620,9
160,30000,31649,6600,25
161,30000,31374,4800,30
162,30000,31688,6600,24
163,30000,33234,7140,8
164,30000,31129,4800,29
165,30120,33789,6600,17
166,30180,34247,6180,16
167,30240,33824,7440,12
168,30240,34174,6540,19
169,30240,33352,4380,6
170,30300,32492,5220,10
171,30300,33221,3480,13
172,30360,33677,7560,2
173,30360,32684,5160,22
174,30480,33178,7500,28
175,30480,33714,7620,8
176,30720,33044,5520,22
177,30900,34222,6900,0
178,30900,33092,5820,10
179,30900,33821,4080,13
180,30960,33182,7560,11
181,31020,34805,7080,14
182,31020,34954,7320,19
183,31020,34263,7620,7
184,31080,34099,5700,9
185,31080,34808,5880,3
186,31140,34374,8280,8
187,31200,32329,6000,29
188,31200,34869,7680,17
189,31200,32888,7800,24
190,31200,32849,7800,25
191,31200,32574,6000,30
192,31260,34967,7260,15
193,31260,35036,7860,18
194,31260,33958,8280,28
195,31260,35327,7260,16
196,31260,34372,5400,6
197,31320,34421,7320,1
198,31380,34964,8580,12
199,31560,35267,7560,15
200,31560,34481,4740,13
201,31800,35117,9000,2
202,31920,35696,8520,18
203,31920,35154,9060,8
204,31920,34939,6540,9
205,31920,33990,5520,4
206,31980,34334,9180,23
207,32040,35768,6840,3
208,32100,34292,7020,10
209,32100,35434,6360,21
210,32160,36227,8160,16
211,32220,34323,5280,5
212,32220,34918,9240,28
213,32220,36005,8280,14
214,32280,35987,8280,15
215,32280,34604,7080,22
216,32280,35949,8760,17
217,32340,35924,9540,12
218,32340,35662,8340,0
219,32340,35359,6960,9
220,32400,33774,7200,30
221,32400,33997,9000,24
222,32400,33529,7200,29
223,32400,34473,0,27
224,32400,33982,9000,25
225,32400,34370,0,26
226,32520,35621,8520,1
227,32640,35682,9780,8
228,32640,35752,6780,6
229,32700,36476,9300,18
230,32820,36782,8820,16
231,32940,35888,7560,9
232,33000,35643,10020,28
233,33000,36520,10200,12
234,33060,35252,7980,10
235,33060,36994,9360,19
236,33120,35444,7920,22
237,33120,36363,9720,7
238,33180,35958,6360,13
239,33240,37016,9840,18
240,33300,36923,9780,17
241,33300,36408,10500,2
242,33360,35582,9960,11
243,33420,36985,9420,15
244,33420,36898,8220,3
245,33480,36802,9480,0
246,33480,36676,7740,21
247,33480,36123,10500,28
248,33600,35822,10200,11
249,33600,35954,10800,23
250,33600,37165,9600,15
251,33660,36608,8280,9
252,33780,36822,10920,8
253,33900,35029,8700,29
254,33900,35274,8700,30
255,33900,35482,10500,25
256,33900,35973,1500,27
257,33900,35497,10500,24
258,33900,35870,1500,26
259,33960,37480,11160,12
260,34020,36798,7200,13
261,34020,37690,10080,14
262,34080,38014,10380,19
263,34140,36783,11160,28
264,34200,36270,7800,4
265,34200,37522,10200,0
266,34200,37443,10800,7
267,34260,37883,10740,17
268,34320,36674,11520,23
269,34320,38096,10920,18
270,34380,38342,10380,16
271,34440,36662,11040,11
272,34440,37482,11580,8
273,34440,38110,10500,14
274,34500,38065,10500,15
275,34620,37721,10620,1
276,34740,37688,9360,9
277,34740,38260,11940,12
278,34740,37518,7920,13
279,34800,37443,11820,28
280,34920,38590,10980,14
281,34980,38458,9780,3
282,35040,38362,11040,0
283,35100,38212,9240,6
284,35160,37263,8220,5
285,35220,38262,12360,8
286,35280,37634,12480,23
287,35340,37983,12360,28
288,35400,36774,10200,30
289,35400,36982,12000,25
290,35400,36997,12000,24
291,35400,36529,10200,29
292,35400,39176,12000,18
293,35400,37473,3000,27
294,35400,37370,3000,26
295,35460,37652,10380,10
296,35460,39394,11760,19
297,35580,37802,12180,11
298,35580,38823,12180,7
299,35580,39100,12780,12
300,35640,38748,12840,2
301,35700,39323,12180,17
302,35700,38801,11700,1
303,35760,38802,12900,8
304,35760,38708,10380,9
305,35820,38144,10620,22
306,35820,38598,9000,13
307,35820,39782,11820,16
308,35880,39445,11880,15
309,35880,39202,11880,0
310,36120,39790,12180,14
311,36180,39658,10980,3
312,36240,39352,10380,6
313,36240,38462,12840,11
314,36360,38552,11280,10
315,36360,38714,13560,23
316,36420,39368,11040,9
317,36420,40043,12900,17
318,36420,39462,13560,8
319,36420,39063,13440,28
320,36480,39258,9660,13
321,36540,40060,13740,12
322,36600,40165,12600,15
323,36720,40390,12780,14
324,36720,39044,11520,22
325,36780,40023,13380,7
326,36780,40742,12780,16
327,36780,40714,13080,19
328,36900,38870,4500,26
329,36900,38482,13500,25
330,36900,38973,4500,27
331,36900,40008,14100,2
332,36900,38274,11700,30
333,36900,38497,13500,24
334,36900,38029,11700,29
335,36960,40061,12960,1
336,36960,40282,12960,0
337,36960,39314,14160,23
338,36960,39603,13980,28
339,37020,40643,13500,17
340,37020,40585,13020,15
341,37080,40028,11700,9
342,37140,40916,13740,18
343,37200,39978,10380,13
344,37260,40302,14400,8
345,37260,40372,11400,6
346,37320,41282,13320,16
347,37500,39722,14100,11
348,37500,39570,11100,4
349,37560,40661,13560,1
350,37560,41494,13860,19
351,37740,40782,14880,8
352,37740,39932,12660,10
353,37800,41320,15000,12
354,37860,40808,12480,9
355,37980,40623,15000,28
356,37980,40304,12780,22
357,38040,40818,11220,13
358,38160,41783,14640,17
359,38160,41403,14760,7
