new_index,s_time,e_time,delta_time,old_index
0,21600,24897,0,101
1,21600,25696,0,13
2,21600,23966,0,104
3,21600,26578,0,21
4,21600,24673,0,14
5,21600,29360,0,81
6,21600,26627,0,80
7,21600,27303,0,114
8,21600,23758,0,97
9,21600,23970,0,6
10,21600,29868,0,77
11,21600,24827,0,148
12,21600,25303,0,85
13,21600,25252,0,10
14,21600,25291,0,103
15,21600,24852,0,8
16,21600,25069,0,143
17,21600,27779,0,1
18,21600,24960,0,67
19,21600,24927,0,66
20,21600,25742,0,45
21,21600,28682,0,76
22,21600,26950,0,50
23,21600,25654,0,22
24,21600,25676,0,53
25,21600,23863,0,149
26,21600,26045,0,102
27,21600,25141,0,150
28,21600,24182,0,43
29,21600,26805,0,140
30,21600,27534,0,44
31,21600,26653,0,141
32,21660,25061,0,16
33,21660,23818,0,35
34,21660,27414,0,20
35,21660,24183,0,96
36,21660,25635,0,88
37,21660,26441,0,49
38,21660,27749,0,86
39,21660,26955,0,119
40,21660,22559,0,128
41,21660,24690,0,134
42,21660,24763,0,75
43,21660,24921,0,129
44,21720,24106,0,39
45,21780,25305,0,19
46,22080,29907,0,71
47,22200,26296,600,13
48,22200,25273,600,14
49,22260,26336,660,53
50,22260,24418,660,97
51,22320,28409,660,86
52,22320,28074,660,20
53,22380,22978,0,127
54,22440,25667,840,148
55,22440,25543,780,75
56,22440,25022,840,43
57,22440,24806,840,104
58,22440,27418,840,21
59,22500,26895,0,151
60,22500,25530,840,134
61,22500,28679,900,1
62,22500,30547,0,82
63,22500,26907,0,30
64,22500,26041,900,150
65,22500,25797,900,101
66,22500,30327,420,71
67,22500,24870,900,6
68,22500,29389,0,92
69,22500,24886,780,39
70,22500,24763,900,149
71,22560,25202,0,18
72,22560,26967,60,30
73,22560,28494,960,44
74,22740,26715,1080,88
75,22740,25813,1140,14
76,22740,29822,1140,76
77,22740,26836,1140,13
78,22800,28416,0,155
79,22800,27400,0,7
80,22800,24817,0,84
81,22800,26160,1200,67
82,22800,26127,1200,66
83,22800,26325,1020,19
84,22800,26212,0,136
85,22800,25947,0,135
86,22800,25247,0,130
87,22860,26329,1260,143
88,22860,24828,0,132
89,22860,26936,1260,53
90,22920,26974,1320,22
91,22980,26381,1320,16
92,22980,30807,900,71
93,22980,29069,1320,86
94,23040,28390,1440,50
95,23040,25198,1440,97
96,23040,27447,540,30
97,23040,27182,1440,45
98,23040,27821,1380,49
99,23100,28854,1440,20
100,23100,25258,1440,35
101,23160,30920,1560,81
102,23160,28187,1560,80
103,23220,26761,1620,150
104,23220,31488,1620,77
105,23340,28318,1740,21
