new_index,s_time,e_time,delta_time,old_index
0,21900,22932,0,92
1,21960,24293,0,61
2,21960,24982,0,69
3,22200,28726,0,34
4,22200,23856,0,99
5,22200,25497,0,53
6,22200,23663,0,108
7,22200,28772,0,35
8,22200,25590,0,49
9,22200,24169,0,106
10,22200,27576,0,65
11,22260,25090,0,85
12,22260,23876,0,77
13,22260,24920,0,63
14,22260,24355,0,57
15,22380,24864,0,86
16,22500,24329,0,67
17,22560,28138,0,10
18,22560,24893,600,61
19,22800,23970,0,93
20,22800,24046,0,115
21,22800,23981,0,100
22,22800,28378,240,10
23,22800,25592,0,55
24,22800,24076,0,41
25,22800,24026,0,111
26,22800,24248,0,102
27,22860,25344,480,86
28,22980,26002,1020,69
29,23100,28476,900,65
30,23160,25820,900,63
31,23400,24801,0,109
32,23400,28978,840,10
33,23400,24694,0,114
34,23400,27047,0,52
35,23400,25057,0,113
36,23400,26192,600,55
37,23400,25125,0,112
38,23400,25300,0,74
39,23400,25619,0,75
40,23400,24871,0,116
41,23460,25793,1500,61
42,23520,26350,1260,85
43,23520,25136,1260,77
44,23640,26937,1440,53
45,23640,25735,1380,57
46,23700,26184,1320,86
47,23700,24811,0,110
48,23700,26922,0,72
49,23700,26898,0,68
50,23700,25441,0,98
51,23760,26014,0,60
52,23820,26842,1860,69
53,23880,26134,120,60
54,23940,25819,0,76
55,23940,26371,0,87
56,24000,26660,1740,63
57,24000,30572,1800,35
58,24000,25358,0,40
59,24000,26400,0,56
60,24000,29578,1440,10
61,24000,25359,0,101
62,24000,30526,1800,34
63,24000,29376,1800,65
64,24060,25225,0,71
65,24120,25396,1320,41
66,24120,27510,1920,49
67,24180,26611,240,87
68,24300,25709,0,103
69,24300,26227,0,107
70,24360,26384,0,48
71,24360,26906,0,84
72,24360,25320,0,91
73,24360,27657,2160,53
74,24420,26753,2460,61
75,24480,27310,2220,85
76,24540,28187,1140,52
77,24540,27738,840,68
78,24540,26506,0,66
79,24540,27200,2280,63
80,24600,26216,2340,77
81,24600,27081,0,88
82,24600,26834,0,29
83,24600,26854,840,60
84,24600,27392,1800,55
85,24600,29660,0,7
86,24600,26683,0,19
87,24600,30178,2040,10
88,24660,26489,2160,67
89,24660,27682,2700,69
90,24900,27119,1500,75
91,24900,26376,0,50
92,24960,26318,960,40
93,24960,27444,2580,86
94,25080,26959,1140,76
95,25140,27932,2340,55
96,25140,28029,0,21
97,25200,26899,0,27
98,25200,27521,0,44
99,25200,28542,0,31
100,25200,28704,0,30
101,25200,31885,0,13
102,25200,30311,0,9
103,25200,26171,0,90
104,25200,26785,0,117
105,25200,26605,0,78
106,25200,26491,0,1
107,25200,30936,2640,10
108,25200,28747,0,8
109,25200,26514,0,104
110,25200,27100,1800,74
111,25200,28222,0,4
112,25260,26612,0,25
113,25260,30139,0,6
114,25260,29001,0,5
115,25260,28716,3060,53
116,25260,28282,3300,69
117,25260,27533,0,89
118,25260,28508,0,62
119,25260,30338,660,7
120,25260,27593,3300,61
121,25320,27980,3060,63
122,25320,27857,1560,60
123,25380,27920,1440,87
124,25440,28688,180,62
125,25500,28698,1800,68
126,25500,26776,2700,41
127,25560,27434,0,70
128,25560,28106,1200,84
129,25620,28154,1620,56
130,25800,31536,3240,10
131,25800,32372,3600,35
132,25800,29304,600,30
133,25800,29346,3600,49
134,25800,32326,3600,34
135,25860,28520,3600,63
136,25860,27476,3600,77
137,25920,30998,1320,7
138,26040,29359,0,80
139,26100,27132,4200,92
140,26100,27186,0,16
141,26100,27086,0,17
142,26100,28139,2160,76
143,26160,28493,4200,61
