new_index,s_time,e_time,delta_time,old_index
0,22200,24020,0,43
1,22800,25897,0,20
2,22800,25288,0,21
3,22800,26857,0,39
4,23100,25708,0,10
5,23100,26197,300,20
6,23280,25888,180,10
7,23340,25160,1140,43
8,23400,26151,0,51
9,23400,26869,0,16
10,23400,26268,0,35
11,23400,26419,0,24
12,23400,26571,0,15
13,23400,26927,0,34
14,23400,25377,0,42
15,23400,25538,0,41
16,23460,26557,660,20
17,23520,25275,0,27
18,23520,26128,420,10
19,23700,26451,300,51
20,23700,27757,900,39
21,23760,25898,360,41
22,23760,25737,360,42
23,23940,26428,1140,21
24,23940,26691,540,51
25,23940,26548,840,10
26,24000,26049,0,36
27,24000,25047,0,23
28,24000,27097,1200,20
29,24000,25859,0,37
30,24000,25755,480,27
31,24000,25989,0,17
32,24240,26991,840,51
33,24240,27344,0,28
34,24300,27675,0,0
35,24300,27241,0,1
36,24300,26147,0,18
37,24300,26055,780,27
38,24480,27088,1380,10
39,24480,27577,1680,20
40,24480,26300,2280,43
41,24540,28067,1140,34
42,24540,26295,1020,27
43,24540,27408,1140,35
44,24540,27711,1140,15
45,24540,28009,1140,16
46,24600,27487,0,33
47,24600,26408,0,26
48,24600,27837,0,19
49,24600,27292,0,9
50,24600,26925,0,2
51,24660,27764,420,28
52,24660,28011,0,13
53,24660,28717,1860,39
54,24660,27411,1260,51
55,24720,27739,1320,24
56,24780,27388,1680,10
57,24780,27877,1980,20
58,24900,26708,300,26
59,24900,27592,300,9
60,24900,27841,600,1
61,24960,26715,1440,27
62,24960,27847,360,33
63,25020,28257,420,19
64,25020,27794,0,29
65,25020,27771,1620,51
66,25080,27772,480,9
67,25080,27568,2280,21
68,25080,27688,1980,10
69,25140,26187,1140,23
70,25140,26999,1140,37
71,25140,27129,1140,17
72,25140,27189,1140,36
73,25200,27888,0,32
74,25200,28912,0,14
75,25200,28693,0,3
76,25200,27407,0,25
77,25200,27431,0,40
78,25200,28003,0,50
79,25260,28431,2460,20
80,25260,28433,1020,28
81,25380,28321,1080,1
82,25380,28183,180,50
83,25440,28364,840,9
84,25440,27195,1920,27
85,25440,27248,840,26
86,25440,27287,1140,18
87,25440,28410,0,48
88,25440,28327,840,33
89,25440,28375,420,29
90,25440,28340,2040,51
91,25500,29557,2700,39
92,25560,27791,360,40
93,25560,28935,1260,0
94,25620,27440,3420,43
95,25620,28423,420,50
96,25620,29013,1020,19
97,25680,28851,2280,15
98,25680,29566,1020,13
99,25680,29371,2280,16
100,25680,28368,480,32
101,25680,28548,2280,35
102,25680,29599,2280,34
103,25740,28911,2940,20
104,25740,28075,1140,2
105,25800,29156,0,38
106,25860,28735,2760,10
107,25860,27615,2340,27
108,25860,29033,1620,28
109,25920,28807,1320,33
110,25980,29355,1680,0
