new_index,s_time,e_time,delta_time,old_index
0,23040,25432,0,38
1,23040,27284,0,7
2,23040,27566,0,6
3,23220,27464,180,7
4,23280,27159,0,9
5,23280,27347,0,10
6,23340,25892,0,45
7,23400,26085,0,4
8,23400,24621,0,26
9,23400,26705,0,3
10,23400,27275,0,12
11,23400,27517,0,11
12,23400,25210,0,48
13,23400,24875,0,42
14,23400,24867,0,0
15,23400,27573,0,35
16,23400,27926,360,6
17,23400,27059,0,20
18,23400,27059,0,20
19,23400,26359,0,13
20,23400,26653,0,19
21,23400,26764,0,16
22,23400,26669,0,15
23,23400,26861,0,2
24,23400,27088,0,17
25,23400,27028,0,32
26,23400,26386,0,39
27,23400,27032,0,18
28,23400,27821,0,40
29,23400,28605,0,27
30,23400,26195,0,33
31,23400,26568,0,34
32,23400,24830,0,1
33,23400,26605,0,36
34,23400,26421,0,31
35,23400,25389,0,47
36,23460,26628,60,34
37,23520,28046,480,6
38,23520,27764,480,7
39,23520,26204,0,5
40,23580,26849,180,15
41,23580,27697,180,11
42,23580,27268,180,17
43,23640,27813,240,35
44,23640,26622,0,14
45,23640,28061,240,40
46,23700,27579,420,9
47,23700,25130,300,1
48,23700,27575,300,12
49,23700,27332,300,18
50,23700,27064,300,16
51,23700,25167,300,0
52,23700,27767,420,10
53,23760,25330,0,41
54,23760,26781,360,31
55,23760,28004,720,7
56,23820,27448,420,32
57,23820,26806,420,39
58,23820,28346,780,6
59,23820,26802,180,14
60,23820,26372,480,45
61,23880,27085,480,36
62,23880,26675,480,33
63,23880,25690,480,48
64,23880,26839,480,13
65,23940,27209,540,15
66,23940,27599,540,20
67,23940,28361,540,40
68,23940,27193,540,19
69,23940,27628,540,17
70,24000,27305,600,3
71,24000,28173,600,35
72,24000,25467,600,0
73,24060,25490,660,1
74,24060,27046,660,39
75,24060,27424,660,16
76,24060,28177,660,11
77,24120,27752,720,18
78,24120,28364,1080,7
79,24120,28646,1080,6
80,24180,27201,780,31
81,24180,27385,780,36
82,24180,28055,780,12
83,24180,27641,780,2
84,24180,26169,780,47
85,24180,27139,780,13
86,24240,27868,840,32
87,24240,27222,600,14
88,24240,27408,840,34
89,24240,28119,960,9
90,24240,28307,960,10
91,24300,27988,900,17
92,24300,27569,900,15
93,24300,28721,900,40
94,24360,27613,960,19
95,24360,28019,960,20
96,24360,27724,960,16
97,24420,28593,1020,35
98,24420,27105,1020,4
99,24420,26972,1080,45
100,24420,28664,1380,7
101,24420,27215,1020,33
102,24420,25850,1020,1
103,24420,28946,1380,6
104,24420,25887,1020,0
105,24420,28537,1020,11
106,24480,28112,1080,18
107,24540,27224,1020,5
108,24540,27526,1140,39
109,24600,25821,1200,26
110,24600,26410,1200,48
111,24600,26170,840,41
112,24600,28667,1320,10
113,24600,26075,1200,42
114,24600,27805,1200,36
115,24660,28535,1260,12
116,24660,26646,0,46
117,24660,28288,1260,32
118,24660,27681,1260,31
119,24660,26649,1260,47
120,24660,27929,1260,15
121,24660,28539,1380,9
122,24720,29246,1680,6
123,24720,28964,1680,7
124,24720,28084,1320,16
125,24720,28025,1320,3
126,24780,28468,1380,17
127,24780,29985,1380,27
128,24780,26247,1380,0
129,24780,28241,1380,2
130,24840,28093,1440,19
131,24840,27232,1800,38
132,24840,27826,1440,39
133,24840,27822,1200,14
134,24840,28957,1440,11
135,24840,29013,1440,35
136,24900,28559,1500,20
137,24900,29321,1500,40
138,24900,26330,1500,1
139,24900,28068,1500,34
140,24960,28229,1560,15
141,24960,27919,1560,13
142,24960,29027,1680,10
143,25020,29546,1980,6
144,25020,27815,1620,33
145,25020,29264,1980,7
146,25080,28955,1680,12
147,25080,28959,1800,9
148,25080,26400,0,25
149,25080,28444,1680,16
150,25080,28712,1680,18
151,25140,28828,1740,17
152,25140,28768,1740,32
153,25140,27711,0,37
154,25140,26570,1740,1
155,25140,28161,1740,31
156,25200,27274,1800,47
157,25200,26667,1800,0
158,25200,27067,1800,48
159,25200,28027,0,28
160,25200,29059,1800,36
161,25260,29780,1860,35
162,25260,30112,2220,7
163,25320,28508,1920,13
164,25320,28893,1920,39
165,25320,30143,2280,6
166,25320,26795,1920,42
167,25320,28984,1920,19
168,25320,30161,1920,40
169,25320,29321,1920,20
