new_index,s_time,e_time,delta_time,old_index
0,0,3814,0,277
1,0,4946,0,423
2,0,4973,0,422
3,0,3095,0,518
4,0,3505,0,517
5,0,3883,0,46
6,0,2266,0,397
7,0,2032,0,504
8,0,2272,0,342
9,0,2013,0,398
10,0,3795,0,47
11,0,1973,0,566
12,300,3551,0,430
13,600,3268,0,662
14,600,3596,0,661
15,900,1823,0,692
16,900,2038,0,669
17,900,2154,0,691
18,1200,4000,0,617
19,1200,4761,0,276
20,1200,3737,0,618
21,1500,4858,0,431
22,1800,5595,1800,47
23,1800,5683,1800,46
24,1800,5305,1800,517
25,3000,4939,0,235
26,3600,4523,2700,692
27,3600,7161,2400,276
28,3600,7395,3600,47
29,3600,4854,2700,691
30,3600,6137,2400,618
31,3600,7414,3600,277
32,3600,6958,2100,431
33,3600,6400,2400,617
34,3600,7105,3600,517
35,3600,6851,3300,430
36,3600,7483,3600,46
37,5400,8068,4800,662
38,6600,7523,5700,692
39,6600,7854,5700,691
40,10800,11723,9900,692
41,10800,12054,9900,691
42,15600,16854,14700,691
43,15600,16523,14700,692
44,19200,20123,18300,692
45,19200,20454,18300,691
46,19800,23761,0,54
47,20400,22736,0,677
48,20400,22750,0,678
49,21000,25609,0,45
50,21000,21923,20100,692
51,21000,22254,20100,691
52,21600,25030,0,53
53,21600,24352,0,577
54,21600,23450,0,713
55,21600,23570,0,749
56,21600,23617,0,752
57,21600,23099,0,751
58,21600,24923,0,375
59,21600,27496,0,284
60,21600,22962,0,754
61,21600,23780,0,519
62,22020,24200,420,519
63,22020,24772,420,577
64,22200,24758,0,19
65,22320,24422,0,228
66,22500,25111,0,211
67,22500,24680,900,519
68,22500,26461,2700,54
69,22500,25252,900,577
70,22800,25401,0,109
71,22800,27286,0,43
72,22800,27680,0,44
73,22800,28483,0,721
74,22800,26364,0,722
75,22800,26150,0,108
76,22800,25646,0,351
77,22920,28188,0,372
78,22980,25160,1380,519
79,22980,25732,1380,577
80,23100,25436,2700,677
81,23100,25450,2700,678
82,23160,25262,840,228
83,23280,25460,1680,519
84,23340,26092,1740,577
85,23400,24801,0,762
86,23400,26420,0,104
87,23400,27459,0,337
88,23400,26796,0,55
89,23400,27734,0,336
90,23400,26466,0,105
91,23400,26404,0,263
92,23400,26427,0,262
93,23400,26470,0,410
94,23400,26337,0,428
95,23400,26143,0,56
96,23400,27889,0,93
