new_index,s_time,e_time,delta_time,old_index
0,20340,25435,0,47
1,20400,24789,0,79
2,20400,23312,0,59
3,20400,24265,0,158
4,20400,26470,0,98
5,20760,23672,360,59
6,20940,23912,0,97
7,20940,25329,540,79
8,21000,24236,0,164
9,21000,23972,60,97
10,21000,23991,0,7
11,21000,24681,0,132
12,21000,25570,0,56
13,21000,26129,0,2
14,21060,26155,720,47
15,21240,27310,840,98
16,21300,24536,300,164
17,21300,24430,0,6
18,21360,26332,0,3
19,21420,24332,1020,59
20,21420,25227,0,41
21,21420,24666,0,38
22,21420,24392,480,97
23,21540,25929,1140,79
24,21540,24670,240,6
25,21600,24038,0,85
26,21600,24836,600,164
27,21600,24038,0,85
28,21600,23737,0,122
29,21600,25010,0,123
30,21600,26006,0,12
31,21600,24291,0,80
32,21600,26117,0,165
33,21600,23522,0,160
34,21600,26797,0,26
35,21600,26797,0,26
36,21600,23621,0,159
37,21600,25383,0,94
38,21600,24966,0,91
39,21600,24605,0,95
40,21600,26572,240,3
41,21600,26366,0,78
42,21600,26729,600,2
43,21600,23720,0,75
44,21600,25833,0,162
45,21600,23805,0,90
46,21600,23805,0,90
47,21600,25465,1200,158
48,21600,24591,600,7
49,21600,25636,0,118
50,21600,23835,0,44
51,21660,25063,0,161
52,21660,23969,0,45
53,21660,25825,0,27
54,21720,26290,720,56
55,21780,24052,0,84
56,21780,25109,0,8
57,21780,24909,0,9
58,21780,24233,0,103
59,21840,26935,1500,47
60,21840,25086,420,38
61,21840,24752,1440,59
62,21900,24643,0,111
63,21900,24365,0,48
64,21900,24412,0,42
65,21900,24583,0,65
66,21900,25707,480,41
67,21900,26191,0,39
68,21900,25030,600,6
69,21900,24891,900,7
70,21900,25505,0,40
71,21900,24872,960,97
72,21900,24063,0,17
73,21900,24724,0,69
74,21900,24724,0,69
75,21900,24293,0,49
76,21900,24950,0,163
77,21900,25508,0,68
78,21900,24941,0,73
79,21960,24097,360,122
80,21960,25081,0,43
81,22020,25256,1020,164
82,22020,25803,420,94
83,22020,24255,420,44
84,22020,24325,0,63
85,22020,24225,420,90
86,22020,24329,360,45
87,22080,27052,720,3
88,22080,24518,480,85
89,22140,25270,840,6
90,22140,25269,360,9
91,22140,28745,0,29
92,22140,26529,1740,79
93,22200,28110,0,133
94,22200,25107,0,96
95,22200,24653,420,103
96,22200,24783,0,72
97,22200,25610,600,123
98,22200,25529,420,8
99,22200,24763,0,113
100,22200,26411,0,58
101,22200,26679,0,82
102,22200,26007,780,41
103,22200,25636,0,83
104,22200,26152,0,70
105,22260,26125,1860,158
106,22260,25251,1260,7
107,22260,26329,0,109
108,22260,24698,660,85
109,22260,24565,240,63
110,22260,24532,480,84
111,22260,24265,0,31
112,22260,26425,600,27
113,22260,25936,0,121
114,22260,25301,360,73
115,22260,27457,660,26
116,22260,25506,840,38
117,22260,25107,0,71
118,22260,24613,0,81
119,22320,24525,720,90
120,22320,26583,0,104
121,22320,25226,0,102
122,22320,26103,720,94
123,22320,26611,420,39
124,22380,23644,0,155
125,22380,25430,480,163
126,22380,24892,480,42
127,22440,26905,0,57
128,22440,24903,0,62
129,22440,24675,840,44
130,22440,24745,420,63
131,22440,26223,840,94
132,22440,25352,2040,59
133,22440,25806,840,91
134,22440,25183,540,111
135,22440,27206,840,78
136,22440,25561,480,43
137,22440,26045,540,40
138,22440,25412,1500,97
139,22440,26247,1020,41
140,22440,25570,1140,6
141,22500,25505,900,95
142,22500,28940,0,28
143,22500,24637,900,122
144,22500,24809,840,45
145,22500,24396,0,33
