new_index,s_time,e_time,delta_time,old_index
0,19800,23580,0,122
1,20340,24120,540,122
2,20580,24615,0,53
3,21000,27093,0,156
4,21120,24900,1320,122
5,21600,25354,0,119
6,21600,23934,0,98
7,21600,24229,0,133
8,21600,28017,0,36
9,21600,26010,0,92
10,21600,24016,0,23
11,21600,25560,0,172
12,21600,25058,0,165
13,21600,25756,0,135
14,21600,27044,0,97
15,21600,25380,1800,122
16,21600,25614,0,93
17,21600,25973,0,134
18,21600,24311,0,16
19,21600,26454,0,123
20,21600,25224,0,26
21,21600,24781,0,120
22,21600,25907,0,58
23,21660,27189,0,106
24,21660,23800,0,127
25,21660,25284,60,26
26,21660,29293,0,66
27,21660,23003,0,99
28,22200,25980,2400,122
29,22200,25436,0,140
30,22200,26235,1620,53
31,22200,26910,0,124
32,22260,24400,600,127
33,22260,26567,660,58
34,22440,24856,840,23
35,22500,25129,900,133
36,22500,26910,900,92
37,22620,26927,1020,58
38,22740,25074,1140,98
39,22740,25976,540,140
40,22740,26754,1140,93
41,22800,25117,0,163
42,22800,26580,3000,122
43,22800,27173,1200,134
44,22980,27287,1380,58
45,23100,28629,1440,106
46,23100,29193,2100,156
47,23280,26516,1080,140
48,23340,25480,1680,127
49,23340,26923,0,116
50,23340,27953,0,115
51,23340,27647,1740,58
52,23400,31656,0,0
53,23400,28091,0,159
54,23400,28388,0,79
55,23400,27872,0,77
56,23400,27154,1800,119
57,23400,26318,0,104
58,23400,27435,0,121
59,23400,25351,0,87
60,23400,26888,0,155
61,23400,24707,0,15
62,23400,27180,3600,122
63,23400,26355,0,128
64,23400,26608,0,129
65,23400,27723,0,22
66,23400,25816,1800,23
67,23400,30274,0,30
68,23400,26751,0,5
69,23400,28844,1800,97
70,23400,27600,0,107
71,23400,23770,0,164
72,23400,27977,0,94
73,23400,29030,0,137
74,23400,30046,0,29
75,23400,26796,0,139
76,23400,25900,0,131
77,23400,26374,0,27
78,23400,26581,1800,120
79,23400,25880,0,130
80,23400,24317,0,88
81,23460,27932,60,77
82,23520,24362,0,90
83,23520,27475,0,76
84,23520,25319,0,19
85,23640,28050,2040,92
86,23700,26329,2100,133
87,23700,27324,2100,26
88,23700,27856,2100,135
89,23700,28007,2100,58
90,23760,27187,0,149
91,23820,26154,2220,98
92,23880,27116,1680,140
93,23940,29478,0,33
94,24000,25343,2340,99
95,24000,26116,0,49
96,24000,26089,0,48
97,24000,31633,2340,66
98,24000,28014,2400,93
99,24000,27780,4200,122
100,24000,28035,3420,53
101,24000,30926,0,44
102,24000,28410,2400,92
103,24060,28095,660,121
104,24120,28427,2520,58
105,24120,28493,2520,134
106,24180,27638,2580,165
107,24240,31166,240,44
108,24240,26656,2640,23
109,24240,29778,300,33
110,24300,29010,2100,124
111,24300,26724,0,24
112,24300,30717,2700,36
113,24300,29829,2640,106
114,24300,26440,2640,127
115,24360,30295,0,51
116,24540,32796,1140,0
117,24540,27020,1140,130
118,24540,31186,1140,29
119,24540,30170,1140,137
120,24540,27495,1140,128
121,24600,28088,1200,155
122,24600,27836,2400,140
123,24600,28380,4800,122
124,24600,28907,3000,58
125,24600,26934,0,161
126,24660,26977,1860,163
127,24660,27108,0,132
128,24660,27868,1260,129
129,24720,28755,1320,121
130,24840,27174,3240,98
131,24900,26647,0,85
132,24900,28334,0,25
133,24900,28791,0,59
134,24900,27040,3240,127
135,25080,30618,1140,33
136,25140,29994,3540,123
137,25140,29175,1740,121
138,25140,28723,1800,116
139,25140,27556,3540,23
140,25140,28536,1740,139
141,25140,29753,1800,115
142,25200,27056,0,84
143,25200,31554,4200,156
144,25200,26556,0,138
145,25200,26948,0,174
146,25200,30747,0,65
147,25200,28680,0,126
148,25200,28584,0,166
149,25200,29159,0,171
150,25200,30367,0,64
151,25200,28627,1440,149
152,25200,26043,0,91
153,25200,28571,1200,48
154,25200,30496,0,61
155,25200,27700,1800,131
156,25200,29587,0,125
157,25200,30134,0,40
158,25200,27316,1200,49
159,25200,27340,3540,127
160,25200,28381,3600,120
161,25200,30426,0,141
162,25200,30426,0,142
163,25200,30421,0,70
164,25200,29410,0,71
165,25200,29777,1800,94
166,25200,27954,0,162
167,25200,32074,1800,30
168,25200,28954,3600,119
169,25200,26759,0,170
170,25200,30250,0,41
171,25200,28791,0,83
172,25200,29200,0,101
173,25200,30644,3600,97
174,25200,27672,0,147
