new_index,s_time,e_time,delta_time,old_index
0,20220,24583,0,210
1,20400,24168,0,142
2,20400,22646,0,202
3,20700,23873,0,176
4,21000,24290,0,163
5,21000,24197,0,11
6,21000,24863,0,155
7,21000,24368,0,67
8,21540,25308,1140,142
9,21540,24713,840,176
10,21600,23824,0,43
11,21600,26039,0,69
12,21600,27019,0,84
13,21600,23562,0,65
14,21600,24887,0,88
15,21600,24653,0,26
16,21600,24850,0,187
17,21600,27686,0,30
18,21600,24398,0,6
19,21600,25755,0,171
20,21600,24037,0,36
21,21600,25172,0,205
22,21600,24518,0,200
23,21600,24711,0,198
24,21600,25401,0,49
25,21600,24690,0,144
26,21600,24846,0,83
27,21600,25360,0,12
28,21600,25830,0,18
29,21600,25980,0,17
30,21600,23677,0,39
31,21600,24117,0,38
32,21600,25380,0,47
33,21600,26042,0,197
34,21600,25157,0,112
35,21600,24119,0,61
36,21600,24281,0,169
37,21600,24209,0,111
38,21600,23883,0,188
39,21600,24949,0,81
40,21600,23023,0,109
41,21600,25944,0,113
42,21600,24676,0,175
43,21600,23846,1200,202
44,21600,25020,0,0
45,21600,24650,0,27
46,21600,25646,0,32
47,21600,25931,0,79
48,21600,26168,0,59
49,21600,25805,0,77
50,21600,25461,0,14
51,21600,25974,0,151
52,21600,25791,0,50
53,21600,25694,0,135
54,21600,24809,0,178
55,21600,25611,0,136
56,21660,25116,0,166
57,21660,24470,0,160
58,21660,25328,0,55
59,21840,25703,840,155
60,21840,25208,840,67
61,22080,26443,1860,210
62,22080,25277,1080,11
63,22200,26061,600,14
64,22200,26169,0,140
65,22200,25451,0,157
66,22200,26760,0,21
67,22200,25118,600,200
68,22200,24183,0,218
69,22200,24818,0,107
70,22200,24907,0,108
71,22200,25968,1800,142
72,22200,26522,0,141
73,22200,24301,0,217
74,22260,25350,660,144
75,22260,26061,660,49
76,22260,26702,660,197
77,22320,25396,720,175
78,22380,25729,780,81
79,22380,26585,780,77
80,22380,24899,780,61
81,22440,25860,840,0
82,22440,25896,780,166
83,22440,25690,840,187
84,22440,26879,840,69
85,22440,25551,840,198
86,22440,26814,840,151
87,22440,25537,0,3
88,22440,26595,840,171
89,22500,25482,0,183
90,22500,28943,0,73
91,22500,26511,900,136
92,22500,25841,0,185
93,22500,26168,840,55
94,22500,25336,0,184
95,22500,24724,900,43
96,22500,25310,840,160
97,22500,25673,1800,176
98,22500,26375,0,149
99,22500,25685,0,147
100,22500,25807,0,57
101,22500,28505,0,159
102,22500,28226,0,87
103,22500,25556,0,63
104,22500,25593,0,64
105,22500,27984,0,158
106,22620,26951,1020,79
107,22680,24103,1080,109
108,22680,24926,2280,202
109,22680,25889,1080,178
110,22680,25478,1080,6
111,22680,25117,1080,36
112,22680,24906,0,203
113,22740,26834,1140,135
114,22740,26603,1740,155
115,22740,26931,1140,50
116,22740,26312,1140,205
117,22800,26317,0,191
118,22800,24259,0,40
119,22800,26168,1800,67
120,22800,25521,0,8
121,22800,26560,1200,12
122,22800,25942,0,9
123,22860,26150,1860,163
124,22860,26147,1260,88
125,22860,26721,1260,14
126,22860,26542,0,1
127,22860,26628,2460,142
128,22920,26010,1320,144
129,22920,27283,2700,210
130,22920,24679,0,189
131,22920,24357,0,110
132,22920,26721,1320,49
133,22980,25038,0,62
134,22980,28706,480,87
135,22980,25898,1380,200
136,22980,27422,1380,197
137,22980,27548,1380,59
138,23040,27009,840,140
139,23040,27420,1440,17
140,23040,27270,1440,18
141,23100,26324,0,177
142,23100,25781,1500,169
143,23100,26346,1500,83
144,23100,28826,600,87
145,23160,28886,660,87
146,23220,25430,0,42
147,23220,27000,1620,47
148,23220,25503,1620,188
149,23220,26296,1620,175
150,23280,26391,1680,198
151,23280,27155,780,149
152,23280,27654,1680,151
153,23280,27485,1680,77
154,23280,27840,1080,21
155,23340,29066,840,87
156,23340,27351,1740,136
157,23340,25859,1740,61
158,23340,26537,2340,11
159,23340,26760,1740,0
160,23340,27495,1740,171
161,23340,28824,840,158
162,23340,25564,1740,43
163,23340,26437,900,3
164,23340,26525,840,147
165,23340,26681,840,185
166,23400,27446,1800,32
167,23400,28142,0,209
168,23400,25795,0,58
169,23400,29376,0,23
170,23400,27744,1800,113
171,23400,27068,1740,55
172,23400,29306,0,24
173,23400,27969,0,22
174,23400,25808,0,25
175,23400,26117,0,192
176,23400,27167,0,214
177,23400,27839,1800,69
178,23400,26472,0,70
179,23400,28819,1800,84
180,23400,27306,0,20
181,23400,27925,0,19
182,23400,27261,1800,14
183,23400,26651,1200,157
184,23400,27168,3000,142
185,23400,26342,0,201
186,23400,27216,0,45
187,23400,27250,0,44
188,23400,24517,0,35
189,23400,27816,0,116
190,23400,26729,0,146
191,23400,26749,1800,81
192,23400,27812,0,115
193,23400,26135,0,139
194,23400,27174,0,143
195,23400,26856,1740,166
196,23400,24520,0,34
197,23460,26633,2760,176
198,23460,26710,1860,187
199,23460,26270,1800,160
200,23460,26731,0,10
201,23460,29186,960,87
202,23520,26610,1920,144
203,23520,26162,0,7
204,23580,26789,1980,178
205,23580,29306,1080,87
206,23640,29366,1140,87
207,23640,27962,1440,141
208,23640,27441,2040,49
209,23640,27008,2640,67
210,23640,26800,0,68
211,23640,26947,1140,57
212,23640,26476,1140,184
213,23640,26077,2040,36
214,23640,27503,2640,155
215,23640,25886,3240,202
216,23640,27212,2040,205
217,23700,26682,1200,183
218,23700,29426,1200,87
219,23700,28142,2100,197
220,23700,26618,2100,200
221,23700,27460,2100,12
222,23760,27011,0,186
223,23760,25818,780,62
224,23760,26403,0,15
225,23760,27304,0,168
226,23820,26343,0,161
227,23880,25317,960,110
228,23880,27554,0,150
229,23880,25957,2280,39
230,23880,26489,2280,111
231,23880,26106,1200,203
232,23880,27437,2280,112
233,23880,28448,2280,59
234,23880,29966,2280,30
235,23880,25842,2280,65
236,23880,26933,2280,26
237,23880,26397,2280,38
238,23880,27385,0,199
239,23880,26930,2280,27
240,23880,28211,2280,79
241,23880,27104,780,177
242,23940,29945,1440,159
243,23940,27227,2340,88
244,23940,28303,3720,210
245,23940,25363,2340,109
246,23940,27622,1080,1
247,23940,27909,1740,140
248,23940,27049,0,89
249,23940,27230,2940,163
250,23940,26738,2340,6
251,23940,26750,2280,160
252,23940,27720,2340,47
253,24000,28191,2400,50
254,24000,28044,0,154
255,24000,28991,0,85
256,24000,27768,3600,142
257,24000,27076,2400,175
258,24000,29726,1500,87
259,24000,27499,0,162
260,24000,27404,0,60
261,24000,27319,0,48
262,24000,28094,2400,135
263,24060,28265,2460,77
264,24060,27910,660,44
265,24060,29786,1560,87
266,24060,27921,2460,14
267,24060,27002,660,201
268,24120,27217,1680,3
269,24120,27184,0,174
270,24120,27461,1620,185
271,24120,27480,0,179
272,24120,27293,3420,176
273,24180,26404,2580,43
274,24180,26823,0,80
275,24180,27291,2580,198
276,24180,29664,1680,158
277,24180,28740,1980,21
278,24180,26699,2580,61
279,24180,28596,780,116
280,24180,27377,3180,11
281,24240,26883,480,15
282,24240,27491,2040,157
283,24240,28809,840,22
284,24240,29966,1740,87
285,24240,27589,2640,81
286,24240,28614,2640,151
287,24240,30146,840,24
288,24240,28679,2640,69
289,24240,28115,1740,149
290,24240,27696,2580,166
291,24240,27330,2640,144
292,24300,28311,2700,136
293,24300,27571,840,10
294,24300,27550,2700,187
295,24300,28455,2700,171
296,24300,26483,0,52
297,24300,27754,0,167
298,24300,27720,2700,0
299,24300,27990,0,145
300,24300,25605,0,99
301,24360,27432,960,70
302,24360,28051,0,206
303,24360,28161,2760,49
304,24360,27545,1860,147
305,24420,28783,4200,210
306,24420,26630,1200,42
307,24420,27338,2820,200
308,24420,28862,2820,197
309,24480,27640,840,68
310,24480,26239,1560,189
311,24480,27985,600,199
312,24480,27187,2280,108
313,24480,27098,2280,107
314,24480,26917,2880,36
315,24480,27215,1080,139
316,24480,27689,2880,178
317,24480,26581,2280,217
318,24480,26463,2280,218
319,24540,28300,2940,12
320,24540,27908,3540,67
321,24540,27847,2040,57
322,24540,27221,2940,169
323,24540,27682,0,46
324,24540,28403,3540,155
325,24540,28308,4140,142
326,24540,28356,1140,45
327,24540,27786,2940,83
328,24540,28208,2880,55
329,24540,28952,1140,115
330,24540,26786,4140,202
331,24600,26041,0,41
332,24600,29187,0,106
333,24600,30019,3000,84
334,24600,29181,0,105
335,24600,27919,600,48
336,24600,27179,0,120
337,24600,28258,0,54
338,24600,28830,3000,18
339,24600,27277,0,121
340,24600,30301,0,86
341,24600,27242,1080,7
342,24600,27123,780,161
343,24600,27410,2940,160
344,24600,28374,1200,143
345,24600,28980,3000,17
346,24600,26381,0,132
347,24600,28045,0,4
348,24600,27582,2100,183
349,24600,28862,0,78
350,24600,26772,0,118
351,24600,28875,0,129
352,24600,28938,0,128
353,24600,29142,0,71
354,24600,30186,0,100
355,24600,26275,0,119
356,24600,26948,0,133
357,24600,28172,3000,205
358,24600,28374,0,215
359,24600,29004,0,101
360,24600,27243,420,80
361,24600,28935,0,102
362,24600,27140,0,122
363,24600,26690,0,123
364,24600,28056,0,216
365,24600,28404,0,93
366,24600,28569,2400,140
367,24660,27225,0,2
368,24660,28521,3060,14
369,24720,28980,0,51
370,24720,28925,3120,77
371,24720,28688,0,13
372,24720,28289,0,137
373,24780,27836,2280,63
374,24780,26203,3180,109
375,24780,28462,1920,1
376,24780,28121,2280,185
377,24780,27873,2280,64
378,24780,28824,780,154
379,24840,29031,3240,50
380,24840,26898,1860,62
381,24840,27916,3240,175
382,24840,29256,1440,116
383,24840,28064,1740,177
384,24840,28690,1440,44
385,24840,27930,3240,144
386,24900,28174,0,190
387,24900,27964,780,174
388,24900,28680,3300,47
389,24900,28073,4200,176
390,24900,28190,3900,163
391,24900,27997,2460,3
392,24900,29468,3300,59
393,24900,28085,2400,147
394,24900,28590,600,145
395,24900,27698,3300,6
396,24900,27884,0,82
397,24900,28574,1020,150
398,24960,28211,1200,186
399,24960,27902,1560,201
400,25020,27856,2520,184
401,25020,28270,3420,187
402,25020,27663,1260,15
403,25080,27363,3480,188
404,25080,29649,1680,22
405,25080,28881,3480,49
406,25080,28191,3480,198
407,25080,28854,1680,143
408,25080,30079,0,196
409,25080,31056,1680,23
410,25080,29411,3480,79
411,25080,27306,2400,203
412,25080,28277,4080,11
413,25080,28440,960,179
414,25080,27304,3480,43
415,25080,28189,1140,89
416,25080,28222,2280,9
417,25080,28771,720,206
418,25080,29454,3480,151
419,25080,27801,2280,8
420,25140,29700,2940,21
421,25140,29582,3540,197
422,25140,27659,3540,61
423,25140,28391,2940,157
424,25140,28058,3540,200
425,25140,28212,1740,70
426,25140,29234,3540,135
427,25140,30866,2640,87
428,25140,31046,1740,24
429,25140,31145,2640,159
430,25140,28699,0,156
431,25140,28596,3480,166
432,25200,28606,3600,88
433,25200,29097,3600,0
434,25200,29309,0,170
435,25200,27408,0,172
436,25200,29639,3600,69
437,25200,30226,3600,171
438,25200,29544,3600,113
439,25200,27185,0,181
440,25200,29840,3600,136
441,25200,29539,0,114
442,25200,26509,0,212
443,25200,29661,3600,14
444,25200,28495,3540,160
445,25200,27475,0,131
446,25200,27286,0,66
447,25200,30672,0,74
448,25200,29533,3600,81
449,25200,29078,900,167
450,25200,26908,0,117
451,25200,26878,0,16
452,25200,29978,2700,149
453,25260,31974,2760,158
454,25260,29500,0,56
455,25260,29468,0,76
456,25260,26697,2340,110
457,25320,26743,3720,109
458,25320,27530,2100,42
459,25320,29210,1920,146
460,25320,29679,1020,145
461,25320,28988,3660,55
462,25380,29636,3780,144
463,25380,29885,5160,210
464,25380,28115,1980,139
465,25380,29948,3180,140
466,25380,29850,1980,44
467,25380,30458,1980,209
468,25440,31166,2940,87
469,25440,29225,2940,147
470,25440,29852,2040,115
471,25440,29645,3840,77
472,25440,28838,3840,36
473,25440,29929,5040,142
474,25440,30092,3840,12
475,25440,28984,1680,168
476,25440,28422,2940,183
477,25500,29017,2700,191
478,25500,29158,900,54
479,25500,29116,3900,83
480,25500,29484,4500,67
481,25500,28854,0,138
482,25500,29212,3000,185
483,25500,30671,0,148
484,25500,29177,3900,205
485,25500,29374,3900,178
486,25560,28534,2160,201
487,25560,29639,1560,154
488,25560,29129,840,137
489,25560,29266,4860,176
490,25560,27806,5160,202
491,25560,28811,1800,186
492,25620,29388,2520,177
493,25620,28143,1800,161
494,25620,30299,2220,143
495,25620,29529,1620,60
496,25620,32419,3120,73
497,25620,29451,1740,199
498,25680,30194,3480,141
499,25680,28075,2280,58
500,25680,29586,2280,20
501,25680,29569,1800,150
502,25680,26800,2280,34
503,25680,30363,2280,19
504,25680,28720,0,182
505,25680,30096,2280,116
506,25680,26797,2280,35
507,25680,28397,2280,192
508,25680,28088,2280,25
509,25680,29661,2280,214
510,25680,28756,4080,175
511,25740,30478,3240,57
512,25740,28888,4140,6
513,25740,30013,4740,155
514,25740,28305,1080,2
515,25740,29586,4140,169
516,25740,29239,1740,162
