new_index,s_time,e_time,delta_time,old_index
0,22200,25540,0,40
1,22200,23967,0,78
2,22380,26036,0,61
3,22800,24567,600,78
4,22800,25384,0,73
5,22860,25576,0,70
6,22860,25958,0,3
7,23040,26696,660,61
8,23100,26440,900,40
9,23340,26438,480,3
10,23400,26245,0,56
11,23400,26076,0,2
12,23400,26837,0,67
13,23400,27489,0,65
14,23400,26556,0,31
15,23400,26136,0,37
16,23400,28214,0,66
17,23460,29286,0,71
18,23460,29245,0,72
19,23460,26033,0,17
20,23580,25347,1380,78
21,23760,27416,1380,61
22,23940,27038,1080,3
23,23940,27377,540,67
24,23940,25707,1740,78
25,24000,26056,0,47
26,24000,25717,0,48
27,24000,28814,600,66
28,24000,25764,0,76
29,24000,26907,0,85
30,24000,26218,0,8
31,24000,28439,0,36
32,24000,29785,540,72
33,24000,26584,1200,73
34,24000,26585,0,74
35,24000,25788,0,79
36,24000,26488,0,9
37,24000,27340,1800,40
38,24000,26814,0,77
39,24000,27636,0,1
40,24000,27249,0,13
41,24000,25898,0,75
42,24000,26576,0,16
43,24000,26583,0,15
44,24000,26624,0,34
45,24060,27299,0,12
46,24060,26776,1200,70
47,24060,27696,60,1
48,24060,26633,600,17
49,24060,29886,600,71
50,24060,26959,0,63
51,24060,27641,0,35
52,24300,27145,900,56
53,24360,27096,960,37
54,24360,26931,0,62
55,24360,26127,2160,78
56,24480,27917,1080,67
57,24480,27636,1080,31
58,24540,28979,540,36
59,24600,27414,600,77
60,24600,27187,0,57
61,24600,27183,600,15
62,24600,28256,2220,61
63,24600,27849,600,13
64,24600,27089,0,38
65,24600,25507,0,25
66,24600,27035,0,83
67,24600,30426,1140,71
68,24600,27637,0,88
69,24600,27023,0,14
70,24600,26894,0,50
71,24600,28181,540,35
72,24600,27044,0,84
73,24600,27461,0,28
74,24600,30732,0,60
75,24600,27526,0,69
76,24600,25946,0,90
77,24600,27093,0,86
78,24600,30662,0,59
79,24600,27698,1740,3
80,24600,30385,1140,72
81,24600,29414,1200,66
82,24660,27236,660,16
83,24660,26281,0,20
84,24660,27071,0,22
85,24660,28171,0,54
86,24720,27483,0,52
87,24720,27293,1260,17
88,24720,27208,720,9
89,24720,27739,0,58
90,24720,26776,720,47
91,24720,26437,720,48
92,24720,27396,1320,2
93,24720,27619,660,63
94,24780,27351,420,62
95,24780,28019,720,12
96,24900,28240,2700,40
97,24900,26667,2700,78
98,24900,28536,900,1
99,24900,28056,1500,31
100,24900,28989,1500,65
101,24900,25035,0,81
102,25020,28457,1620,67
103,25080,28661,1020,35
104,25080,27298,1080,8
105,25080,27573,480,86
106,25080,29894,1680,66
107,25140,28039,1080,63
108,25140,27563,540,14
109,25200,28534,600,50
110,25200,27689,600,38
111,25200,28228,1800,37
112,25200,29565,0,64
113,25200,29811,1200,36
114,25200,28531,2340,3
115,25200,28527,0,39
116,25200,28698,0,26
117,25200,28365,1200,85
118,25200,28462,1800,56
119,25200,27680,0,45
120,25200,26663,0,89
121,25200,31562,1740,72
122,25200,26574,0,42
123,25200,28868,0,53
124,25200,27783,1200,15
125,25200,27330,0,80
126,25200,28449,1200,13
127,25200,27444,0,33
128,25200,28416,0,32
129,25200,28202,0,23
130,25260,26710,0,41
131,25260,28121,0,51
132,25260,28328,0,49
133,25260,27941,900,62
134,25260,27234,0,46
135,25260,28087,1260,74
136,25260,28159,2460,73
137,25260,28256,2400,70
138,25320,29033,2940,61
139,25320,27893,1860,17
140,25320,28265,1320,77
141,25320,27896,1320,16
142,25320,27806,0,27
143,25320,27374,1320,79
144,25380,28056,1980,2
145,25380,29102,720,54
146,25380,27607,0,87
147,25380,27206,3180,78
148,25440,28190,1440,9
149,25440,27343,1440,48
150,25440,31863,1980,71
151,25440,28477,840,88
152,25440,27851,780,22
153,25440,27565,1440,47
154,25500,28656,2100,31
155,25560,28146,960,86
156,25560,29372,2160,67
157,25560,29141,1500,35
158,25560,30374,2160,66
159,25620,28043,1020,14
160,25620,28766,1020,28
161,25620,28905,900,58
162,25740,28421,1380,62
163,25740,30351,1740,36
164,25740,28726,1680,63
165,25740,29002,2340,56
166,25740,29074,1140,50
167,25740,28226,420,27
168,25800,29131,2940,3
169,25800,28289,1200,38
170,25800,29039,1740,12
171,25800,32162,2340,72
172,25800,29140,3600,40
173,25800,26649,0,24
174,25800,29381,1740,35
175,25800,27838,0,21
176,25800,29049,1800,13
177,25860,27686,3660,78
178,25860,28340,660,45
179,25860,29842,1860,1
180,25860,28833,1260,57
181,25860,28928,600,49
182,25860,27758,1860,75
183,25920,28503,1920,15
184,25920,28138,1920,8
185,25920,29076,2520,31
186,25920,27349,1320,90
187,25920,29136,720,32
188,25920,28865,1920,77
189,25920,32343,2460,71
190,25920,29147,1320,69
191,25920,29588,720,53
192,25920,26827,1320,25
193,25980,28303,1980,76
194,25980,28553,2520,17
195,25980,28105,1980,47
196,26040,28716,2640,2
197,26040,30854,2640,66
198,26040,28616,2040,16
199,26040,29068,2640,37
200,26100,29681,2040,35
201,26100,29140,1380,52
202,26100,29813,3720,61
203,26100,29283,0,55
204,26160,26295,1260,81
205,26160,29972,2760,67
206,26160,28646,840,27
207,26160,29882,1500,54
208,26160,28910,2160,9
209,26160,29162,960,23
210,26160,29487,960,39
211,26160,28063,2160,48
212,26220,28901,1860,62
213,26220,29206,2160,63
214,26280,29436,2880,31
215,26280,29179,3480,73
216,26280,30891,2280,36
217,26280,29614,1680,50
218,26280,29107,2280,74
219,26340,28166,4140,78
220,26340,27803,1140,89
221,26340,29579,2280,12
222,26400,28986,1800,86
223,26400,29396,2400,34
224,26400,29649,2400,13
225,26400,29981,2340,35
226,26400,29731,3540,3
227,26400,28374,1140,46
228,26400,28844,1800,84
229,26400,30765,1200,64
230,26400,30817,3000,65
231,26400,28823,1800,14
232,26400,28835,1800,83
233,26400,29565,2400,85
234,26400,28530,1200,80
235,26460,32822,3000,72
236,26460,29405,2460,77
237,26460,28949,1860,38
238,26460,28312,1800,20
239,26460,29745,1740,58
240,26460,29043,2460,15
241,26460,32883,3000,71
242,26460,28514,2460,79
243,26520,29516,3660,70
244,26520,31334,3120,66
245,26580,29648,1320,49
246,26580,29736,3180,31
247,26580,29060,1380,45
248,26640,29856,1440,32
249,26640,29213,3180,17
250,26640,30452,3240,67
251,26640,29316,3240,2
252,26640,29980,4440,40
253,26640,29063,2040,14
254,26700,29949,2700,13
255,26700,30413,4320,61
256,26700,29846,2100,28
257,26700,29276,2700,16
258,26700,29381,2340,62
259,26760,28885,2760,47
260,26760,31371,2760,36
261,26760,30428,1560,53
262,26760,29746,2700,63
263,26760,29621,1500,51
264,26760,30742,2760,1
265,26760,29788,3360,37
266,26820,28723,2820,48
267,26820,30154,2220,50
268,26820,29306,1500,27
269,26820,28646,4620,78
270,26820,29038,2820,8
271,26880,29630,2880,9
272,26880,30461,2820,35
273,26940,27789,1140,24
274,27000,29945,3000,77
275,27000,29444,2400,84
276,27000,29038,1200,21
277,27000,30331,4140,3
278,27000,30722,2340,54
279,27000,29411,2340,22
280,27000,29583,3000,15
281,27060,29633,3600,17
282,27060,30216,3660,31
283,27060,27967,2460,25
284,27060,30287,2460,69
285,27060,30243,960,55
