new_index,s_time,e_time,delta_time,old_index
0,17700,19135,0,73
1,18540,19975,840,73
2,18780,20271,0,72
3,19320,24587,0,22
4,19440,20875,1740,73
5,19560,24520,0,3
6,19680,21171,900,72
7,19800,25102,0,23
8,19980,23917,0,1
9,20040,25000,480,3
10,20340,25642,540,23
11,20460,21895,2760,73
12,20580,22071,1800,72
13,20640,25600,1080,3
14,20820,26087,1500,22
15,20940,22375,3240,73
16,21000,26302,1200,23
17,21000,24461,0,61
18,21000,22699,0,108
19,21000,24511,0,26
20,21300,26260,1740,3
21,21300,26395,0,2
22,21360,24233,0,78
23,21480,26747,2160,22
24,21600,24802,0,148
25,21600,23616,0,76
26,21600,23941,0,79
27,21600,25301,0,34
28,21600,24743,0,149
29,21600,24051,0,116
30,21600,24431,0,126
31,21600,24290,0,93
32,21600,26216,0,13
33,21600,26288,0,15
34,21600,24792,0,92
35,21600,23734,0,77
36,21600,22317,0,163
37,21600,24474,0,125
38,21600,23446,0,186
39,21600,22364,0,164
40,21600,25377,0,35
41,21600,24026,0,68
42,21600,24026,0,131
43,21660,24519,0,104
44,21660,24969,0,105
45,21660,23151,2880,72
46,21660,26483,0,14
47,21720,27054,0,20
48,21720,26815,420,2
49,21780,25857,0,70
50,21780,24611,180,126
51,21780,27082,1980,23
52,21840,23275,4140,73
53,21840,24181,240,79
54,21840,23856,240,76
55,21840,25042,240,148
56,21840,24713,480,78
57,21840,27679,0,8
58,21900,25043,300,149
59,21900,24034,300,77
60,21900,23467,0,146
61,21960,23451,3180,72
62,21960,24650,360,93
63,22020,24446,420,68
64,22020,25699,0,71
65,22020,25212,420,92
66,22020,25721,420,34
67,22020,27287,2700,22
68,22080,25282,480,148
69,22080,24421,480,79
70,22140,25013,780,78
71,22140,27100,2580,3
72,22140,24156,540,76
73,22200,25454,0,80
74,22200,24248,0,144
75,22200,24302,0,145
76,22200,23527,0,120
77,22260,23695,4560,73
78,22260,25091,660,126
79,22320,25128,0,113
80,22320,25512,720,92
81,22320,27415,1020,2
82,22320,24454,720,77
83,22380,25582,780,148
84,22380,24396,780,76
85,22380,25254,780,125
86,22380,25070,780,93
87,22380,26157,780,35
88,22440,24841,0,141
89,22440,24781,840,79
90,22500,24067,600,146
91,22500,24772,0,86
92,22500,25643,900,149
93,22560,25391,960,126
94,22560,25433,1200,78
95,22560,25250,960,93
96,22560,24333,0,109
97,22560,24986,960,131
98,22620,25812,1020,92
99,22620,26321,1020,34
100,22620,24754,1020,77
101,22620,26299,600,71
102,22620,24722,420,145
103,22680,27947,3360,22
104,22680,27982,2880,23
105,22680,25882,1080,148
106,22740,25166,1140,68
107,22740,25883,1140,149
108,22740,24756,1140,76
109,22740,25081,1140,79
110,22740,24788,540,144
111,22740,24175,5040,73
112,22800,25417,0,133
113,22800,26054,600,80
114,22800,25659,1140,104
115,22800,25850,0,129
116,22800,23926,0,184
117,22800,24706,0,63
118,22800,28067,3480,22
119,22800,26604,0,6
120,22800,27623,1140,14
121,22800,26109,1140,105
122,22800,27488,1200,15
123,22800,24976,0,161
124,22800,23931,0,182
125,22800,25652,0,101
126,22800,24982,0,57
127,22800,26537,0,7
128,22800,26261,1800,61
129,22800,23806,0,97
130,22860,26052,1260,92
131,22860,23937,0,95
132,22860,25429,0,136
133,22860,25851,0,81
134,22860,25668,540,113
135,22860,26937,1080,70
136,22920,26122,1320,148
137,22920,24922,0,185
138,22920,25793,1560,78
139,22980,25114,1380,77
140,22980,24471,4200,72
141,22980,26917,3000,1
142,22980,26294,0,42
143,22980,26123,1380,149
144,23040,28135,1740,2
145,23040,25730,1440,93
146,23040,25312,540,86
147,23100,25116,1500,76
148,23160,25729,300,136
149,23160,28120,3600,3
150,23160,26477,0,98
151,23160,26897,360,7
152,23160,27776,1560,13
153,23220,26363,1620,149
154,23220,25782,0,69
155,23220,25322,1020,145
156,23220,26899,1200,71
157,23220,25561,1620,79
158,23220,24787,1320,146
159,23220,25837,420,133
160,23220,26094,1620,125
161,23280,26153,1920,78
162,23280,26981,1680,34
163,23280,24979,2280,108
164,23280,24367,0,96
165,23280,25706,1680,68
166,23280,27217,3300,1
167,23340,27117,1740,35
168,23340,24775,5640,73
169,23340,25474,1740,77
170,23340,28607,4020,22
171,23340,26331,480,81
172,23340,24230,0,90
173,23340,25356,1740,76
174,23340,25426,0,56
175,23400,25925,0,83
176,23400,25334,0,17
177,23400,26654,1200,80
178,23400,25326,0,82
179,23400,26231,1800,126
180,23400,27616,0,11
181,23400,24963,0,67
182,23400,24158,0,181
183,23400,27137,600,7
184,23400,26622,0,99
185,23400,27120,0,10
186,23400,25972,0,110
187,23400,26592,1800,92
188,23400,27204,600,6
189,23460,28762,3660,23
190,23460,27537,1680,70
191,23460,26150,1860,93
192,23460,25508,1260,144
193,23460,26777,300,98
194,23460,27921,0,166
195,23460,24588,0,183
196,23520,25658,0,31
197,23520,26089,660,136
198,23520,24325,0,91
199,23520,26680,0,112
200,23520,25011,4740,72
201,23580,24447,0,194
202,23580,26453,2220,78
203,23580,26630,780,129
204,23580,25756,780,161
205,23580,25921,1980,79
206,23640,26330,2040,93
207,23640,25656,2040,76
208,23640,25154,0,160
209,23640,25546,840,63
210,23700,25834,2100,77
211,23700,28795,2400,2
212,23700,27401,2100,34
213,23700,25972,1200,86
214,23700,25143,0,147
215,23700,26902,2100,148
216,23700,26843,2100,149
217,23700,26126,2100,131
218,23700,26892,2100,92
219,23700,24783,0,138
220,23820,26246,2220,68
221,23820,27499,1800,71
222,23820,25922,1620,145
223,23820,27557,1020,7
224,23820,26072,0,32
225,23880,26442,660,69
226,23880,26753,2520,78
227,23880,29147,4560,22
228,23880,26281,1440,141
229,23940,28104,0,0
230,23940,26281,2340,79
231,23940,28628,2340,15
232,23940,25431,5160,72
233,23940,27194,1740,80
234,23940,26771,2340,126
235,23940,25507,2040,146
236,23940,25267,1740,120
237,23940,24946,1140,97
238,23940,25383,240,147
239,23940,28763,2280,14
240,23940,26931,1080,81
241,23940,25956,2340,76
242,23940,26074,2340,77
243,23940,26509,1080,136
244,23940,27401,2940,61
245,23940,26814,2340,125
246,24000,27854,0,39
247,24000,25435,6300,73
248,24000,27804,1200,6
249,24000,27143,2400,149
250,24000,25755,0,55
251,24000,25882,0,119
252,24000,26690,2400,93
253,24000,26859,2340,104
254,24000,27521,0,60
255,24000,24890,660,90
256,24000,27309,2340,105
257,24000,26206,0,28
258,24000,26808,1680,113
259,24000,27929,0,178
260,24060,27220,540,112
261,24060,27739,2040,71
262,24060,27262,2460,148
263,24060,25431,0,94
264,24060,24388,0,196
265,24180,27917,1380,7
266,24180,26362,1380,57
267,24180,27957,2580,35
268,24240,25045,720,91
269,24240,26256,2640,76
270,24240,27751,3240,26
271,24240,26512,1740,86
272,24240,26809,1380,136
273,24240,27113,2880,78
274,24240,25737,0,66
275,24240,26857,1440,133
276,24240,26374,2640,77
277,24300,26348,2100,144
278,24300,27443,2700,149
279,24300,26740,0,87
280,24300,26402,2100,145
281,24300,26990,2700,93
282,24300,26476,1500,161
283,24300,27788,0,106
284,24300,26641,2700,79
285,24300,24627,0,195
286,24300,28001,2700,34
287,24300,28392,0,107
288,24300,25377,1440,95
289,24360,27552,2760,92
290,24360,28437,2580,70
291,24360,29662,4560,23
292,24420,27294,2820,125
293,24420,26982,1200,69
294,24420,25863,720,147
295,24420,27622,2820,148
296,24420,29515,3120,2
297,24480,27623,2880,149
298,24480,28116,0,41
299,24480,27643,0,123
300,24480,26906,2880,68
301,24480,25567,1200,96
302,24540,27414,2940,125
303,24540,26446,1740,63
304,24540,29156,2940,13
305,24540,27092,0,134
306,24540,26239,0,154
307,24540,25975,6840,73
308,24540,26674,2940,77
309,24540,27732,2940,92
310,24540,26556,2940,76
311,24540,27413,3180,78
312,24540,27112,1140,110
313,24540,29500,4980,3
314,24540,28344,1740,6
315,24540,27590,1740,129
316,24540,25666,1740,184
317,24600,25460,0,189
318,24600,25364,3000,164
319,24600,26091,5820,72
320,24600,25317,3000,163
321,24600,27047,0,132
322,24600,27166,0,50
323,24600,27760,1080,112
324,24600,25854,0,47
325,24600,27026,3000,131
326,24600,26778,0,115
327,24600,27437,0,176
328,24600,27591,1740,81
329,24600,26099,0,49
330,24600,29867,5280,22
331,24600,25438,0,190
332,24600,27566,0,137
333,24600,25474,0,193
334,24660,26227,2760,146
335,24660,28597,4680,1
336,24660,26708,2460,144
337,24660,27001,3060,79
