new_index,s_time,e_time,delta_time,old_index
0,0,2916,0,61
1,1740,4656,1740,61
2,3480,6396,3480,61
3,5220,8136,5220,61
4,6960,9876,6960,61
5,8700,11616,8700,61
6,10440,13356,10440,61
7,12180,15096,12180,61
8,13920,16836,13920,61
9,15660,18576,15660,61
10,17400,20316,17400,61
11,19140,22056,19140,61
12,19800,25604,0,36
13,19800,22711,0,71
14,19800,28401,0,42
15,19800,27354,0,43
16,20160,25553,0,37
17,20400,25793,240,37
18,20400,28346,0,35
19,20400,23773,0,32
20,20400,23792,0,33
21,20460,26264,660,36
22,20640,29241,840,42
23,20700,23611,900,71
24,20700,22569,0,28
25,20820,26213,660,37
26,20880,23796,20880,61
27,20940,28494,1140,43
28,21000,23821,0,72
29,21120,26924,1320,36
30,21360,24702,0,29
31,21360,24292,0,30
32,21360,26753,1200,37
33,21540,24361,540,72
34,21600,24932,0,103
35,21600,29546,1200,35
36,21600,24794,0,104
37,21600,24295,0,101
38,21600,24708,0,86
39,21600,27017,0,172
40,21600,27460,0,171
41,21600,27380,0,40
42,21600,28944,0,41
43,21600,26577,0,50
44,21600,24055,0,0
45,21600,24056,0,1
46,21600,24058,0,21
47,21600,23896,0,22
48,21600,26993,1440,37
49,21600,24466,0,10
50,21600,24748,0,102
51,21600,23550,0,93
52,21600,24574,0,85
53,21660,29862,0,34
54,21660,24571,1860,71
55,21660,30261,1860,42
56,21720,24876,0,117
57,21840,27644,2040,36
58,21960,24655,360,101
59,21960,25154,360,104
60,22020,24886,420,10
61,22080,25228,480,102
62,22080,25412,480,103
63,22140,25532,1740,33
64,22140,25513,1740,32
65,22140,29694,2340,43
66,22200,28060,600,171
67,22200,25136,0,83
68,22200,25111,2400,71
69,22260,30861,2460,42
70,22260,25368,660,86
71,22260,25234,660,85
72,22380,28184,2580,36
73,22440,30386,2040,35
74,22440,24309,1740,28
75,22440,25135,840,101
76,22440,27857,840,172
77,22440,25634,840,104
78,22500,25656,780,117
79,22560,30762,900,34
80,22620,25952,1020,103
81,22620,25768,1020,102
82,22620,25536,22620,61
83,22680,28073,2520,37
84,22740,30084,1140,41
85,22740,25606,1140,10
86,22740,25651,2940,71
87,22800,24264,0,18
88,22800,24156,0,17
89,22800,26349,0,24
90,22800,25745,0,2
91,22800,27047,0,129
92,22800,26807,0,130
93,22800,28197,0,74
94,22800,26131,0,127
95,22800,28660,1200,171
96,22800,28580,1200,40
97,22800,25561,0,84
98,22800,25856,0,107
99,22800,25960,0,120
100,22800,25126,0,195
101,22800,25554,0,11
102,22800,26088,0,3
103,22800,26373,0,128
104,22800,25358,0,181
105,22800,28246,0,73
106,22800,27614,0,193
107,22800,25726,0,109
108,22800,25806,0,118
109,22800,25559,0,56
110,22800,27908,0,79
111,22800,25450,0,182
112,22860,27434,0,95
113,22860,28275,0,96
114,22860,25796,660,83
115,22920,28313,2760,37
116,22920,26114,1320,104
117,22920,25741,1920,72
118,22920,25615,1320,101
119,22980,25954,1380,85
120,22980,26088,1380,86
121,22980,31581,3180,42
122,23040,30594,3240,43
123,23100,25453,0,49
124,23100,26032,1740,30
125,23100,26442,1740,29
126,23100,28904,3300,36
127,23100,25529,0,196
128,23160,26316,1440,117
129,23160,26492,1560,103
130,23160,26308,1560,102
131,23280,27527,480,129
132,23280,26611,480,127
133,23340,28448,540,79
134,23340,26913,540,128
135,23340,25795,1740,0
136,23340,31286,2940,35
137,23340,25798,1740,21
138,23340,26101,540,84
139,23340,25796,1740,1
140,23340,25636,1740,22
141,23340,26206,1740,10
142,23340,27347,540,130
143,23340,28737,540,74
144,23400,25294,0,190
145,23400,25923,0,76
146,23400,25850,0,75
147,23400,26042,0,188
148,23400,25595,0,202
149,23400,25564,0,189
150,23400,26423,0,113
151,23400,25648,0,187
152,23400,25860,0,184
153,23400,25301,0,168
154,23400,28138,0,138
155,23400,25018,0,4
156,23400,26541,0,155
157,23400,24981,0,178
158,23400,26088,0,180
159,23400,25888,0,179
160,23400,25040,0,177
161,23400,26189,0,149
162,23400,25757,0,185
163,23400,26732,0,123
164,23400,26055,0,27
165,23400,25447,0,186
166,23400,27653,0,153
167,23400,26899,0,148
168,23400,28618,0,51
169,23400,26007,0,124
170,23400,26339,0,183
171,23400,26018,0,191
172,23400,28377,1800,50
173,23400,26633,0,114
174,23400,25104,0,5
175,23400,26524,0,136
176,23400,26390,0,90
177,23400,26479,0,115
178,23400,28889,0,151
179,23400,27123,0,97
180,23400,26594,1800,104
181,23400,26285,0,110
182,23400,26359,0,108
183,23400,26171,0,203
184,23400,27390,0,200
185,23400,26400,0,204
186,23400,26726,0,205
187,23400,28016,0,199
188,23400,26658,0,209
189,23400,26450,0,20
190,23400,26030,0,121
191,23400,26577,0,19
192,23400,26068,0,125
193,23400,27011,0,146
194,23400,26095,1800,101
195,23400,25250,0,31
196,23400,28973,0,160
197,23400,25905,0,57
198,23400,27376,0,197
199,23400,26441,0,154
200,23400,27936,0,158
201,23400,26860,0,116
202,23400,26222,0,192
203,23400,29209,0,150
204,23400,26277,0,55
205,23400,26372,0,14
206,23400,27656,0,206
207,23400,29695,0,212
208,23400,26056,0,167
209,23400,25627,0,201
210,23400,26008,0,166
211,23400,25999,0,169
212,23400,26394,0,170
213,23400,28653,0,194
214,23400,26571,0,119
215,23400,27318,0,105
216,23400,27112,0,106
217,23400,28207,0,80
218,23400,27638,0,198
219,23400,28193,0,159
220,23400,26836,0,89
221,23400,27487,0,6
222,23400,26180,0,16
223,23400,26059,0,52
224,23400,27130,0,112
225,23400,26246,0,12
226,23400,25350,1800,93
227,23400,28987,0,142
228,23400,27367,0,111
229,23400,26313,0,15
230,23460,26466,660,118
231,23460,31662,1800,34
232,23460,26386,660,109
233,23460,25176,0,47
234,23460,28465,0,53
235,23460,26371,3660,71
236,23460,28853,3300,37
237,23460,26516,660,107
238,23460,26110,660,182
239,23520,26078,720,181
240,23520,26456,1320,83
241,23580,28394,780,193
242,23640,29057,2040,172
243,23640,26748,2040,86
244,23640,26394,840,11
245,23640,26494,0,126
246,23640,25966,840,195
247,23700,26674,2100,85
248,23700,27032,2100,103
249,23700,29115,840,96
250,23700,25654,0,94
251,23700,29146,900,73
252,23700,28432,0,141
253,23700,26569,0,9
254,23700,29168,0,46
255,23700,26848,2100,102
256,23760,29564,3960,36
257,23760,26581,2760,72
258,23760,32361,3960,42
259,23760,27309,960,24
260,23760,28334,900,95
261,23880,27036,2160,117
262,23880,27798,480,105
263,23880,27316,480,89
264,23880,26765,480,110
265,23880,25927,480,186
266,23880,26309,780,196
267,23880,27211,1080,127
268,23880,26746,2280,10
269,23880,28127,1080,129
270,23880,27887,1080,130
271,23880,29273,3720,37
272,23880,29740,2280,171
273,23880,27453,1080,128
274,23880,27040,1080,120
275,23880,27272,3480,33
276,23880,27253,3480,32
277,23880,26793,480,15
278,23940,26699,1140,56
279,23940,29048,1140,79
280,23940,26729,540,149
281,23940,27134,2340,104
282,23940,26701,1140,84
283,23940,27266,540,205
284,23940,26899,540,108
285,23940,26635,2340,101
286,23940,31494,4140,43
287,23940,26990,540,20
288,23940,26548,540,166
289,23940,27916,540,197
290,23940,27117,540,19
291,23940,26720,540,16
292,23940,29749,540,150
293,24000,25901,600,168
294,24000,26939,600,183
295,24000,27712,600,106
296,24000,28793,600,159
297,24000,25581,600,178
298,24000,26877,600,55
299,24000,25653,0,82
300,24000,26044,0,81
301,24000,24843,0,157
302,24000,25640,600,177
303,24000,27642,0,23
304,24000,28098,0,7
305,24000,31344,2400,41
306,24000,26877,0,13
307,24000,28254,0,152
308,24000,25192,0,163
309,24000,29780,2400,40
310,24060,27050,660,90
311,24060,28596,660,158
312,24060,27083,660,113
313,24060,27520,660,116
314,24060,27201,660,155
315,24060,26702,660,188
316,24060,26308,660,187
317,24060,27060,660,204
318,24120,27291,720,119
319,24120,26719,720,169
320,24120,26891,720,203
321,24120,26776,720,167
322,24120,27176,1320,107
323,24180,26074,780,190
324,24180,26407,780,201
325,24180,27512,780,123
326,24180,28433,780,153
327,24180,28436,780,206
328,24180,27512,2580,103
329,24180,26640,780,184
330,24180,29597,2580,172
331,24180,28418,780,198
332,24180,27106,1380,109
333,24180,27259,780,115
334,24180,26049,3480,28
335,24180,26537,780,185
336,24180,26787,780,124
337,24180,26344,780,189
338,24180,26668,780,179
339,24180,27186,1380,118
340,24180,26868,780,180
341,24180,26810,780,121
342,24180,27328,2580,102
343,24180,27679,780,148
344,24180,27093,780,15
345,24240,26890,1440,182
346,24240,29637,1440,74
347,24240,27151,4440,71
348,24240,27473,840,114
349,24240,27212,840,14
350,24240,26435,840,202
351,24240,28856,840,199
352,24240,26858,840,191
353,24240,27364,840,136
354,24240,29047,840,80
355,24240,27234,840,170
356,24240,27281,840,154
357,24240,26798,1440,181
358,24240,27176,2040,83
359,24300,29613,0,161
360,24300,29789,900,151
361,24300,27122,900,192
362,24300,29873,900,160
363,24300,26995,2700,101
364,24300,28290,900,200
365,24300,30595,900,212
366,24300,28023,900,97
367,24300,30160,2700,171
368,24300,26968,900,125
369,24300,27494,2700,104
370,24300,32246,3900,35
371,24300,29768,600,46
372,24300,28007,0,98
373,24360,27276,24360,61
374,24360,29613,960,194
375,24360,26968,960,166
376,24360,32562,2700,34
377,24420,27528,2820,86
378,24420,27274,780,126
379,24420,27394,2820,85
380,24420,33021,4620,42
381,24480,30284,4680,36
382,24480,27806,1080,205
383,24480,27811,1680,127
384,24480,29294,1680,193
385,24480,28727,1680,129
386,24480,27346,2880,10
387,24480,27439,1080,108
388,24480,28487,1680,130
389,24480,28053,1680,128
390,24540,29986,1740,73
391,24540,27329,1140,149
392,24540,27301,1740,84
393,24540,27976,1140,89
394,24540,28458,1140,105
395,24540,27425,1140,110
396,24540,27717,1140,19
397,24540,27320,1140,16
398,24540,27294,1740,11
399,24540,26587,1140,186
400,24540,27696,2820,117
401,24540,28516,1140,197
402,24600,26351,0,48
403,24600,27932,3000,103
404,24600,26181,1200,178
405,24600,28149,1800,24
406,24600,28211,1200,146
407,24600,27606,0,135
408,24600,30015,1740,96
409,24600,29538,0,54
410,24600,26926,1800,195
411,24600,28307,300,98
412,24600,27748,3000,102
413,24600,29708,1800,79
414,24600,26240,1200,177
415,24660,27089,1560,196
416,24660,27710,1260,20
417,24660,30469,1260,150
418,24660,29453,1260,159
419,24660,29398,0,137
420,24720,27415,3120,101
421,24720,29256,1320,158
422,24720,27726,1920,118
423,24720,27914,3120,104
424,24720,29294,1860,95
425,24720,27631,4920,71
426,24720,26621,1320,168
427,24720,28432,1320,106
428,24720,28974,720,152
429,24780,27719,1380,183
430,24780,30173,4620,37
431,24780,27422,1380,188
432,24780,27028,1380,187
433,24780,27836,1980,107
434,24780,27921,1380,155
435,24780,28240,1380,116
436,24780,27770,1380,90
437,24840,26556,1380,47
438,24840,28182,3480,29
439,24840,27599,2040,56
440,24840,32394,5040,43
441,24840,27772,3480,30
442,24840,28011,1440,119
443,24840,27717,840,13
444,24840,27193,1740,49
445,24840,29845,1380,53
446,24840,27840,1440,204
447,24840,28547,540,98
448,24900,27826,2100,109
449,24900,27811,5100,71
450,24900,27923,1500,113
451,24900,27671,1500,203
452,24960,27837,1560,55
453,24960,28120,2160,120
454,24960,27420,1560,184
455,24960,29216,1560,206
456,24960,27616,1560,167
457,25020,27628,1620,166
458,25020,27627,1620,124
