new_index,s_time,e_time,delta_time,old_index
0,23400,24858,0,87
1,23400,26002,0,49
2,23400,25356,0,88
3,23580,25354,0,44
4,23580,25350,0,45
5,23700,26885,0,76
6,23700,26886,0,75
7,23700,27676,0,6
8,23700,25911,0,80
9,23700,27855,0,5
10,23700,25929,0,71
11,23700,26486,0,86
12,23700,27064,0,83
13,23700,26521,0,65
14,23700,26394,0,66
15,23700,26094,0,67
16,23700,25656,300,88
17,23700,26978,0,3
18,23700,25158,300,87
19,23700,26268,0,68
20,23700,26621,0,73
21,23700,26367,0,74
22,23700,26544,0,85
23,23700,27385,0,53
24,23700,27569,0,54
25,23700,26091,0,70
26,23700,26273,0,69
27,23700,26280,0,62
28,23700,26157,0,61
29,23700,25930,0,72
30,23700,27467,0,77
31,23700,26928,0,50
32,23700,27436,0,78
33,23700,25960,0,42
34,23700,26020,0,43
35,23820,27213,0,4
36,23820,26386,0,52
37,23820,27474,0,84
38,23820,27290,0,8
39,23820,27228,0,7
40,23820,26253,0,51
41,23880,27882,0,89
42,23880,27554,0,90
43,23880,25732,0,59
44,23880,25919,0,60
45,24000,26728,0,48
46,24000,27146,0,82
47,24000,28002,120,89
48,24000,27264,0,81
49,24000,27674,120,90
50,24300,27121,600,65
51,24300,26868,600,68
52,24300,26994,600,66
53,24300,27974,420,90
54,24300,28302,420,89
55,24300,26694,600,67
56,24480,28635,780,5
57,24480,28456,780,6
58,24600,28336,900,78
59,24600,28367,900,77
60,24600,26454,0,22
61,24900,27721,1200,65
62,24900,27468,1200,68
63,24900,27294,1200,67
64,24900,27594,1200,66
65,25080,26932,1200,59
66,25080,27119,1200,60
67,25200,27052,0,15
68,25200,27004,0,23
69,25200,26875,0,14
70,25200,26209,0,36
71,25200,27473,1800,87
72,25200,28999,0,24
73,25200,28449,0,29
74,25200,29539,0,31
75,25200,28207,0,33
76,25200,28193,0,32
77,25200,28043,0,34
78,25200,28828,0,35
79,25200,29498,0,30
80,25200,29464,0,26
81,25200,29508,0,27
82,25200,26647,0,17
83,25200,28887,0,25
84,25200,26338,0,37
85,25200,26637,0,16
86,25200,28513,0,28
87,25200,27039,0,18
88,25200,26307,0,13
89,25200,27356,1800,88
90,25200,26254,0,12
91,25260,29415,1560,5
92,25260,29236,1560,6
93,25500,27773,2100,87
94,25500,27656,2100,88
95,25500,29419,1800,78
96,25500,28194,1800,66
97,25500,29272,1800,77
98,25500,28516,1800,65
99,25500,28068,1800,68
100,25500,27894,1800,67
101,26040,30016,2340,6
102,26040,30195,2340,5
103,26100,29116,2400,65
104,26100,28794,2400,66
105,26100,28494,2400,67
106,26100,28668,2400,68
107,26280,28374,2400,60
108,26280,28255,2400,59
109,26400,30172,2700,77
110,26400,30319,2700,78
111,26700,29268,3000,68
112,26700,29394,3000,66
113,26700,29094,3000,67
114,26700,29716,3000,65
115,26820,30975,3120,5
116,26820,30796,3120,6
117,27000,29156,3600,88
118,27000,29273,3600,87
119,27180,29782,3780,49
120,27300,31219,3600,78
121,27300,29994,3600,66
122,27300,29694,3600,67
123,27300,29868,3600,68
124,27300,29456,3900,88
125,27300,30316,3600,65
126,27300,29573,3900,87
127,27300,30221,3600,73
128,27300,31072,3600,77
129,27300,29967,3600,74
130,27360,29130,3780,45
131,27360,29134,3780,44
