new_index,s_time,e_time,delta_time,old_index
0,23400,26821,0,20
1,23400,26792,0,11
2,23400,26341,0,22
3,23400,26774,0,16
4,23400,28550,0,29
5,23400,26774,0,17
6,23400,27967,0,28
7,23400,24762,0,61
8,23400,27079,0,24
9,23400,24681,0,60
10,23400,26892,0,25
11,23400,27281,0,30
12,23400,27295,0,31
13,23400,28596,0,85
14,23400,28315,0,84
15,23400,27522,0,81
16,23400,29417,0,80
17,23400,27131,0,1
18,23400,27148,0,2
19,23400,27987,0,4
20,23400,27834,0,5
21,23400,27610,0,83
22,23400,27207,0,86
23,23400,27421,0,82
24,23400,27053,0,87
25,23400,27175,0,62
26,23400,26663,0,34
27,23400,27231,0,63
28,23400,27173,0,35
29,23400,26709,0,75
30,23400,26334,0,23
31,23400,27440,0,45
32,23400,26647,0,10
33,23400,29301,0,37
34,23400,27999,0,90
35,23400,26916,0,57
36,23400,27084,0,91
37,23400,27329,0,39
38,23400,28566,0,49
39,23400,26552,0,66
40,23400,26549,0,67
41,23400,28077,0,48
42,23400,25857,0,88
43,23400,25865,0,89
44,23400,26866,0,51
45,23400,26912,0,54
46,23400,26771,0,50
47,23400,26266,0,7
48,23400,26944,0,26
49,23400,26142,0,6
50,23400,26442,0,32
51,23400,26994,0,27
52,23400,27280,0,47
53,23400,27472,0,9
54,23400,27300,0,46
55,23400,27117,0,42
56,23400,27234,0,58
57,23400,27963,0,43
58,23400,27051,0,59
59,23400,26550,0,64
60,23400,25872,0,69
61,23400,26616,0,65
62,23400,25847,0,68
63,23400,28785,0,36
64,23400,26672,0,74
65,23400,27505,0,56
66,23400,27768,0,44
67,23400,26987,0,21
68,23460,26798,0,38
69,23460,27286,0,55
70,23460,27528,0,8
71,23520,26359,0,73
72,23520,26972,0,33
73,23520,26363,0,72
74,23820,27561,0,3
75,23820,27517,0,0
76,24180,28259,0,52
77,24180,28318,0,53
78,24240,27988,840,2
79,24240,28608,840,44
80,24240,28140,840,46
81,24240,28047,840,86
82,24240,27981,420,3
83,24240,27487,840,10
84,24240,28280,840,45
85,24240,27614,840,16
86,24240,27971,840,1
87,24240,27937,420,0
88,24240,28074,840,58
89,24240,28120,840,47
90,24240,27632,840,11
91,24240,28015,840,62
92,24300,28368,840,8
93,24300,27674,900,17
94,24300,27951,900,59
95,24300,27953,900,87
96,24300,28131,900,63
97,24300,28372,900,9
98,24540,28056,1140,57
99,24540,27992,1020,33
100,24540,28134,1140,27
101,24540,29103,1140,43
102,24540,29107,1140,28
103,24540,29139,1140,90
104,24540,28469,1140,39
105,24540,28032,1140,25
106,24540,27878,1080,38
107,24540,27692,1140,66
108,24540,27812,1140,74
109,24540,29736,1140,85
110,24540,29217,1140,48
111,24540,27582,1140,32
112,24540,29706,1140,49
113,24540,29455,1140,84
114,24540,28257,1140,42
115,24540,29127,1140,4
116,24540,28645,1140,56
117,24540,28435,1140,31
118,24540,28084,1140,26
119,24600,28481,1200,30
120,24600,27443,1080,72
121,24600,27439,1080,73
122,24600,27816,1200,65
123,24600,29034,1200,5
124,24600,28284,1200,91
125,24600,27909,1200,75
126,24600,27750,1200,64
127,24600,27749,1200,67
128,24600,29750,1200,29
129,24780,28154,1380,16
130,25020,28854,1620,58
131,25080,28759,1680,24
132,25080,31097,1680,80
133,25140,29180,1740,45
134,25140,28727,1740,21
135,25140,28387,1740,10
136,25140,28514,1740,16
137,25140,29208,1680,8
138,25140,28006,1740,7
139,25140,28403,1740,34
140,25140,29350,1740,83
141,25140,28514,1740,17
142,25140,28915,1740,62
143,25140,28881,1320,3
144,25140,27882,1740,6
145,25140,29040,1740,46
146,25140,28606,1740,51
147,25140,28913,1740,35
148,25140,28561,1740,20
149,25140,29508,1740,44
150,25140,29161,1740,82
151,25140,28532,1740,11
152,25140,28791,1740,59
153,25140,28837,1320,0
154,25140,28081,1740,22
155,25140,28652,1740,54
156,25140,28074,1740,23
157,25140,29262,1740,81
158,25200,27828,0,96
159,25200,28913,1800,50
160,25200,29447,1800,87
161,25200,29191,0,76
162,25200,29536,1800,86
163,25200,29646,1740,55
164,25200,27647,1800,68
165,25200,29389,0,71
166,25200,28941,0,93
167,25200,29310,0,77
168,25200,28151,0,79
169,25200,27672,1800,69
170,25200,27917,0,97
171,25200,28911,0,92
172,25200,28393,0,95
173,25200,29031,1800,63
174,25200,30526,1800,9
175,25200,29080,1800,47
176,25260,29147,0,40
177,25380,29385,1980,25
178,25440,29647,0,70
179,25440,28712,2040,74
180,25440,29629,240,71
181,25500,28650,2100,64
182,25500,30716,2100,90
183,25500,29657,2100,24
184,25500,28716,2100,65
185,25500,29184,2100,91
186,25560,28869,2160,75
187,25680,32027,2280,37
188,25680,27132,2280,61
189,25680,30748,2280,43
190,25740,30831,2340,5
191,25740,31908,2340,85
192,25740,31602,2340,29
193,25740,27070,2340,60
194,25740,29790,2340,26
195,25740,30875,2340,4
196,25740,28197,2340,88
197,25740,32393,2340,36
198,25740,31374,2340,84
199,25740,31149,2340,42
200,25740,29314,2220,33
201,25740,29759,2340,32
202,25740,30170,2340,39
203,25740,28205,2340,89
204,25740,29635,2340,31
205,25740,30750,2340,28
206,25740,29621,2340,30
207,25740,29887,2340,27
208,25800,32302,2400,49
209,25800,28949,2400,67
210,25800,31652,2400,48
211,25800,28952,2400,66
212,25800,28643,2280,72
213,25800,28639,2280,73
214,25800,29992,2340,38
215,25800,30104,2400,56
216,25800,29316,2400,57
217,26040,30287,2640,87
218,26040,30994,2640,83
219,26040,29815,2640,62
220,26040,30216,2640,35
221,26040,30435,2640,59
222,26040,30198,2640,45
223,26040,28974,2640,23
224,26040,29629,2640,11
225,26040,30229,840,71
226,26040,30091,2640,58
227,26040,30768,2640,82
228,26040,30496,2640,44
229,26040,28981,2640,22
230,26040,30486,2580,55
231,26100,30436,2700,86
232,26100,29931,2700,63
233,26100,30207,2700,10
234,26100,31426,2700,9
235,26100,30780,2700,34
236,26100,30098,2700,54
237,26100,29474,2700,17
238,26100,29797,2280,0
239,26100,30168,2640,8
240,26100,30307,660,70
241,26100,29053,0,78
242,26100,29841,2280,3
243,26100,29980,2700,47
244,26100,30000,2700,46
245,26280,30285,2880,25
246,26280,30220,2880,51
247,26340,30419,2160,52
248,26340,30832,2160,53
249,26340,30497,2940,24
250,26340,29924,2940,6
251,26340,30071,2940,1
252,26340,29490,2940,64
253,26340,33143,2940,80
254,26340,30088,2940,2
255,26340,28812,2940,69
256,26340,31556,2940,90
257,26340,29612,2940,74
258,26400,29616,3000,65
259,26400,30459,3000,21
260,26400,30522,3000,81
261,26400,30113,3000,50
262,26400,29709,3000,75
263,26400,30084,3000,91
264,26400,30863,3000,20
265,26400,28847,3000,68
266,26400,29540,3000,7
267,26640,29357,1440,97
268,26640,33142,3240,49
269,26640,31775,3240,4
270,26640,32492,3240,48
271,26640,29268,1440,96
272,26640,30787,3240,27
273,26640,29833,1440,95
274,26700,30750,3300,26
275,26700,31791,3300,5
276,26700,30074,3300,16
277,26880,31948,3480,43
278,26940,30991,3540,58
279,26940,29881,3540,22
280,26940,31147,1500,70
281,26940,31098,3540,45
282,26940,31386,3480,55
283,26940,31668,3540,82
284,26940,31116,3540,35
285,26940,31276,3540,86
286,26940,32574,3540,84
287,26940,30715,3540,62
288,26940,30637,3120,0
289,26940,31187,3540,87
290,26940,30529,3540,11
291,26940,31950,3540,28
292,26940,31335,3540,59
293,26940,32349,3540,42
294,26940,31129,1740,71
295,26940,33108,3540,85
296,26940,31620,3540,34
297,26940,31047,3540,10
298,26940,29874,3540,23
299,26940,30681,3120,3
300,26940,30771,3540,63
301,26940,29779,3420,73
302,26940,30840,3540,46
303,26940,31894,3540,83
304,26940,30827,1680,40
305,26940,32802,3540,29
306,27000,30880,3600,47
307,27000,30881,3600,30
308,27000,30516,3600,57
309,27000,30374,3600,17
310,27000,31304,3600,56
311,27000,29951,1800,79
312,27000,31068,3540,8
313,27000,30998,3600,54
314,27000,30152,3600,66
315,27000,31456,3600,44
316,27000,30746,0,41
317,27000,30574,3480,33
318,27000,32326,3600,9
319,27000,29843,3480,72
320,27000,30895,3600,31
321,27000,31019,3600,32
322,27000,30149,3600,67
323,27180,31337,3780,24
324,27240,30390,3840,64
325,27240,30924,3840,91
326,27240,31245,3840,25
327,27240,30512,3840,74
328,27240,32456,3840,90
329,27300,30516,3900,65
330,27300,30609,3900,75
331,27480,31420,4080,51
332,27480,33827,4080,37
333,27540,32003,4140,20
334,27540,31599,4140,21
335,27540,31662,4140,81
336,27540,31124,4140,6
337,27540,31687,4140,27
338,27540,31970,4140,39
339,27540,32631,4140,5
340,27540,33392,4140,48
341,27540,31590,4140,26
342,27540,29987,4140,68
343,27540,34193,4140,36
344,27600,31313,4200,50
345,27600,34403,4200,80
346,27600,30740,4200,7
347,27600,34102,4200,49
348,27600,31792,4140,38
349,27600,30072,4200,69
350,27780,32915,4380,4
351,27780,31491,2580,92
352,27840,32029,2640,71
353,27840,33474,4440,84
354,27840,34008,4440,85
355,27840,32794,4440,83
356,27840,31859,4440,32
357,27840,32016,4440,35
358,27840,31414,4320,33
359,27840,31581,2640,93
360,27840,31891,4440,58
361,27840,31615,4440,62
362,27840,33166,4440,9
363,27840,32286,4380,55
364,27840,32568,4440,82
365,27840,32144,4440,56
366,27840,32047,2400,70
367,27900,32295,4500,59
368,27900,31800,4500,46
369,27900,32007,4500,10
370,27900,31416,4500,57
371,27900,31780,4500,47
372,27900,30743,4380,72
373,27900,30853,1800,78
374,27900,31968,4440,8
375,27900,31489,4500,11
376,27900,31731,4500,63
377,27900,31795,4500,31
378,27900,30739,4380,73
379,27900,32580,4500,34
380,27900,31898,4500,54
381,27960,31841,4560,30
382,27960,31334,4560,16
383,28020,32025,4620,25
384,28080,31273,2880,95
385,28080,30708,2880,96
386,28080,31014,4680,23
387,28080,30797,2880,97
388,28140,31292,4740,66
389,28140,31888,4740,2
390,28140,33150,4740,28
391,28140,33549,4740,42
392,28140,32596,4740,44
393,28140,30605,4740,89
394,28140,31871,4740,1
395,28140,31356,4740,65
396,28140,31290,4740,64
397,28140,30597,4740,88
398,28140,31514,4740,17
399,28140,32297,4740,24
400,28140,31289,4740,67
401,28140,32219,3960,52
402,28140,33208,4740,43
403,28140,32298,4740,45
404,28140,31081,4740,22
405,28140,32632,3960,53
406,28140,29592,4740,61
407,28200,33416,4800,90
408,28200,32447,4800,87
409,28200,34062,4800,29
410,28200,29530,4800,60
411,28200,31884,4800,91
412,28200,31509,4800,75
413,28200,32536,4800,86
414,28260,31532,4860,74
415,28440,33575,5040,4
416,28440,33531,5040,5
417,28500,35002,5100,49
418,28500,34352,5100,48
419,28620,31760,5220,7
420,28680,32561,5280,30
421,28740,32759,5340,32
422,28740,32640,5340,46
423,28740,32887,5340,27
424,28740,32799,5340,21
425,28740,33044,5340,56
426,28740,32947,3300,70
427,28740,33203,5340,20
428,28740,32791,5340,58
429,28740,31583,5220,72
430,28740,31187,5340,68
431,28740,33186,5280,55
432,28740,32808,5280,8
433,28740,32850,3540,77
434,28740,32314,5220,33
435,28740,32329,5340,11
436,28740,32515,5340,62
437,28740,32929,3540,71
438,28800,32695,5400,31
439,28800,32850,5400,26
440,28800,32384,5400,6
441,28800,31751,3600,79
442,28800,32922,5400,81
443,28800,31272,5400,69
444,28800,32687,3540,40
445,28800,32791,3600,76
446,28800,34126,5400,9
447,28800,33195,5400,59
448,28800,33754,5400,83
449,28800,33528,5400,82
450,28800,32907,5400,10
451,28800,31639,5280,73
452,28800,32546,1800,41
453,28860,32691,5460,63
454,28860,35663,5460,80
455,28860,32234,5460,16
456,28860,32800,5460,51
457,28860,32740,5460,47
458,28920,32436,5520,57
459,28980,33137,5580,24
460,29040,33045,5640,25
461,29040,32788,5640,2
462,29040,33496,5640,44
463,29040,32771,5640,1
464,29040,33198,5640,45
465,29040,35208,5640,85
466,29040,33216,5640,35
467,29040,33038,5640,54
468,29040,32190,5640,64
469,29100,32316,5700,65
470,29100,32474,5700,17
471,29100,32813,5700,50
472,29160,32857,5340,0
473,29160,32844,5760,91
474,29160,32901,5340,3
475,29160,34794,5760,84
476,29220,33900,5820,34
477,29220,34436,5820,90
478,29280,35627,5880,37
479,29340,34350,5940,28
480,29340,32274,5940,23
481,29340,34408,5940,43
482,29340,32281,5940,22
483,29340,35202,5940,29
484,29340,33770,5940,39
485,29340,35993,5940,36
486,29340,32492,5940,66
487,29340,34749,5940,42
488,29400,32549,6000,67
489,29400,33647,6000,87
490,29400,33736,6000,86
491,29400,32709,6000,75
492,29520,32713,4320,95
493,29520,32237,4320,97
494,29520,32148,4320,96
495,29640,34775,6240,4
496,29640,35492,6240,48
497,29640,33540,6240,46
498,29640,33747,6240,10
499,29640,34368,6240,82
500,29640,36142,6240,49
501,29640,33415,6240,62
502,29640,33471,6240,63
503,29640,34594,6240,83
504,29640,33829,4440,71
505,29640,33229,6240,11
506,29700,32653,3600,78
507,29700,34791,6300,5
508,29700,32543,6180,72
509,29700,33580,6300,47
510,29700,32539,6180,73
511,29700,33216,6300,57
512,29700,33907,4260,70
513,29760,33134,6360,16
514,29820,33715,6420,31
515,29880,34326,6420,55
516,29880,33152,6480,74
517,29940,33991,6540,58
518,29940,34097,6540,24
519,29940,34087,6540,27
520,29940,34062,6540,81
521,29940,33945,6540,25
522,29940,33671,6540,1
523,29940,34244,6540,56
524,29940,34098,6540,45
525,29940,34396,6540,44
526,29940,33688,6540,2
527,29940,33959,6540,32
528,29940,36108,6540,85
529,29940,33990,6540,26
530,29940,34116,6540,35
531,29940,35266,6540,9
532,29940,33090,6540,64
533,29940,34335,6540,59
534,30000,33374,6600,17
535,30000,33216,6600,65
536,30000,33574,6480,33
537,30000,34189,4800,71
538,30000,34068,6540,8
539,30060,34252,6600,38
540,30120,34800,6720,34
541,30120,34118,6720,54
542,30120,36923,6720,80
543,30180,34061,6780,30
544,30360,35576,6960,90
545,30420,36054,7020,84
546,30480,34164,7080,91
547,30540,35003,7140,20
548,30540,35608,7140,43
549,30540,34124,7140,6
550,30540,34281,5340,93
551,30540,33692,7140,66
552,30540,35949,7140,42
553,30540,34599,7140,21
554,30540,35550,7140,28
555,30540,33481,7140,22
556,30540,35032,6360,53
557,30540,34315,7140,62
558,30540,34619,6360,52
559,30540,34129,7140,11
560,30540,33812,7140,74
561,30540,34480,7140,51
562,30540,34647,7140,10
563,30600,33749,7200,67
564,30600,33439,7080,73
565,30600,35554,7200,83
566,30600,33443,7080,72
567,30600,34500,7200,46
568,30600,33974,7200,16
569,30600,33057,7200,88
570,30600,35328,7200,82
571,30600,33534,7200,23
572,30600,34431,7200,63
573,30600,33909,7200,75
574,30600,34311,5400,92
575,30600,33777,0,94
576,30600,33047,7200,68
577,30600,34313,7200,50
578,30600,33072,7200,69
579,30600,34936,7200,86
580,30600,33065,7200,89
581,30660,34907,7260,87
582,30660,36522,7260,29
583,30660,34540,7260,47
584,30660,35106,7200,55
585,30660,33800,7260,7
586,30840,35931,7440,5
587,30840,35296,7440,44
588,30840,35975,7440,4
589,30840,34998,7440,45
590,30840,34214,7440,17
591,30840,35047,5400,70
592,30840,35029,5640,71
593,30900,34597,7080,0
594,30900,34641,7080,3
595,30900,34631,7500,1
596,30900,34648,7500,2
597,30960,33588,5760,96
598,30960,33677,5760,97
599,30960,34153,5760,95
600,31080,35148,7620,8
601,31080,34454,7680,16
602,31080,35131,7680,58
