new_index,s_time,e_time,delta_time,old_index
0,19800,23385,0,91
1,21000,23840,0,123
2,21000,23964,0,174
3,21000,23899,0,73
4,21000,23668,0,99
5,21000,23776,0,74
6,21000,23671,0,98
7,21000,24767,0,134
8,21000,24002,0,122
9,21000,24391,0,135
10,21000,25428,0,181
11,21000,25414,0,180
12,21000,23054,0,130
13,21000,23535,0,50
14,21000,24485,0,90
15,21000,25097,0,203
16,21000,25083,0,202
17,21060,25620,0,104
18,21060,25346,0,105
19,21060,23194,0,131
20,21060,23596,0,49
21,21120,23957,0,175
22,21420,25879,0,103
23,21420,25980,360,104
24,21420,25706,360,105
25,21420,25980,0,106
26,21540,25954,540,180
27,21600,23534,0,189
28,21600,23454,0,187
29,21600,24687,0,54
30,21600,25045,0,38
31,21600,24517,0,62
32,21600,24851,0,125
33,21600,25119,0,51
34,21600,26695,0,117
35,21600,24514,0,68
36,21600,23943,0,195
37,21600,26829,0,20
38,21600,25103,0,89
39,21600,26536,0,21
40,21600,23823,0,48
41,21600,26543,0,22
42,21600,26028,600,181
43,21600,26498,0,23
44,21600,26045,0,85
45,21600,24624,0,100
46,21600,25683,600,202
47,21600,26046,0,84
48,21600,24562,0,127
49,21600,25697,600,203
50,21600,25692,0,119
51,21600,24655,0,65
52,21600,23596,0,138
53,21600,23511,0,139
54,21600,24745,0,66
55,21660,24664,0,88
56,21660,25101,0,39
57,21840,24680,840,123
58,21900,24902,900,122
59,21900,26359,480,103
60,21900,24676,900,74
61,21900,24799,900,73
62,21900,26460,480,106
63,21960,26520,900,104
64,21960,26246,900,105
65,22140,26554,1140,180
66,22200,25245,0,151
67,22200,26645,600,85
68,22200,24817,0,156
69,22200,24888,0,63
70,22200,24722,0,64
71,22200,26283,1200,202
72,22200,25099,0,191
73,22200,25591,1200,135
74,22200,25089,0,121
75,22200,25210,0,150
76,22200,25759,0,52
77,22200,26297,1200,203
78,22200,26773,0,165
79,22200,25105,0,120
80,22200,25386,0,167
81,22200,25147,0,166
82,22200,24992,0,190
83,22200,25426,0,146
84,22200,24434,0,19
85,22200,25496,0,163
86,22200,24929,0,162
87,22200,25440,0,192
88,22200,25033,0,147
89,22200,27552,0,170
90,22200,24871,0,193
91,22200,24649,0,77
92,22200,25323,0,179
93,22200,23972,0,173
94,22200,24031,0,186
95,22200,24107,0,172
96,22200,24171,0,161
97,22200,26003,0,141
98,22200,24032,0,159
99,22200,24070,0,158
100,22200,26146,0,140
101,22200,25164,1200,174
102,22200,27411,0,171
103,22200,25455,0,110
104,22200,24526,0,78
105,22200,24147,0,188
106,22200,24254,1200,130
107,22200,24441,0,47
108,22260,24908,0,194
109,22260,24795,1260,50
110,22260,24796,1200,49
111,22260,26755,0,164
112,22260,26820,840,106
113,22260,26719,840,103
114,22260,25947,0,118
115,22260,26706,660,84
116,22260,26688,1260,181
117,22260,25743,0,41
118,22320,25157,1200,175
