new_index,s_time,e_time,delta_time,old_index
0,17400,19491,0,303
1,18000,20722,0,144
2,18000,20860,0,212
3,18000,22638,0,62
4,18000,21036,0,258
5,18060,20201,0,223
6,18540,20631,1140,303
7,18720,21442,720,144
8,18720,21756,720,258
9,18720,20861,660,223
10,18900,21760,900,212
11,19260,22215,0,291
12,19440,22476,1440,258
13,19500,21641,1440,223
14,19500,21591,2100,303
15,19560,22630,0,302
16,19560,22282,1560,144
17,19800,22522,1800,144
18,19800,22660,1800,212
19,19800,23319,0,190
20,19800,23219,0,105
21,19800,21803,0,311
22,19800,22806,0,239
23,19800,23245,0,54
24,19800,23741,0,274
25,19800,21984,0,257
26,19800,23368,0,201
27,19800,21642,0,319
28,19800,22478,0,236
29,19800,23048,0,148
30,19800,21189,0,295
31,19800,22828,0,275
32,19800,23412,0,244
33,19800,25553,0,443
34,19800,23571,0,202
35,19860,22774,0,156
36,19860,22815,600,291
37,19860,25074,0,442
38,19920,25224,0,447
39,19920,21891,0,168
40,20160,23196,2160,258
41,20220,22361,2160,223
42,20220,22690,0,222
43,20280,22935,0,211
44,20280,23002,2280,144
45,20400,23296,0,282
46,20400,23769,0,145
47,20400,22491,3000,303
48,20400,24259,0,299
49,20400,22906,0,174
50,20400,23693,0,84
51,20400,23743,0,373
52,20400,24290,0,387
53,20460,23138,660,236
54,20460,23530,900,302
55,20520,22704,720,257
56,20520,22990,300,222
57,20520,24088,720,201
58,20580,22583,780,311
59,20580,23535,1320,291
60,20640,24159,840,190
61,20640,23646,840,239
62,20700,22089,900,295
63,20700,24312,900,244
64,20700,24145,900,54
65,20700,23728,900,275
66,20700,24119,900,105
67,20700,23614,840,156
68,20760,23620,2760,212
69,20760,26405,0,338
70,20820,24019,0,304
71,20820,23475,540,211
72,20880,23602,2880,144
73,20880,23021,2820,223
74,20880,23916,2880,258
75,20940,24188,1140,148
76,20940,23031,3540,303
77,21000,23015,0,318
78,21060,26813,1260,443
79,21060,24350,0,119
80,21060,24122,0,259
81,21120,24489,720,145
82,21120,22962,1320,319
83,21120,23091,1200,168
84,21180,23858,1380,236
85,21180,24748,1380,201
86,21180,24135,1920,291
87,21180,26394,1320,442
88,21240,23746,840,174
89,21240,24136,840,282
90,21240,23243,1440,311
91,21240,24583,840,373
92,21240,24533,840,84
93,21300,28641,0,213
94,21300,22640,0,294
95,21300,30679,0,215
96,21300,23484,1500,257
97,21300,30679,0,215
98,21300,25190,900,387
99,21300,25241,1500,274
100,21360,23855,0,289
101,21360,24430,1800,302
102,21480,23621,3420,223
103,21480,24999,1680,190
104,21480,24202,3480,144
105,21540,25152,1740,244
106,21540,24739,720,304
107,21540,24959,1740,105
108,21540,23631,4140,303
109,21540,24568,1740,275
110,21600,24785,0,185
111,21600,24712,0,431
112,21600,24394,0,108
113,21600,25805,0,454
114,21600,25219,0,226
115,21600,23948,0,418
116,21600,24391,0,337
117,21600,23403,0,308
118,21600,22738,0,355
119,21600,23909,0,134
120,21600,24261,0,235
121,21600,24514,1740,156
122,21600,23710,0,430
123,21600,24653,0,394
124,21600,24565,0,218
125,21600,25634,0,324
126,21600,24343,0,392
127,21600,23862,0,187
128,21600,24636,3600,258
129,21600,24917,0,130
130,21600,25402,0,153
131,21600,24939,0,131
132,21600,24714,0,183
133,21600,23890,0,116
134,21600,23887,0,117
135,21600,24351,0,150
136,21600,24325,0,270
137,21600,23917,0,194
138,21600,24599,0,276
139,21600,24540,0,139
140,21600,24282,0,208
141,21600,23566,0,316
142,21600,24332,0,391
143,21600,26419,0,40
144,21600,24715,0,219
145,21600,24252,0,90
146,21600,24992,0,195
147,21600,24127,0,397
148,21600,24072,0,267
149,21600,24479,0,398
150,21600,25736,0,245
151,21600,24267,0,301
152,21600,24138,0,163
153,21600,23468,0,169
154,21600,24172,0,160
155,21600,25274,0,439
156,21600,24348,0,473
157,21600,24466,0,445
158,21600,25459,1200,299
159,21600,23246,0,335
160,21600,24314,0,83
161,21600,26501,0,341
162,21600,24851,0,403
163,21600,25518,0,252
164,21600,26534,0,51
165,21600,24622,0,435
166,21600,24023,0,367
167,21600,24536,0,459
168,21600,24638,0,192
169,21600,23154,0,389
170,21600,24606,1800,239
171,21600,25209,0,407
172,21600,25045,1800,54
173,21600,23930,0,376
174,21600,24423,0,248
175,21600,25284,0,268
176,21600,23857,0,229
177,21600,23710,0,385
178,21600,24630,0,230
179,21600,25364,0,56
180,21600,25650,0,247
181,21600,25436,0,52
182,21600,24880,0,115
183,21600,22989,1800,295
184,21600,23279,0,204
185,21600,26547,0,281
186,21600,26538,0,307
187,21600,26244,0,280
188,21600,27591,0,446
189,21660,25734,0,251
190,21660,25568,0,322
191,21660,25250,0,408
192,21660,24129,0,94
193,21660,25557,0,197
194,21660,24808,0,405
195,21660,25070,0,471
196,21660,24722,600,259
197,21660,25211,0,361
198,21660,24950,600,119
199,21660,25067,0,382
200,21660,24311,0,106
201,21660,22889,0,92
202,21660,24733,0,420
203,21660,23574,0,146
204,21660,23864,0,365
205,21660,27685,0,285
206,21660,26806,0,351
207,21660,23752,0,374
208,21660,23650,0,368
209,21660,23152,0,203
210,21660,24180,0,121
211,21660,25044,0,362
212,21660,24964,0,77
213,21660,24792,0,79
214,21660,25387,0,103
215,21660,23950,0,260
216,21660,24312,0,380
217,21660,26632,0,42
218,21660,23420,0,67
219,21660,26964,1740,447
220,21660,24664,0,164
221,21660,26105,0,41
222,21660,24476,0,241
223,21660,24939,0,96
224,21660,23860,0,221
225,21660,24581,0,242
226,21660,25523,0,359
227,21660,25405,0,399
228,21660,24205,0,400
229,21660,25326,0,73
230,21660,23798,0,425
231,21660,23219,0,232
232,21660,25072,0,39
233,21660,24970,0,378
234,21660,23889,0,332
235,21660,24027,0,331
236,21660,23418,0,137
237,21660,25864,0,296
238,21660,23969,0,225
239,21660,24647,0,199
240,21660,23073,0,421
241,21660,25624,0,426
242,21660,26677,0,345
243,21660,23068,0,436
244,21660,27625,0,293
245,21660,24776,0,433
246,21720,26286,0,99
247,21720,23340,0,314
248,21720,24792,0,179
249,21720,26237,0,306
250,21720,26111,0,344
251,21720,24190,1500,222
252,21720,23842,0,176
253,21720,24883,0,142
254,21720,23851,0,371
