new_index,s_time,e_time,delta_time,old_index
0,0,6893,0,12
1,0,6639,0,13
2,3480,10119,3480,13
3,3480,10373,3480,12
4,6960,13853,6960,12
5,6960,13599,6960,13
6,10440,17333,10440,12
7,10440,17079,10440,13
8,13920,20559,13920,13
9,13920,20813,13920,12
10,17400,24293,17400,12
11,17400,24039,17400,13
12,20400,24587,0,116
13,20400,32636,0,49
14,20880,27773,20880,12
15,20880,27519,20880,13
16,21000,24782,0,129
17,21000,24167,0,161
18,21300,24212,0,156
19,21600,24972,0,118
20,21600,27946,0,109
21,21600,24218,0,138
22,21600,30573,0,74
23,21600,26673,0,112
24,21600,25382,600,129
25,21600,32150,0,71
26,21600,31916,0,72
27,21600,24767,600,161
28,21600,30068,0,58
29,21600,31259,0,5
30,21600,33513,0,54
31,21600,24437,0,282
32,21600,25765,0,104
33,21600,26890,0,10
34,21600,28927,0,4
35,21600,24858,0,270
36,21600,25279,0,281
37,21600,32959,0,92
38,21600,25096,0,261
39,21600,29592,0,36
40,21600,31927,0,31
41,21600,28419,0,105
42,21600,25944,0,175
43,21600,25812,0,133
44,21600,31134,0,102
45,21600,33135,0,91
46,21600,24704,0,271
47,21600,24702,0,151
48,21600,24514,0,272
49,21600,23973,0,188
50,21600,24853,0,262
51,21600,27884,0,15
52,21600,24494,0,185
53,21600,24075,0,187
54,21600,28780,0,8
55,21600,26154,0,108
56,21600,30591,0,14
57,21660,25953,0,198
58,21720,24338,120,138
59,21840,25775,0,204
60,21900,27212,0,98
61,21900,26244,300,175
62,21960,26172,360,133
63,22020,24638,420,138
64,22200,25112,900,156
65,22200,26294,0,142
66,22200,24783,0,191
67,22200,25243,0,276
68,22200,25238,0,275
69,22200,25302,600,151
70,22200,26606,0,178
71,22200,26284,0,206
72,22200,25161,0,251
73,22200,25375,0,252
74,22260,26195,420,204
75,22260,26814,660,108
76,22260,25427,1260,161
77,22260,25226,0,181
78,22320,24938,720,138
79,22320,24940,0,137
80,22380,26592,780,133
81,22380,26724,780,175
82,22440,27752,540,98
83,22500,32479,0,51
84,22500,25238,0,123
85,22500,29910,0,211
86,22500,26282,1500,129
87,22560,25932,960,118
88,22560,25454,960,185
89,22560,26495,720,204
90,22620,25787,1620,161
91,22680,25782,1080,151
92,22680,27024,1080,175
93,22740,30150,240,211
94,22740,27033,1080,198
95,22740,25358,1140,138
96,22740,26675,900,204
97,22800,27183,0,143
98,22800,25850,0,269
99,22800,25845,0,167
100,22800,26593,0,158
101,22800,26171,0,183
102,22800,27354,1200,108
103,22800,26449,0,230
104,22800,26239,0,240
105,22800,26115,0,238
106,22800,25779,0,180
107,22800,25766,540,181
108,22800,26980,0,131
109,22800,25536,0,146
110,22800,33127,1200,31
111,22800,27443,0,172
112,22800,26500,0,229
113,22800,30127,1200,4
114,22800,29469,0,89
115,22800,33651,0,32
116,22800,26974,0,134
117,22800,32459,1200,5
118,22860,26027,1860,161
119,22860,25480,540,137
120,22860,29983,0,212
121,22860,25835,0,190
122,22860,25949,0,170
123,22860,25153,0,182
124,22860,26027,0,169
125,22860,26036,0,150
126,22860,27302,0,176
127,22860,26770,0,121
128,23040,25658,1440,138
129,23040,27252,1440,133
130,23100,27444,1500,175
131,23100,29447,0,110
132,23100,28412,1200,98
133,23100,25720,780,137
134,23160,27948,0,171
135,23160,27254,960,142
136,23160,27095,1320,204
137,23220,27750,0,200
138,23220,27013,420,158
139,23220,25838,1620,138
140,23400,26608,0,152
141,23400,26097,0,179
142,23400,26139,0,124
143,23400,34166,0,43
144,23400,26138,900,123
145,23400,24789,0,245
146,23400,30810,900,211
147,23400,33740,0,16
148,23400,30909,0,9
