new_index,s_time,e_time,delta_time,old_index
0,19800,22536,0,128
1,19800,22367,0,134
2,20280,22847,480,134
3,20340,23076,540,128
4,20400,23242,0,89
5,20700,23436,900,128
6,20760,23327,960,134
7,20820,23662,420,89
8,21000,26575,0,54
9,21000,23796,0,82
10,21000,23517,0,131
11,21000,27338,0,53
12,21240,23807,1440,134
13,21240,23976,1440,128
14,21300,24142,900,89
15,21540,24336,540,82
16,21600,27938,600,53
17,21600,26916,0,102
18,21600,23973,0,44
19,21600,22968,0,142
20,21600,24697,0,29
21,21600,24290,0,139
22,21600,21802,0,57
23,21600,27263,0,152
24,21600,24043,0,125
25,21600,27859,0,78
26,21600,23767,0,95
27,21600,27859,0,79
28,21600,24248,0,85
29,21600,26952,0,101
30,21600,24483,0,141
31,21600,27248,0,151
32,21600,23505,0,145
33,21600,24077,0,30
34,21600,21809,0,58
35,21600,27175,600,54
36,21600,23255,0,146
37,21600,24282,0,108
38,21660,24356,0,100
39,21660,24515,0,105
40,21720,24768,0,87
41,21720,24456,1920,128
42,21720,23547,0,22
43,21720,24237,720,131
44,21780,24337,0,129
45,21780,24347,1980,134
46,21780,24622,1380,89
47,21900,25315,0,52
48,22020,25068,300,87
49,22020,24816,1020,82
50,22140,24307,540,95
51,22140,24830,540,139
52,22200,24105,600,145
53,22200,27775,1200,54
54,22200,23855,600,146
55,22200,28538,1200,53
56,22200,27552,600,101
57,22200,24936,2400,128
58,22200,24573,600,44
59,22200,25297,600,29
60,22200,24767,2400,134
61,22200,25615,300,52
62,22200,27516,600,102
63,22200,24027,480,22
64,22200,24882,600,108
65,22260,24956,600,100
66,22260,25102,1860,89
67,22260,24817,480,129
68,22320,24797,720,30
69,22320,24763,720,125
70,22440,24957,1440,131
71,22500,25296,1500,82
72,22500,25548,780,87
73,22500,25031,0,90
74,22500,25383,900,141
75,22500,23794,0,143
76,22620,25187,2820,134
77,22620,25302,1020,108
78,22680,24507,960,22
79,22680,24335,1080,146
80,22740,25582,2340,89
81,22740,25297,960,129
