new_index,s_time,e_time,delta_time,old_index
0,18900,22374,0,32
1,19200,23781,0,11
2,19200,22721,0,100
3,19560,21524,0,39
4,19560,23761,0,37
5,19740,22478,0,55
6,19800,24526,0,92
7,19800,23274,900,32
8,19800,23991,0,80
9,19800,23825,0,17
10,19800,24809,0,31
11,19920,24724,0,69
12,20340,23861,1140,100
13,20400,24166,0,40
14,20400,24341,0,177
15,20400,23654,0,7
16,20400,24882,0,41
17,20400,23255,0,161
18,20460,24840,0,28
19,20700,28541,0,176
20,20700,24174,1800,32
21,20700,25709,900,31
22,20700,24725,900,17
23,21000,25726,1200,92
24,21000,25283,0,70
25,21000,23532,0,42
26,21000,24483,0,27
27,21000,25745,0,88
28,21000,24544,0,24
29,21000,24357,0,163
30,21000,24272,0,26
31,21000,24626,0,23
32,21000,23925,0,67
33,21000,25636,0,5
34,21000,25581,1800,11
35,21120,26669,0,138
36,21300,25545,0,102
37,21300,26104,1380,69
38,21300,25501,1740,37
39,21540,25731,1740,80
40,21600,24887,0,142
41,21600,26156,0,66
42,21600,25061,0,52
43,21600,24843,0,86
44,21600,26461,0,30
45,21600,24529,0,127
46,21600,24954,0,125
47,21600,27037,0,170
48,21600,24244,0,139
49,21600,26892,0,94
50,21600,26609,1800,31
51,21600,24717,0,50
52,21600,28129,0,171
53,21600,24799,0,126
54,21600,24931,0,59
55,21600,24706,0,128
56,21600,24074,0,56
57,21600,25324,0,38
58,21600,25625,1800,17
59,21600,26519,0,36
60,21600,24338,1860,55
61,21600,24332,0,45
62,21600,24496,0,85
63,21600,26082,1200,41
64,21600,26696,0,95
65,21600,25573,0,116
66,21600,26338,0,65
67,21600,26125,0,96
68,21600,24575,0,148
69,21600,26806,0,89
70,21600,25576,0,152
71,21600,25270,0,87
72,21600,25121,2400,100
73,21600,26122,0,29
74,21600,24587,0,44
75,21600,24203,0,43
76,21600,26150,0,51
77,21600,25541,1200,177
78,21600,25224,0,8
79,21600,25598,0,178
80,21600,24314,0,159
81,21600,26008,0,9
82,21600,24754,0,147
83,21600,25991,0,165
84,21600,23970,0,15
85,21600,26345,600,88
86,21600,26543,0,97
87,21600,24690,0,141
88,21660,26060,0,49
