new_index,s_time,e_time,delta_time,old_index
0,0,3494,0,464
1,0,1965,0,535
2,0,2006,0,534
3,0,1299,0,515
4,0,1376,0,514
5,0,3107,0,465
6,7200,8499,7200,515
7,7200,8576,7200,514
8,14400,18540,0,805
9,14400,18527,0,804
10,16200,21802,0,55
11,16200,20327,1800,804
12,16200,20340,1800,805
13,16800,22584,0,61
14,16800,19470,0,68
15,16800,21686,0,63
16,17400,20856,0,118
17,17400,22020,0,724
18,17400,22709,0,19
19,17400,20036,0,731
20,17400,21736,0,38
21,17400,22690,0,17
22,17640,21468,0,117
23,17700,22052,0,247
24,17820,18821,0,644
25,17940,21433,0,49
26,17940,19441,0,34
27,17940,23724,1140,61
28,17940,21519,0,121
29,18000,20844,0,430
30,18000,20883,0,766
31,18000,22223,0,519
32,18000,20143,0,452
33,18000,20398,0,722
34,18000,20227,0,453
35,18000,22962,0,582
36,18000,22491,0,70
37,18000,21902,0,429
38,18000,22080,0,581
39,18000,20106,0,609
40,18000,22140,3600,805
41,18000,21831,0,293
42,18000,22301,0,500
43,18000,20711,0,663
44,18000,19731,0,543
45,18000,19982,0,567
46,18000,22087,0,672
47,18000,22127,3600,804
48,18000,21456,600,118
49,18000,19927,0,517
50,18000,21446,0,391
51,18000,19451,0,624
52,18060,22650,0,496
53,18060,22762,0,298
54,18120,21608,0,659
55,18180,20408,0,529
56,18180,22532,480,247
57,18240,23530,840,17
58,18240,22068,600,117
59,18240,23549,840,19
60,18300,22636,900,38
61,18420,20526,420,609
62,18480,24362,0,628
63,18480,22560,480,581
64,18540,22841,540,500
65,18540,21986,540,391
66,18540,22028,420,659
67,18540,22915,0,639
68,18540,23502,540,582
69,18540,22892,840,247
70,18600,20544,0,528
71,18600,24202,2400,55
72,18600,22134,0,690
73,18600,20827,600,453
74,18600,21270,1800,68
75,18600,25869,0,307
76,18600,21311,600,663
77,18600,20527,600,517
78,18600,23143,0,346
79,18600,21098,0,477
80,18600,21124,0,480
81,18600,25088,0,754
82,18600,22431,600,293
83,18660,23250,600,496
84,18840,22646,0,601
85,18840,22419,900,121
86,18840,20822,840,567
87,18900,20631,900,543
88,18900,21006,900,609
89,18900,23777,0,222
90,18900,25198,0,285
91,18900,23786,2100,63
92,18900,24182,0,163
93,18900,24337,0,414
94,18900,22356,1500,118
95,18960,23040,960,581
96,18960,23312,1260,247
97,19020,22872,0,780
98,19080,21186,1080,609
99,19080,20700,0,623
100,19140,23842,1080,298
101,19140,22743,0,241
102,19140,23476,1740,38
103,19140,23441,1140,500
104,19140,23515,600,639
105,19140,23748,0,598
106,19140,23310,0,606
107,19140,22586,1140,391
108,19140,24924,2340,61
109,19140,22968,1500,117
110,19140,22674,540,690
111,19200,21911,1200,663
112,19200,24406,0,276
113,19200,21227,0,682
114,19200,24162,1200,582
115,19200,24292,0,275
116,19200,21724,600,480
117,19200,22688,1080,659
118,19200,23423,1200,519
119,19200,21144,600,528
120,19200,26605,0,306
121,19200,23425,0,638
122,19200,21127,1200,517
123,19200,21698,600,477
124,19260,24542,360,163
125,19260,21287,60,682
126,19260,23091,1260,293
127,19320,23672,1620,247
128,19320,21548,1140,529
129,19320,24197,420,222
130,19380,21000,300,623
131,19380,23970,1320,496
132,19440,23520,1440,581
133,19440,23931,1440,70
134,19440,23269,0,778
135,19440,26709,840,307
136,19500,23034,900,690
137,19500,25382,1020,628
138,19620,24865,0,586
139,19680,23259,1740,121
140,19680,24407,0,587
141,19680,24032,1980,247
142,19680,21396,0,398
143,19740,25022,840,163
144,19740,24702,1740,582
145,19740,24603,0,314
146,19740,23196,2340,118
147,19740,24120,0,494
148,19740,23343,600,241
149,19740,24617,840,222
150,19740,25886,0,403
151,19800,25637,0,237
152,19800,26266,0,238
153,19800,24870,0,233
154,19800,24101,1800,500
155,19800,23649,0,568
156,19800,26047,0,627
157,19800,24306,0,326
158,19800,24125,0,294
159,19800,24367,0,327
160,19800,24332,0,553
161,19800,24359,0,279
162,19800,21875,0,538
163,19800,21773,0,539
164,19800,23376,0,10
165,19800,24021,0,179
166,19800,25440,0,450
167,19800,23677,0,483
168,19800,23098,0,676
169,19800,22724,0,612
170,19800,23211,0,655
171,19800,21744,1200,528
172,19800,22668,0,611
173,19800,21251,1800,624
174,19800,24572,0,497
175,19800,24218,0,371
176,19800,26209,0,172
177,19800,24829,0,459
178,19800,24549,0,219
179,19800,23090,0,123
180,19800,24197,0,304
181,19800,24213,0,315
182,19800,24138,0,441
183,19800,23606,960,601
184,19800,24339,0,220
185,19800,23992,0,305
186,19800,24877,0,442
187,19800,24490,0,280
188,19800,22552,0,664
189,19800,21827,600,682
190,19800,24801,0,277
191,19800,23882,0,732
192,19800,22890,0,577
193,19800,22950,0,575
194,19800,22566,0,574
195,19800,26903,0,755
196,19800,25573,0,357
197,19800,21768,0,14
198,19800,25244,0,358
199,19800,23917,0,289
200,19800,24686,3000,63
201,19800,24527,0,290
202,19800,22621,0,292
203,19800,23972,0,721
204,19800,23864,0,599
205,19800,25287,0,385
206,19800,20704,0,548
207,19800,25237,900,414
208,19800,23899,0,405
209,19800,24888,0,595
210,19800,24704,0,384
211,19800,22295,0,565
212,19800,24012,0,187
213,19800,23427,0,3
214,19800,22739,0,770
215,19800,24125,0,223
216,19800,23917,0,71
217,19800,24474,0,583
218,19800,25326,0,415
219,19800,24039,0,552
220,19800,22243,0,723
221,19800,24609,0,278
222,19800,23004,0,660
223,19800,26401,0,550
224,19800,25387,0,551
225,19800,23887,1800,672
226,19800,23435,0,308
227,19800,21782,1800,567
228,19800,21565,0,167
229,19800,25911,0,171
230,19800,24660,0,331
231,19800,24827,0,330
232,19800,22730,0,255
233,19800,23320,0,425
234,19800,22583,0,669
235,19800,24015,0,236
236,19800,22511,1800,663
237,19800,21531,1800,543
238,19800,22202,0,542
239,19800,25109,2400,19
240,19800,25301,0,319
241,19800,23631,1800,293
242,19800,25946,60,403
243,19800,24175,1260,639
244,19800,25545,0,417
245,19800,23930,0,647
246,19800,22516,0,69
247,19800,24414,0,622
248,19800,23136,0,727
249,19800,22723,0,488
250,19800,25090,2400,17
251,19800,24215,0,139
252,19800,22075,0,610
253,19800,24507,0,234
254,19800,22738,0,134
255,19800,21727,1800,517
256,19800,23664,0,580
257,19800,21950,0,516
258,19860,26462,0,437
259,19860,21841,0,658
260,19860,20861,2040,644
261,19860,24151,0,311
262,19860,21966,1860,609
263,19860,23825,0,646
264,19860,21480,780,623
265,19920,24000,1920,581
266,19920,25956,0,67
267,19920,26218,1020,285
268,19920,21835,0,566
269,19920,23408,1800,659
270,19980,23808,2340,117
271,19980,23440,0,677
272,19980,24332,2280,247
273,19980,26227,180,627
274,20040,26528,1440,754
275,20040,25922,1560,628
276,20100,22595,300,565
277,20100,22799,0,762
278,20100,24189,0,411
279,20100,23250,300,575
280,20100,24591,2100,70
281,20100,24690,2040,496
