new_index,s_time,e_time,delta_time,old_index
0,18000,20100,0,17
1,18000,20503,0,16
2,18240,20340,240,17
3,18240,20743,240,16
4,18480,20580,480,17
5,18480,20983,480,16
6,18720,20820,720,17
7,18720,21223,720,16
8,18960,21060,960,17
9,18960,21463,960,16
10,19200,21703,1200,16
11,19200,21300,1200,17
12,19440,21540,1440,17
13,19440,21943,1440,16
14,19680,21780,1680,17
15,19680,22183,1680,16
16,19800,24203,0,1
17,19800,23099,0,0
18,19800,21900,1800,17
19,19800,22303,1800,16
20,19920,22020,1920,17
21,19920,22423,1920,16
22,20040,22140,2040,17
23,20040,22543,2040,16
24,20160,22663,2160,16
25,20160,22260,2160,17
26,20280,22380,2280,17
27,20280,22783,2280,16
28,20400,22903,2400,16
29,20400,22500,2400,17
30,20520,23023,2520,16
31,20520,22620,2520,17
32,20640,23143,2640,16
33,20640,22740,2640,17
34,20760,23263,2760,16
35,20760,22860,2760,17
36,20880,22980,2880,17
37,20880,23383,2880,16
38,21000,23503,3000,16
39,21000,23100,3000,17
40,21120,23623,3120,16
41,21120,23220,3120,17
42,21240,23743,3240,16
43,21240,23340,3240,17
44,21300,25703,1500,1
45,21300,23243,0,15
46,21300,24599,1500,0
47,21360,23460,3360,17
48,21360,23863,3360,16
49,21480,23983,3480,16
50,21480,23580,3480,17
51,21600,23579,0,73
52,21600,23447,0,72
53,21600,24136,0,52
54,21600,23243,0,30
55,21600,24456,0,56
56,21600,23622,0,38
57,21600,24049,0,53
58,21600,24103,3600,16
59,21600,23700,3600,17
60,21600,23435,0,31
61,21660,23750,0,39
62,21720,23820,3720,17
63,21720,24223,3720,16
64,21720,23834,0,61
65,21780,23675,0,40
66,21840,24343,3840,16
67,21840,23940,3840,17
68,21900,23776,0,35
69,21960,24463,3960,16
70,21960,24060,3960,17
71,22080,24180,4080,17
72,22080,23915,480,31
73,22080,23723,480,30
74,22080,23927,480,72
75,22080,24583,4080,16
76,22080,24059,480,73
77,22200,24703,4200,16
78,22200,24300,4200,17
79,22200,24292,0,9
80,22260,24709,660,53
81,22260,24363,0,8
82,22260,24350,600,39
83,22320,24856,720,52
84,22320,25176,720,56
85,22320,24420,4320,17
86,22320,24823,4320,16
87,22440,24540,4440,17
88,22440,24943,4440,16
89,22560,24660,4560,17
90,22560,24539,960,73
91,22560,24395,960,31
92,22560,25063,4560,16
93,22560,24407,960,72
94,22560,24203,960,30
95,22680,24780,4680,17
96,22680,25183,4680,16
97,22680,24702,1080,38
98,22800,25340,0,4
99,22800,27203,3000,1
100,22800,24743,1500,15
101,22800,25246,0,43
102,22800,26099,3000,0
103,22800,24900,4800,17
104,22800,25392,0,70
105,22800,24843,0,42
106,22800,25084,0,22
107,22800,25261,0,23
108,22800,25303,4800,16
109,22800,26937,0,3
110,22920,25020,4920,17
111,22920,25423,4920,16
112,22980,25070,1320,39
113,22980,25094,1260,61
114,22980,25429,1380,53
115,22980,25516,1380,52
116,23040,24683,1440,30
117,23040,25896,1440,56
118,23040,24887,1440,72
119,23040,25140,5040,17
120,23040,25543,5040,16
121,23040,24875,1440,31
122,23040,25019,1440,73
123,23160,25260,5160,17
124,23160,25663,5160,16
125,23280,25380,5280,17
126,23280,25372,1080,9
127,23280,25783,5280,16
128,23400,25503,1140,8
129,23400,25918,0,6
130,23400,25856,0,7
131,23400,25997,0,67
132,23400,26057,0,37
133,23400,26533,0,10
134,23400,25555,0,50
135,23400,24827,0,63
136,23400,25302,0,65
137,23400,25286,0,64
138,23400,25394,0,58
139,23400,26594,0,28
140,23400,25417,0,14
141,23400,25720,0,13
142,23400,25500,5400,17
143,23400,26352,0,27
144,23400,26383,0,57
145,23400,25240,0,44
146,23400,25627,0,12
147,23400,25903,5400,16
148,23400,25276,1500,35
149,23400,27743,0,2
150,23460,26805,0,60
151,23460,26262,0,29
152,23460,26200,0,36
153,23460,25979,0,55
154,23460,24938,0,62
155,23460,26504,0,26
156,23460,25554,0,51
157,23460,25934,0,20
158,23460,25776,0,49
159,23460,26915,0,11
160,23520,24848,0,59
161,23520,25355,1920,31
162,23520,25163,1920,30
163,23520,26204,0,69
164,23520,25499,1920,73
165,23520,25367,1920,72
166,23520,25994,0,21
167,23520,26088,0,66
168,23520,26094,0,68
169,23520,26023,5520,16
170,23520,26475,0,71
171,23520,25635,0,48
172,23520,25620,5520,17
173,23580,27717,780,3
174,23580,26041,780,23
175,23640,25740,5640,17
176,23640,26143,5640,16
177,23640,25596,0,5
178,23700,26236,2100,52
179,23760,25850,2100,39
180,23760,25860,5760,17
181,23760,26616,2160,56
182,23760,26263,5760,16
183,23820,26269,2220,53
184,23880,25980,5880,17
185,23880,26383,5880,16
186,23880,25902,2280,38
187,23940,27134,540,28
188,23940,26892,540,27
189,23940,25934,540,58
190,23940,26054,2220,61
191,24000,26100,6000,17
192,24000,25979,2400,73
193,24000,25643,2400,30
194,24000,26518,600,6
195,24000,25902,600,65
196,24000,25847,2400,72
197,24000,25835,2400,31
198,24000,26503,6000,16
199,24000,26456,600,7
200,24120,26006,720,64
201,24120,27103,720,57
202,24120,26623,6120,16
203,24120,26220,6120,17
204,24120,28463,720,2
205,24180,26223,1380,42
206,24240,26524,1440,22
207,24240,26755,0,18
208,24240,26743,6240,16
209,24240,26395,840,50
210,24240,26340,6240,17
211,24300,26892,1500,70
212,24300,26600,0,34
213,24300,28703,4500,1
214,24300,26415,780,48
215,24300,27599,4500,0
216,24300,26243,3000,15
217,24360,27493,960,10
218,24360,26454,900,51
219,24360,28497,1560,3
220,24360,26863,6360,16
221,24360,26676,900,49
222,24360,27815,900,11
223,24360,26460,6360,17
224,24420,26510,2760,39
225,24420,26512,2220,9
226,24480,26929,2880,53
227,24480,26983,6480,16
228,24480,26123,2880,30
229,24480,27336,2880,56
230,24480,26315,2880,31
231,24480,27524,1020,26
232,24480,26327,2880,72
233,24480,26459,2880,73
234,24480,27282,1020,29
235,24480,27016,2880,52
236,24480,26580,6480,17
237,24540,25967,1140,63
238,24600,27174,1080,68
239,24600,26700,6600,17
240,24600,27555,1080,71
241,24600,27284,1080,69
242,24600,27552,1200,27
243,24600,27103,6600,16
244,24600,26502,1200,65
245,24600,27945,1140,60
246,24600,26440,1200,44
247,24600,27061,1800,23
248,24600,27794,1200,28
249,24600,26594,1200,58
250,24660,25988,1140,59
251,24660,26763,2400,8
252,24720,26820,6720,17
253,24720,26606,1320,64
254,24720,27223,6720,16
255,24720,26198,1260,62
256,24720,27238,1320,6
257,24780,27377,1380,67
258,24780,27236,1380,7
259,24840,27343,6840,16
260,24840,26940,6840,17
261,24840,27823,1440,57
262,24900,26917,1500,14
263,24960,27060,6960,17
264,24960,26939,3360,73
265,24960,27463,6960,16
266,24960,26795,3360,31
267,24960,26603,3360,30
268,24960,26807,3360,72
269,24960,27406,2160,43
270,24960,27528,1440,66
271,25080,27180,7080,17
272,25080,27616,3480,52
273,25080,27170,3420,39
274,25080,27583,7080,16
275,25080,29217,2280,3
276,25140,27589,3540,53
277,25140,27134,1740,58
278,25140,27456,1680,49
279,25200,27532,1800,50
280,25200,28336,1800,27
281,25200,27222,3600,38
282,25200,27810,0,46
283,25200,27959,7200,16
284,25200,28745,1800,28
285,25200,28439,3600,56
286,25200,27609,0,47
287,25200,27705,7200,17
288,25200,27102,1800,65
289,25200,27076,3300,35
290,25200,28055,0,74
291,25260,28257,1800,36
