new_index,s_time,e_time,delta_time,old_index
0,19800,23947,0,16
1,19800,23286,0,66
2,19800,21487,0,28
3,19800,25970,0,75
4,19800,24292,0,1
5,19800,22789,0,19
6,19800,23819,0,17
7,19800,24296,0,124
8,19800,24039,0,123
9,19800,25498,0,90
10,19800,22892,0,112
11,19800,26460,0,89
12,19800,25043,0,88
13,19800,22474,0,52
14,19800,25823,0,74
15,19860,23901,0,36
16,19860,25103,60,88
17,20040,22900,0,53
18,20100,24081,0,35
19,20160,25403,360,88
20,20160,24656,360,124
21,20280,25978,480,90
22,20280,26940,480,89
23,20340,26363,540,74
24,20340,24487,540,16
25,20400,23581,0,69
26,20400,24419,600,17
27,20400,24639,600,123
28,20400,23669,0,92
29,20460,22147,660,28
30,20460,22561,0,121
31,20460,23320,420,53
32,20460,24956,660,124
33,20520,25012,720,1
34,20520,26690,720,75
35,20580,23569,780,19
36,20640,27300,840,89
37,20640,26338,840,90
38,20700,24741,840,36
39,20700,23374,900,52
40,20700,23560,660,53
41,20700,25943,900,88
42,20820,25059,1020,123
43,20880,25376,1080,124
44,20940,23929,1140,19
45,20940,24426,1140,66
46,21000,26915,0,62
47,21000,25369,0,63
48,21000,25147,1200,16
49,21000,27023,1200,74
50,21000,22032,0,8
51,21000,23419,0,27
52,21000,25019,1200,17
53,21000,24981,900,35
54,21000,27170,1200,75
55,21060,26758,1260,90
56,21060,27720,1260,89
57,21060,25552,1260,1
58,21180,25676,1380,124
59,21240,25479,1440,123
60,21240,26483,1440,88
61,21360,24220,1320,53
62,21420,25461,1560,36
63,21480,25627,1680,16
64,21540,23641,1080,121
65,21540,26525,0,57
66,21540,25559,1740,17
67,21540,23532,0,98
68,21540,24529,1740,19
69,21540,24928,0,59
70,21540,28200,1740,89
71,21540,25581,1680,36
72,21540,27563,1740,74
73,21540,27238,1740,90
74,21600,26672,0,70
75,21600,22888,0,48
76,21600,24618,0,32
77,21600,23609,0,31
78,21600,25086,1800,66
79,21600,26092,1800,1
80,21600,25381,0,91
81,21600,24869,1200,92
82,21600,24739,0,96
83,21600,24274,1800,52
84,21600,26096,1800,124
85,21600,24347,0,18
