new_index,s_time,e_time,delta_time,old_index
0,18000,19654,0,37
1,18000,19598,0,36
2,18000,19998,0,34
3,18000,19984,0,28
4,18000,19792,0,35
5,19440,21038,1440,36
6,19440,21438,1440,34
7,19440,21094,1440,37
8,19440,21232,1440,35
9,19500,21484,1500,28
10,19500,20545,0,32
11,19800,21634,0,53
12,19800,21053,0,62
13,19800,21707,0,54
14,19800,22877,0,29
15,19800,21462,0,58
16,19800,20970,0,57
17,19800,21112,0,2
18,19860,22853,0,22
19,19860,22569,0,1
20,20400,21445,900,32
21,20580,21439,0,33
22,20580,22255,0,61
23,20640,21893,840,62
24,20640,23591,0,4
25,20700,23693,840,22
26,20700,22839,0,55
27,20700,23409,840,1
28,20760,22744,2760,28
29,20880,22534,2880,37
30,20880,22672,2880,35
31,20880,22192,1080,2
32,20880,22878,2880,34
33,20880,22478,2880,36
34,20880,23015,0,43
35,21000,23874,0,44
36,21000,23645,0,15
37,21060,24014,0,18
38,21240,22410,1440,57
39,21240,23074,1440,53
40,21240,22902,1440,58
41,21240,23147,1440,54
42,21300,22345,1800,32
43,21300,22966,0,26
44,21420,22673,1620,62
45,21480,24557,1680,29
46,21480,22339,900,33
47,21540,24249,1680,1
48,21540,24533,1680,22
49,21600,23868,0,3
50,21600,24352,0,23
51,21600,23275,1020,61
52,21600,23305,0,49
53,21600,24384,0,13
54,21600,23862,0,64
55,21600,22964,0,10
56,21600,24666,0,24
57,21660,24797,0,39
58,21780,23919,1080,55
59,21780,24542,0,31
60,21900,24851,1260,4
61,21960,23272,2160,2
62,21960,24914,900,18
63,22140,24849,2280,1
64,22140,24785,1140,15
65,22200,25216,0,0
66,22260,25012,660,23
67,22260,23513,2460,62
68,22320,24112,4320,35
69,22320,25194,1320,44
70,22320,25271,1680,4
71,22320,25313,2460,22
72,22320,23974,4320,37
73,22320,24318,4320,34
74,22320,23179,1740,33
75,22320,23918,4320,36
76,22380,24046,1080,26
77,22380,24590,0,56
78,22440,24115,1860,61
79,22440,25517,2640,29
80,22440,25456,240,0
81,22440,24575,1560,43
82,22440,25202,660,31
83,22500,25637,840,39
84,22500,25287,0,5
85,22500,25209,2640,1
86,22500,24395,0,27
87,22620,25686,1020,24
88,22680,24342,2880,58
89,22680,23850,2880,57
90,22680,24514,2880,53
91,22680,24948,1080,3
92,22680,24587,2880,54
93,22740,23785,3240,32
94,22740,24650,0,21
95,22740,25002,1140,64
96,22800,25514,0,14
97,22800,24505,1200,49
98,22800,25204,0,42
99,22860,25746,0,19
100,22920,24432,0,50
101,22920,24210,0,11
102,22920,25629,3060,1
103,22920,24284,1320,10
104,22980,25764,1380,13
105,22980,25119,2280,55
106,23100,25456,0,63
107,23100,26315,0,38
108,23160,25144,5160,28
109,23160,24975,0,20
110,23160,24205,3660,32
111,23220,26174,2160,18
112,23280,24955,2700,61
113,23280,26042,1500,31
114,23280,26032,1680,23
115,23340,24652,3540,2
116,23340,25006,2040,26
117,23340,26477,1680,39
118,23400,27182,0,30
119,23400,26274,2400,44
