new_index,s_time,e_time,delta_time,old_index
0,19800,23343,0,35
1,19800,23475,0,36
2,19800,20691,0,39
3,21300,25299,0,3
4,21480,24413,0,11
5,21600,24169,0,0
6,21600,24058,0,1
7,21600,25525,0,16
8,21600,25079,0,15
9,21600,24290,0,33
10,21600,24487,0,34
11,21600,23928,0,9
12,21600,24463,0,18
13,21600,23982,0,10
14,21600,24578,0,17
15,21600,24850,0,26
16,21600,25156,0,25
17,21600,23955,0,24
18,21600,23889,0,23
19,21600,24760,0,27
20,21600,25520,0,8
21,21600,25204,0,7
22,21600,24881,0,28
23,21600,23597,0,32
24,21600,23724,0,31
25,21600,24160,0,22
26,21600,24161,0,21
27,21600,24065,0,19
28,21600,25327,0,13
29,21600,25591,0,14
30,21600,24253,0,20
31,21600,24151,0,12
32,21780,24121,0,41
33,21780,24182,0,40
34,22260,25816,660,25
35,22260,25510,660,26
36,22920,26170,1320,26
37,22920,26476,1320,25
38,23400,27399,2100,3
39,23580,27136,1980,25
40,23580,26830,1980,26
41,23760,27303,3960,35
42,23760,27435,3960,36
43,23760,24651,3960,39
44,24240,27796,2640,25
45,24240,27490,2640,26
46,24900,28456,3300,25
47,24900,28150,3300,26
48,25200,28221,0,29
49,25200,29629,0,30
50,25200,29294,3900,3
51,25200,30315,0,37
52,25320,29107,0,4
53,25440,28373,3960,11
54,25560,28213,3960,20
55,25560,27915,3960,24
56,25560,29287,3960,13
57,25560,28810,3960,26
58,25560,28538,3960,17
59,25560,27849,3960,23
60,25560,29551,3960,14
61,25560,28720,3960,27
62,25560,28129,3960,0
63,25560,27942,3960,10
64,25560,29480,3960,8
65,25560,28121,3960,21
66,25560,29116,3960,25
67,25560,28120,3960,22
68,25560,27888,3960,9
69,25560,28423,3960,18
70,25560,27557,3960,32
71,25560,28250,3960,33
72,25560,28111,3960,12
73,25560,28018,3960,1
74,25560,29485,3960,16
75,25560,29039,3960,15
76,25560,29164,3960,7
77,25560,27684,3960,31
78,25560,28841,3960,28
79,25560,28025,3960,19
80,25560,28447,3960,34
81,25740,28142,3960,40
82,25740,28081,3960,41
83,26100,29656,4500,25
84,26100,29350,4500,26
85,26640,29890,5040,26
86,26640,30196,5040,25
87,27000,31094,5700,3
88,27180,30430,5580,26
89,27180,30736,5580,25
90,27600,31387,2280,4
91,27660,32089,2460,30
92,27660,30681,2460,29
93,27720,31263,7920,35
94,27720,31276,6120,25
95,27720,31395,7920,36
96,27720,30970,6120,26
97,27720,28611,7920,39
98,27900,30833,6420,11
99,28020,30375,6420,24
100,28020,31747,6420,13
101,28020,31945,6420,16
102,28020,30478,6420,1
103,28020,30580,6420,22
104,28020,31624,6420,7
105,28020,31499,6420,15
106,28020,30348,6420,9
107,28020,30673,6420,20
108,28020,32011,6420,14
109,28020,30402,6420,10
110,28020,30883,6420,18
111,28020,30571,6420,12
112,28020,30907,6420,34
113,28020,31301,6420,28
