new_index,s_time,e_time,delta_time,old_index
0,22500,25670,0,20
1,22500,25648,0,21
2,22800,24902,0,7
3,22800,25948,300,21
4,22800,25970,300,20
5,23100,26248,600,21
6,23100,26270,600,20
7,23400,24616,0,66
8,23400,25768,0,73
9,23400,25314,0,30
10,23400,26548,900,21
11,23400,25308,0,31
12,23400,26570,900,20
13,23400,25460,0,6
14,23700,26870,1200,20
15,23700,26848,1200,21
16,24000,26100,0,57
17,24000,25216,0,65
18,24000,27148,1500,21
19,24000,27170,1500,20
20,24000,26729,0,56
21,24300,27470,1800,20
22,24300,27448,1800,21
23,24600,27748,2100,21
24,24600,27770,2100,20
25,24900,28070,2400,20
26,24900,28048,2400,21
27,25200,25653,0,55
28,25200,28520,2700,20
29,25200,26699,0,34
30,25200,28779,2700,21
31,25500,28820,3000,20
32,25500,29079,3000,21
33,25560,28289,1560,56
34,25560,27822,1560,57
35,25800,29120,3300,20
36,25800,29379,3300,21
37,26100,29679,3600,21
38,26100,29420,3600,20
39,26400,29720,3900,20
40,26400,29979,3900,21
41,26700,30020,4200,20
42,26700,31159,0,24
43,26700,30279,4200,21
44,26700,30509,0,25
45,27000,30579,4500,21
46,27000,28486,0,35
47,27000,30320,4500,20
48,27120,29382,3120,57
49,27120,29849,3120,56
50,27300,30879,4800,21
51,27300,30620,4800,20
52,27600,31179,5100,21
53,27600,30920,5100,20
54,27900,31479,5400,21
55,27900,31220,5400,20
56,28200,31520,5700,20
57,28200,31779,5700,21
58,28380,28833,3180,55
59,28380,29879,3180,34
60,28500,31820,6000,20
61,28500,32079,6000,21
62,28680,31409,4680,56
63,28680,30942,4680,57
64,28800,32379,6300,21
65,28800,32120,6300,20
66,29100,32420,6600,20
67,29100,32679,6600,21
68,29400,32979,6900,21
69,29400,32720,6900,20
70,29700,33279,7200,21
71,29700,33020,7200,20
72,30000,33579,7500,21
73,30000,32102,7200,7
74,30000,33320,7500,20
75,30180,31666,3180,35
76,30240,32969,6240,56
77,30240,32502,6240,57
78,30300,33879,7800,21
79,30300,33620,7800,20
80,30600,34179,8100,21
81,30600,32968,7200,73
82,30600,31816,7200,66
83,30600,32660,7200,6
84,30600,33920,8100,20
85,30900,34479,8400,21
86,30900,34220,8400,20
87,31200,34520,8700,20
88,31200,34779,8700,21
89,31200,32416,7200,65
90,31500,34820,9000,20
91,31500,35079,9000,21
92,31560,33059,6360,34
93,31560,32013,6360,55
94,31800,35120,9300,20
95,31800,34062,7800,57
96,31800,35379,9300,21
97,31800,34529,7800,56
98,32100,35679,9600,21
99,32100,35420,9600,20
100,32400,35548,9900,21
101,32400,34314,9000,30
102,32400,36682,5700,24
103,32400,36209,5700,25
104,32400,35570,9900,20
105,32400,35471,0,38
106,32400,34308,9000,31
107,32700,35848,10200,21
108,32700,35870,10200,20
109,33000,36148,10500,21
110,33000,36170,10500,20
111,33180,35282,10380,7
112,33300,36470,10800,20
113,33300,36448,10800,21
114,33360,35460,9360,57
115,33360,36089,9360,56
116,33360,34846,6360,35
117,33600,36770,11100,20
118,33600,36748,11100,21
119,33780,35840,10380,6
120,33780,36148,10380,73
121,33780,34996,10380,66
122,33900,37048,11400,21
123,33900,37070,11400,20
124,34200,37370,11700,20
125,34200,37348,11700,21
126,34380,35596,10380,65
127,34500,37648,12000,21
128,34500,37670,12000,20
129,34740,36239,9540,34
130,34740,35193,9540,55
131,34800,37970,12300,20
132,34800,37948,12300,21
133,35040,37140,11040,57
134,35040,37769,11040,56
135,35100,38270,12600,20
136,35100,38248,12600,21
137,35400,38570,12900,20
138,35400,38548,12900,21
139,35700,38870,13200,20
140,35700,38848,13200,21
141,36000,38907,0,39
142,36000,39148,13500,21
143,36000,39170,13500,20
144,36300,39448,13800,21
145,36300,39470,13800,20
146,36600,39770,14100,20
147,36600,38700,12600,57
148,36600,39748,14100,21
149,36600,39329,12600,56
150,36900,40048,14400,21
151,36900,40070,14400,20
152,37200,40348,14700,21
153,37200,40370,14700,20
154,37500,40670,15000,20
155,37500,40648,15000,21
156,37800,42082,11100,24
157,37800,40970,15300,20
158,37800,41609,11100,25
159,37800,40948,15300,21
160,38100,41270,15600,20
161,38100,41248,15600,21
162,38160,40260,14160,57
163,38160,40889,14160,56
164,38400,41570,15900,20
165,38400,41548,15900,21
166,38700,41848,16200,21
167,38700,41870,16200,20
168,39000,42170,16500,20
169,39000,42148,16500,21
170,39300,42448,16800,21
171,39300,42470,16800,20
172,39600,42748,17100,21
173,39600,42770,17100,20
174,39720,42449,15720,56
175,39720,41820,15720,57
176,39900,43070,17400,20
177,39900,43048,17400,21
178,40200,43370,17700,20
179,40200,43348,17700,21
180,40380,42482,17580,7
181,40500,43670,18000,20
182,40500,43648,18000,21
183,40560,42046,13560,35
184,40800,43948,18300,21
185,40800,43970,18300,20
186,40980,42196,17580,66
187,40980,43348,17580,73
188,40980,43040,17580,6
189,41100,44248,18600,21
190,41100,44270,18600,20
191,41400,43500,17400,57
192,41400,44129,17400,56
193,41400,44548,18900,21
194,41400,44570,18900,20
195,41580,42796,17580,65
196,41700,44870,19200,20
197,41700,44848,19200,21
198,41940,42393,16740,55
199,41940,43439,16740,34
200,42000,45148,19500,21
201,42000,45170,19500,20
202,42300,45448,19800,21
203,42300,45470,19800,20
204,42600,45748,20100,21
205,42600,45770,20100,20
206,42900,46048,20400,21
207,42900,46070,20400,20
208,43200,46370,20700,20
209,43200,46348,20700,21
210,43500,46670,21000,20
211,43500,46648,21000,21
212,43800,46948,21300,21
213,43800,46970,21300,20
214,44100,47248,21600,21
215,44100,47270,21600,20
216,44400,47129,20400,56
217,44400,47548,21900,21
218,44400,47570,21900,20
219,44400,46500,20400,57
220,44700,47848,22200,21
221,44700,47870,22200,20
222,45000,48148,22500,21
223,45000,48170,22500,20
224,45300,48470,22800,20
225,45300,48448,22800,21
226,45600,48748,23100,21
227,45600,48770,23100,20
228,45900,49048,23400,21
229,45900,49070,23400,20
230,46200,49370,23700,20
231,46200,49348,23700,21
232,46500,49648,24000,21
233,46500,49670,24000,20
234,46800,49970,24300,20
235,46800,49948,24300,21
236,46800,51082,20100,24
237,46800,50609,20100,25
238,47100,50270,24600,20
239,47100,50248,24600,21
240,47400,50570,24900,20
241,47400,50548,24900,21
242,47400,50129,23400,56
243,47400,49500,23400,57
244,47580,49682,24780,7
245,47700,50870,25200,20
246,47700,50848,25200,21
247,47760,49246,20760,35
248,48000,51148,25500,21
249,48000,51170,25500,20
250,48180,49396,24780,66
251,48180,50548,24780,73
252,48180,50240,24780,6
