new_index,s_time,e_time,delta_time,old_index
0,19800,23378,0,11
1,19800,22901,0,41
2,19800,23660,0,40
3,20340,24200,540,40
4,20400,25215,0,7
5,20640,23741,840,41
6,20640,24218,840,11
7,20940,24800,1140,40
8,21000,25119,0,18
9,21240,26055,840,7
10,21540,25400,1740,40
11,21540,25659,540,18
12,21540,26355,1140,7
13,21600,24315,0,21
14,21600,25850,0,19
15,21600,24701,1800,41
16,21600,24284,0,54
17,21600,24497,0,55
18,21600,25038,0,10
19,21600,25178,1800,11
20,21600,25871,0,53
21,21600,24968,0,52
22,21660,24987,0,37
23,21960,26079,960,18
24,22020,25598,2220,11
25,22020,25880,2220,40
26,22260,26531,660,53
27,22260,25628,660,52
28,22260,25698,660,10
29,22440,26690,840,19
30,22440,26300,2640,40
31,22440,26559,1440,18
32,22440,25155,840,21
33,22500,25601,2700,41
34,22500,26078,2700,11
35,22740,24838,0,43
36,22740,27555,2340,7
37,22800,26819,0,56
38,22800,25752,0,22
39,22800,26660,3000,40
40,22800,26541,0,57
41,22800,25478,0,23
42,22800,26919,1800,18
43,22980,27251,1380,53
44,22980,26418,1380,10
45,22980,26348,1380,52
46,22980,26558,3180,11
47,23040,26141,3240,41
48,23100,26960,3300,40
49,23280,27399,2280,18
50,23340,27590,1740,19
51,23340,26918,3540,11
52,23340,27200,3540,40
53,23400,26796,0,50
54,23400,25166,0,39
55,23400,25949,0,63
56,23400,26064,0,58
57,23400,30197,0,1
58,23400,27345,0,65
59,23400,26123,0,9
60,23400,27299,0,64
61,23400,27414,0,59
62,23400,25950,0,8
63,23400,26957,0,47
64,23400,25498,660,43
65,23400,26240,0,44
66,23400,26846,0,46
67,23400,26933,0,20
68,23400,26312,0,61
69,23400,26946,0,60
70,23400,25345,0,49
71,23400,27739,0,51
72,23460,26175,1860,21
73,23520,26958,1920,10
74,23580,26681,3780,41
75,23580,26907,1920,37
76,23640,25953,0,48
77,23640,27500,3840,40
78,23700,25637,0,35
79,23700,27819,2700,18
80,23700,27719,900,56
81,23700,27068,2100,52
82,23700,25392,0,34
83,23760,27338,3960,11
84,23760,28031,2160,53
85,23820,27353,420,20
86,23820,28070,2220,19
87,23820,27561,1020,57
88,23880,26544,480,58
89,23940,27041,4140,41
90,23940,27954,540,59
91,23940,26655,2340,21
92,23940,28755,3540,7
93,24000,26716,0,28
94,24000,26678,1200,23
95,24000,26668,0,29
96,24000,25781,0,16
