new_index,s_time,e_time,delta_time,old_index
0,19800,25927,0,141
1,19800,23026,0,174
2,20400,25032,0,125
3,20700,24094,0,92
4,21000,26017,0,49
5,21000,23844,0,74
6,21120,24514,420,92
7,21180,24406,1380,174
8,21180,27307,1380,141
9,21300,23113,0,110
10,21300,24707,0,138
11,21540,24934,840,92
12,21600,23703,0,161
13,21600,24897,0,94
14,21600,24609,0,79
15,21600,24401,0,73
16,21600,24919,0,70
17,21600,24654,0,26
18,21600,24315,0,119
19,21600,23000,0,124
20,21600,25633,0,45
21,21600,24631,0,84
22,21600,23647,0,127
23,21600,23498,0,171
24,21600,23467,0,144
25,21600,24981,0,105
26,21600,24875,0,53
27,21600,25582,0,29
28,21600,24791,0,104
29,21600,24735,0,134
30,21600,23524,0,172
31,21600,24630,0,132
32,21600,23972,0,95
33,21600,22666,0,0
34,21600,25455,0,11
35,21600,24727,0,135
36,21600,23789,0,97
37,21600,24657,0,27
38,21600,24742,0,173
39,21600,25828,0,16
40,21600,24966,0,87
41,21600,25720,0,47
42,21600,25404,0,34
43,21600,24885,0,136
44,21600,23471,0,145
45,21600,25971,0,24
46,21660,23752,0,18
47,21660,23815,0,103
48,21660,24987,0,31
49,21660,25188,0,122
50,21660,24289,0,64
51,21780,26412,1380,125
52,21780,24116,0,143
53,21780,25849,0,41
54,21840,24684,840,74
55,21840,23980,0,157
56,21840,26857,840,49
57,21960,25367,660,138
58,21960,23773,660,110
59,21960,25354,1260,92
60,22140,25668,480,122
61,22200,23994,0,162
62,22200,24090,0,166
63,22200,26320,600,47
64,22200,25485,600,136
65,22200,25327,600,135
66,22200,24021,0,165
67,22200,24236,0,164
68,22200,24364,0,170
69,22200,24029,0,89
70,22200,24319,0,169
71,22200,23843,0,163
72,22200,24371,0,6
73,22200,23881,0,154
74,22260,25557,660,94
75,22260,24400,420,157
76,22260,24632,660,95
77,22260,23326,660,0
78,22320,25639,720,70
79,22380,24569,780,97
80,22380,26413,780,45
81,22380,24716,600,143
82,22380,25774,1680,92
83,22440,25806,840,87
84,22440,24595,780,103
85,22440,25197,0,115
86,22500,26028,840,122
87,22500,24398,900,171
88,22500,24424,900,172
89,22500,24520,0,129
90,22500,26355,900,11
91,22500,24603,900,161
92,22500,24855,0,54
93,22500,25554,900,26
94,22500,23783,0,50
95,22500,25215,900,119
96,22560,28687,2760,141
97,22560,25128,0,80
98,22560,25786,2760,174
99,22620,26689,840,41
100,22620,24433,1320,110
101,22620,25755,1020,134
102,22620,25421,1020,73
103,22680,25524,1680,74
104,22680,27051,1080,24
105,22680,26484,1080,34
106,22740,26147,1440,138
107,22800,24919,600,169
108,22800,27817,1800,49
109,22800,26194,2100,92
110,22800,25256,0,83
111,22800,24964,600,170
112,22800,26260,0,76
113,22800,24690,600,166
114,22800,24809,0,3
115,22800,24713,0,37
116,22800,24621,600,165
117,22800,26085,1200,136
118,22800,26920,1200,47
119,22800,25927,1200,135
120,22800,24836,600,164
121,22860,25489,1200,64
122,22860,26187,1200,31
123,22920,25084,720,170
124,22920,24741,720,165
125,22920,24956,720,164
126,22920,24810,720,166
127,22920,23986,1320,0
128,22920,25977,1320,27
129,22920,25039,720,169
130,22980,26171,1380,104
131,22980,24859,0,111
132,22980,24847,1380,144
133,22980,24851,1380,145
134,22980,26508,1320,122
135,22980,25352,1380,95
136,22980,26277,1380,94
137,22980,27208,1380,16
138,22980,25909,0,65
139,22980,26361,1380,105
140,22980,26122,1380,173
141,22980,25120,1140,157
142,23040,25132,1380,18
143,23040,27073,1440,45
144,23040,26359,1440,70
145,23100,25857,660,115
146,23100,26130,1500,132
147,23100,26131,1500,84
148,23100,25436,1320,143
149,23100,24743,900,163
150,23100,24894,900,162
151,23100,26480,0,91
152,23160,26435,1560,53
153,23160,27792,2760,125
154,23220,26614,2520,92
155,23220,25409,1620,97
156,23280,25093,1980,110
157,23340,26800,540,76
158,23340,26055,1740,119
159,23400,25324,1800,172
160,23400,23944,0,57
161,23400,25555,1740,103
162,23400,26807,2100,138
163,23400,24400,0,108
164,23400,26685,1800,136
165,23400,25415,0,153
166,23400,25406,0,152
167,23400,27859,0,67
168,23400,26766,1800,87
169,23400,26454,1800,26
170,23400,26023,0,68
171,23400,23846,0,140
172,23400,24398,0,109
173,23400,25503,1800,161
174,23400,23806,0,150
175,23400,25050,0,38
176,23400,25298,1800,171
177,23400,27255,1800,11
178,23400,26527,1800,135
179,23400,27877,0,13
180,23400,23754,0,149
181,23400,23808,0,151
182,23400,23839,0,139
183,23400,23751,0,148
184,23400,26409,1800,79
185,23460,26840,360,91
186,23460,24466,0,1
187,23460,26117,0,146
188,23460,26988,1800,122
189,23460,26145,0,147
190,23520,25410,1320,166
191,23520,25556,1320,164
192,23520,25341,1320,165
193,23520,27589,1740,41
194,23520,25639,1320,169
195,23520,25684,1320,170
196,23520,25659,0,117
197,23520,26364,2520,74
198,23580,26745,0,131
199,23580,25259,0,123
200,23580,24646,1980,0
201,23640,25687,2040,127
202,23640,25519,660,111
203,23640,26775,2040,134
204,23640,25461,1440,165
205,23640,25530,1440,166
206,23640,26208,1080,80
207,23640,25676,1440,164
208,23640,25804,1440,170
209,23640,25759,1440,169
210,23640,27034,2940,92
211,23700,26621,0,128
212,23700,26692,0,85
213,23700,26501,2100,73
214,23700,25840,1860,157
215,23700,25953,0,142
216,23700,25488,0,102
217,23700,27504,2100,34
218,23700,28717,2700,49
219,23760,27057,2160,94
220,23760,27793,2160,45
221,23760,26132,2160,95
222,23760,26517,1320,115
223,23760,28131,2160,24
224,23760,27079,2160,70
225,23820,25840,1320,129
226,23880,26235,1380,54
227,23880,24886,420,1
228,23880,26216,2100,143
229,23880,27260,780,91
230,23880,26988,0,121
231,23880,27408,2220,122
232,23880,26643,0,32
233,23940,27166,4140,174
234,23940,27400,1140,76
235,23940,26762,0,72
236,23940,30067,4140,141
237,23940,25753,2640,110
238,24000,25930,0,75
239,24000,25794,1800,162
240,24000,26307,0,98
241,24000,26456,1200,83
