new_index,s_time,e_time,delta_time,old_index
0,19800,22914,0,29
1,20400,23496,0,0
2,21600,24686,0,77
3,22200,25840,0,15
4,22200,26057,0,14
5,22200,25771,0,3
6,22680,25794,2880,29
7,23280,26376,2880,0
8,23400,25237,0,68
9,23400,26161,0,74
10,23400,26044,0,75
11,23400,26280,0,32
12,23400,26042,0,27
13,23400,26062,0,28
14,23400,27030,0,2
15,23400,25061,0,69
16,23400,26519,0,30
17,24480,27566,2880,77
18,24600,27635,0,1
19,25080,28720,2880,15
20,25080,28651,2880,3
21,25080,28937,2880,14
22,25200,25879,0,66
23,25200,25885,0,67
24,25200,28859,0,31
25,25560,28674,5760,29
26,25800,28952,2400,28
27,25800,28708,2400,27
28,26160,29256,5760,0
29,26280,28117,2880,68
30,26280,27941,2880,69
31,26280,29910,2880,2
32,26280,29399,2880,30
33,26280,29160,2880,32
34,26280,29041,2880,74
35,26280,28924,2880,75
36,26400,28290,0,18
37,26400,29370,0,35
38,26400,29441,0,76
39,27000,28890,600,18
40,27360,30446,5760,77
41,27480,30515,2880,1
42,27600,29490,1200,18
43,27600,30570,1200,35
44,27840,31499,2640,31
45,27960,31817,5760,14
46,27960,31600,5760,15
47,27960,31531,5760,3
48,28200,31108,4800,27
49,28200,31314,8400,29
50,28200,31352,4800,28
51,28200,30090,1800,18
52,28800,29479,3600,66
53,28800,29485,3600,67
54,28800,31770,2400,35
55,28800,30690,2400,18
56,28800,31896,8400,0
57,28920,31800,5520,32
58,28920,31681,5520,74
59,28920,30581,5520,69
60,28920,31564,5520,75
61,28920,30757,5520,68
62,28920,32550,5520,2
63,28920,32039,5520,30
64,29040,32081,2640,76
65,29400,31290,3000,18
66,30000,31890,3600,18
67,30000,33086,8400,77
68,30000,32970,3600,35
69,30120,33155,5520,1
70,30480,34139,5280,31
71,30600,34171,8400,3
72,30600,34457,8400,14
73,30600,34240,8400,15
74,30600,33508,7200,27
75,30600,33752,7200,28
76,30840,33954,11040,29
77,31200,34170,4800,35
78,31440,34536,11040,0
79,31560,34440,8160,32
80,31560,34204,8160,75
81,31560,33221,8160,69
82,31560,33397,8160,68
83,31560,34679,8160,30
84,31560,34321,8160,74
85,31560,35190,8160,2
86,31680,34721,5280,76
87,32400,35250,6000,35
88,32400,33085,7200,67
89,32400,33079,7200,66
90,32640,35726,11040,77
91,32760,35795,8160,1
92,33000,35642,9600,27
93,33000,35662,9600,28
94,33120,36779,7920,31
95,33240,37097,11040,14
96,33240,36811,11040,3
97,33240,36880,11040,15
98,33480,36594,13680,29
99,33600,36450,7200,35
100,34080,37176,13680,0
101,34200,36037,10800,68
102,34200,36961,10800,74
103,34200,37319,10800,30
104,34200,37830,10800,2
105,34200,36844,10800,75
106,34200,35861,10800,69
107,34200,37080,10800,32
108,34320,37361,7920,76
109,35400,38062,12000,28
110,35400,38042,12000,27
111,35520,38606,13920,77
112,35640,38675,11040,1
113,36000,36685,10800,67
114,36000,39659,10800,31
115,36000,36679,10800,66
116,36120,39977,13920,14
117,36120,39691,13920,3
118,36120,39760,13920,15
119,36360,39474,16560,29
120,36960,40056,16560,0
121,37080,38741,13680,69
122,37080,40710,13680,2
123,37080,39841,13680,74
124,37080,38917,13680,68
125,37080,39724,13680,75
126,37080,40199,13680,30
127,37080,39960,13680,32
128,37200,40241,10800,76
129,37800,40462,14400,28
130,37800,40442,14400,27
131,38400,41486,16800,77
132,38520,41555,13920,1
133,38880,42539,13680,31
134,39000,42640,16800,15
135,39000,42571,16800,3
136,39000,42857,16800,14
137,39240,42354,19440,29
138,39600,40279,14400,66
139,39600,40285,14400,67
140,39840,42936,19440,0
141,39960,43590,16560,2
142,39960,41797,16560,68
143,39960,41621,16560,69
144,39960,42721,16560,74
145,39960,42840,16560,32
146,39960,43079,16560,30
147,39960,42604,16560,75
148,40080,43121,13680,76
149,40200,42862,16800,28
150,40200,42842,16800,27
151,41280,44366,19680,77
152,41400,44435,16800,1
153,41760,45419,16560,31
154,41880,45451,19680,3
155,41880,45737,19680,14
156,41880,45520,19680,15
157,42120,45234,22320,29
158,42600,45262,19200,28
159,42600,45242,19200,27
160,42720,45816,22320,0
161,42840,44501,19440,69
162,42840,45601,19440,74
163,42840,45959,19440,30
164,42840,45484,19440,75
165,42840,45720,19440,32
166,42840,44677,19440,68
167,42840,46470,19440,2
168,42960,46001,16560,76
169,43200,43879,18000,66
170,43200,43885,18000,67
171,44160,47246,22560,77
172,44280,47315,19680,1
173,44640,48299,19440,31
174,44760,48617,22560,14
175,44760,48331,22560,3
176,44760,48400,22560,15
177,45000,47662,21600,28
178,45000,48114,25200,29
179,45000,47642,21600,27
180,45600,48696,25200,0
181,45720,48839,22320,30
182,45720,48600,22320,32
183,45720,48481,22320,74
184,45720,47381,22320,69
185,45720,47557,22320,68
186,45720,49350,22320,2
187,45720,48364,22320,75
188,45840,48881,19440,76
189,47040,50126,25440,77
190,47160,50195,22560,1
191,47400,50062,24000,28
192,47400,50042,24000,27
193,47520,51179,22320,31
194,47640,51497,25440,14
195,47640,51211,25440,3
196,47640,51280,25440,15
197,47880,50994,28080,29
198,48480,51576,28080,0
199,48600,52230,25200,2
200,48600,50261,25200,69
201,48600,51244,25200,75
202,48600,51480,25200,32
203,48600,51361,25200,74
204,48600,51719,25200,30
205,48600,50437,25200,68
206,48720,51761,22320,76
207,49800,52462,26400,28
208,49800,52442,26400,27
209,49920,53006,28320,77
210,50040,53075,25440,1
211,50400,51079,25200,66
212,50400,51085,25200,67
213,50400,54059,25200,31
214,50520,54377,28320,14
215,50520,54160,28320,15
216,50520,54091,28320,3
217,50760,53874,30960,29
218,51360,54456,30960,0
219,51480,54360,28080,32
220,51480,53317,28080,68
221,51480,54241,28080,74
222,51480,55110,28080,2
223,51480,53141,28080,69
224,51480,54599,28080,30
225,51480,54124,28080,75
226,51600,54641,25200,76
227,52200,54842,28800,27
228,52200,54862,28800,28
229,52800,55886,31200,77
230,52920,55955,28320,1
231,53280,56939,28080,31
232,53400,56971,31200,3
233,53400,57040,31200,15
234,53400,57257,31200,14
235,53640,56754,33840,29
236,54000,54679,28800,66
237,54000,54685,28800,67
238,54240,57336,33840,0
239,54360,57240,30960,32
240,54360,57990,30960,2
241,54360,57121,30960,74
242,54360,57004,30960,75
243,54360,56021,30960,69
244,54360,56197,30960,68
245,54360,57479,30960,30
246,54480,57521,28080,76
247,54600,57262,31200,28
248,54600,57242,31200,27
249,55680,58766,34080,77
250,55800,58835,31200,1
251,56160,59819,30960,31
252,56280,60137,34080,14
253,56280,59920,34080,15
254,56280,59851,34080,3
255,56520,59634,36720,29
256,57000,59642,33600,27
257,57000,59662,33600,28
258,57120,60216,36720,0
259,57240,60359,33840,30
260,57240,58901,33840,69
261,57240,60001,33840,74
262,57240,60870,33840,2
263,57240,60120,33840,32
264,57240,59884,33840,75
265,57240,59077,33840,68
266,57360,60401,30960,76
267,57600,58279,32400,66
268,57600,58285,32400,67
269,58560,61646,36960,77
270,58680,61715,34080,1
271,59040,62699,33840,31
272,59160,62800,36960,15
