new_index,s_time,e_time,delta_time,old_index
0,22200,25843,0,12
1,22200,26268,0,11
2,22680,26748,480,11
3,22860,26503,660,12
4,23100,27168,900,11
5,23400,27283,0,26
6,23400,25579,0,39
7,23400,26853,0,25
8,23400,27254,0,7
9,23400,25862,0,40
10,23400,27513,0,6
11,23400,26912,0,18
12,23400,26118,0,42
13,23400,26862,0,9
14,23400,26505,0,32
15,23400,27721,0,16
16,23400,27143,0,0
17,23400,25983,0,35
18,23400,27196,0,33
19,23400,27796,0,15
20,23400,27309,0,34
21,23400,27713,0,24
22,23400,27445,0,23
23,23400,27000,0,1
24,23400,27423,0,10
25,23400,27085,0,31
26,23400,27063,0,37
27,23400,25327,0,41
28,23400,26243,0,13
29,23400,27340,0,2
30,23400,27323,0,3
31,23400,27891,0,28
32,23400,26232,0,14
33,23400,27776,0,27
34,23400,27252,0,29
35,23400,26644,0,30
36,23400,26224,0,36
37,23400,26932,0,38
38,23460,26974,0,17
39,23460,27103,1260,12
40,23640,27708,1440,11
41,23940,27849,540,34
42,23940,27736,540,33
43,24000,26462,600,40
44,24000,28491,600,28
45,24000,26179,600,39
46,24120,27763,1920,12
47,24180,28248,1980,11
48,24180,27692,780,18
49,24180,28203,780,10
50,24180,27642,780,9
51,24240,27754,780,17
52,24240,27983,840,0
53,24240,28353,840,6
54,24240,27772,840,38
55,24240,28616,840,27
56,24300,27900,900,1
57,24300,28345,900,23
58,24300,28696,900,15
59,24300,27143,900,13
60,24300,28613,900,24
61,24300,27132,900,14
62,24300,28154,900,7
63,24300,27985,900,31
64,24300,27963,900,37
65,24360,27465,960,32
66,24420,28741,1020,16
67,24420,28329,1020,34
68,24420,28360,1020,2
69,24420,28216,1020,33
70,24480,28363,1080,26
71,24540,28463,1140,3
72,24600,26779,1200,39
73,24660,27122,1260,40
74,24660,28728,2460,11
75,24660,28113,1260,25
76,24720,27964,1320,30
77,24780,29156,1380,27
78,24780,28423,2580,12
79,24840,26767,1440,41
80,24960,28983,1560,10
81,24960,28472,1560,18
82,24960,28869,1560,34
83,25020,28816,1620,33
84,25020,29511,1620,28
85,25020,28482,1620,9
86,25080,29193,1680,6
87,25080,28743,1680,37
88,25140,28883,1740,0
89,25140,28654,1680,17
90,25140,27972,1740,14
91,25140,28672,1740,38
92,25140,28994,1740,7
93,25200,29614,0,21
94,25200,27571,0,5
95,25200,27670,1800,39
96,25200,27571,0,4
97,25260,29647,1860,23
98,25260,28957,1860,31
99,25260,28978,1860,32
100,25260,29920,1860,15
101,25260,29381,3060,11
102,25260,29242,1860,1
103,25320,29671,1920,24
104,25320,28422,1920,13
105,25320,27785,1920,40
106,25320,30104,1920,27
107,25380,29740,3180,12
108,25380,30015,1980,16
109,25560,30045,2160,2
110,25560,29741,2160,34
111,25560,29356,2160,33
112,25560,29753,2160,29
113,25680,29740,2280,10
114,25740,29252,2340,18
115,25740,30046,2340,3
116,25740,29861,3540,11
117,25740,28893,2340,35
118,25800,30291,2400,28
119,25800,31818,0,19
120,25800,31219,0,20
121,25800,28270,2400,39
122,25800,29769,2400,9
123,25800,29865,2400,26
124,25860,29989,2460,37
125,25920,29663,2520,0
126,25920,30234,2520,6
127,25920,29752,2520,38
128,25980,28445,2580,40
129,25980,28841,2580,42
130,25980,29691,2580,25
131,25980,30340,3780,12
132,25980,30764,2580,27
133,25980,29494,2520,17
134,26040,29117,2640,14
135,26040,30566,2640,7
136,26040,30700,2640,15
137,26100,30281,2700,34
138,26100,30082,2700,1
139,26100,29896,2700,33
140,26100,30389,2700,30
141,26160,29262,2760,13
142,26160,30795,2760,16
143,26220,30571,2820,24
144,26220,30607,2820,23
145,26280,30401,4080,11
146,26280,29998,2880,32
147,26280,29977,2880,31
148,26340,29570,2940,36
149,26460,28930,3060,39
150,26460,30520,3060,10
151,26520,30032,3120,18
152,26580,30940,4380,12
153,26580,30894,3180,6
154,26580,30376,3180,33
155,26640,31131,3240,28
156,26640,30769,3240,37
157,26640,31424,3240,27
158,26640,30821,3240,34
159,26700,29165,3300,40
160,26700,28831,3300,41
161,26700,30443,3300,0
162,26700,30669,3300,9
163,26760,30274,3300,17
164,26820,31480,3420,15
165,26820,30652,3420,38
166,26820,31346,3420,7
167,26880,29957,3480,14
168,26880,30862,3480,1
169,26880,31001,4680,11
170,26880,31515,3480,16
171,26940,30042,3540,13
172,26940,31246,3540,3
173,26940,31425,3540,2
174,27060,31125,3660,26
175,27060,31474,1860,21
176,27060,29530,3660,39
177,27180,31361,3780,34
178,27180,31567,3780,23
179,27180,31540,4980,12
180,27180,30976,3780,33
181,27240,32024,3840,27
182,27240,30937,3840,31
183,27300,30812,3900,18
184,27300,31360,3900,10
185,27300,31011,3900,25
186,27300,29765,3900,40
187,27360,31674,3960,6
188,27360,31481,5160,11
189,27360,31711,3960,24
190,27420,31549,4020,37
191,27420,31911,4020,28
192,27420,31138,4020,32
193,27420,31613,4020,29
194,27540,31283,4140,0
195,27540,31509,4140,9
196,27540,32066,4140,7
197,27540,29911,2340,5
198,27600,31432,4200,38
199,27600,32260,4200,15
200,27600,31114,4140,17
201,27660,30737,4260,14
202,27660,31642,4260,1
203,27720,32355,4320,16
204,27720,31901,4320,34
205,27780,30250,4380,39
206,27780,32069,4380,30
207,27780,32086,4380,3
208,27780,31576,4380,33
209,27840,30942,4440,13
210,27840,32200,5640,12
211,27900,32021,5700,11
212,27960,32025,4560,26
213,28020,33439,2220,20
214,28020,32334,4620,6
215,28020,30485,4620,40
216,28020,34038,2220,19
217,28080,30451,2880,4
218,28080,30941,4680,42
219,28080,32140,4680,10
220,28080,31592,4680,18
221,28140,31293,4740,35
222,28140,32631,4740,28
223,28200,32984,4800,27
224,28200,32726,4800,7
225,28260,32003,4860,0
226,28260,31957,4860,31
227,28260,32647,4860,23
228,28260,32389,4860,37
229,28320,32671,4920,24
230,28380,32561,4980,34
231,28380,32740,6180,12
232,28380,32176,4980,33
233,28380,33040,4980,15
234,28380,32865,4980,2
235,28380,32349,4980,9
236,28380,30850,4980,39
237,28440,32561,6240,11
238,28440,32158,5040,32
239,28500,31577,5100,14
240,28500,30631,5100,41
241,28500,32014,5040,17
242,28560,32542,5160,1
243,28560,33195,5160,16
244,28560,32392,5160,38
245,28620,32331,5220,25
246,28620,31722,5220,13
247,28680,31145,5280,40
248,28740,31970,5340,36
249,28740,33054,5340,6
250,28800,32993,5400,29
251,28800,32312,5400,18
252,28920,33334,3720,21
253,28920,32980,5520,10
254,28920,33411,5520,28
255,28920,32716,5520,33
256,28980,33340,6780,12
257,29040,33346,5640,3
258,29040,33169,5640,37
259,29040,32783,5640,0
260,29040,33161,6840,11
261,29100,31570,5700,39
262,29100,33884,5700,27
263,29160,33686,5760,7
264,29220,33401,5820,34
265,29280,32794,5820,17
266,29280,33112,5880,38
267,29280,34028,0,22
268,29280,33249,5880,9
269,29280,32977,5880,31
270,29340,34000,5940,15
271,29340,33691,5940,24
272,29340,33727,5940,23
273,29340,31805,5940,40
274,29400,32477,6000,14
275,29460,33256,6060,33
276,29520,33238,6120,32
277,29520,34155,6120,16
278,29520,33502,6120,1
279,29580,33940,7380,12
280,29580,33092,6180,18
281,29580,33894,6180,6
282,29640,32742,6240,13
283,29700,33821,7500,11
284,29700,34006,6300,3
285,29700,32170,6300,39
286,29700,34191,6300,28
287,29820,34001,6420,34
288,29820,33880,6420,10
289,29880,34009,6480,37
290,29940,33651,6540,25
291,29940,33683,6540,0
292,29940,34425,6540,2
293,29940,34005,6540,26
294,30000,33796,6600,33
295,30000,32465,6600,40
296,30000,34784,6600,27
297,30000,34289,6600,30
298,30000,34526,6600,7
299,30120,33634,6660,17
300,30180,34149,6780,9
301,30180,34012,6780,38
302,30180,34540,7980,12
303,30180,34373,6780,29
304,30180,33041,6780,42
305,30240,34300,6840,10
306,30240,35659,4440,20
307,30240,36258,4440,19
308,30240,34900,6840,15
309,30240,33317,6840,14
310,30300,34651,6900,24
311,30300,33997,6900,31
