new_index,s_time,e_time,delta_time,old_index
0,19800,21899,0,50
1,19860,21816,0,49
2,21000,24080,0,25
3,21000,24197,0,24
4,21000,25267,0,16
5,21360,23459,1560,50
6,21420,23376,1560,49
7,21600,25444,0,13
8,21600,25725,0,9
9,21600,23532,0,0
10,21600,23853,0,33
11,21600,24700,0,31
12,21600,26985,0,22
13,21600,24097,0,20
14,21780,23736,1920,49
15,21840,23939,2040,50
16,22200,25950,0,6
17,22200,24299,2400,50
18,22380,25947,0,28
19,22380,26893,0,5
20,22440,25520,1440,25
21,22440,25637,1440,24
22,22440,24693,840,33
23,22560,24659,2760,50
24,22620,25360,0,58
25,22620,24853,0,66
26,22620,24576,2760,49
27,22800,24989,0,56
28,22800,25545,0,39
29,22800,24976,0,74
30,22800,25260,0,37
31,22800,24819,0,52
32,22800,26421,0,45
33,22800,24816,0,55
34,22800,24778,0,51
35,22800,25000,0,73
36,22800,25074,0,63
37,22800,26521,0,64
38,22860,23209,0,32
39,22920,24936,120,55
40,22920,25765,0,57
41,22920,25342,0,65
42,22980,25720,360,58
43,23040,27165,1440,9
44,23040,25229,240,56
45,23040,28425,1440,22
46,23040,25537,1440,20
47,23040,26884,1440,13
48,23040,26140,1440,31
49,23040,24972,1440,0
50,23100,25041,0,72
51,23100,25037,0,71
52,23100,25199,3300,50
53,23100,26332,0,30
54,23100,25056,3240,49
55,23160,26881,360,64
56,23160,25393,540,66
57,23220,25161,120,72
58,23220,26787,840,28
59,23220,26308,0,61
60,23280,25296,480,55
61,23280,25554,480,63
62,23340,26185,420,57
63,23340,26085,540,39
64,23340,25439,3540,50
65,23340,25277,240,71
66,23340,25516,540,74
67,23340,25762,420,65
68,23400,25600,600,73
69,23400,25378,600,51
70,23400,25662,0,43
71,23400,25282,0,54
72,23400,25653,1800,33
73,23400,26404,0,62
74,23400,25370,0,11
75,23400,24950,0,40
76,23400,26241,0,12
77,23400,26404,0,62
78,23400,27474,0,3
79,23400,27667,2400,16
80,23400,25307,0,53
81,23400,25949,0,21
82,23400,25072,0,8
83,23460,26148,0,42
84,23460,25971,0,48
85,23460,26305,540,57
86,23460,25479,660,52
87,23460,25920,660,37
88,23460,26200,840,58
89,23520,25794,720,63
90,23580,25769,780,56
91,23580,28093,1200,5
92,23580,25521,480,72
93,23580,26668,360,61
94,23580,27301,780,64
95,23580,25583,0,35
96,23640,23989,780,32
97,23640,25596,3780,49
98,23640,27390,1440,6
99,23700,26589,0,46
100,23700,25623,0,1
101,23700,25637,600,71
102,23760,25776,960,55
103,23760,26182,840,65
104,23760,26281,0,47
105,23820,26824,420,62
106,23820,26053,1200,66
107,23880,27077,2880,24
108,23880,26625,1080,39
109,23880,26960,2880,25
110,23880,27601,1080,64
111,23880,26620,1260,58
112,23880,25836,4020,49
113,23880,27440,0,29
114,23940,25665,0,41
115,24000,25976,0,34
116,24000,28872,0,23
117,24000,27677,0,7
118,24000,26511,540,48
119,24060,26001,960,72
120,24060,26076,1260,55
121,24060,26249,1260,56
122,24060,26079,1260,52
123,24120,26057,1020,71
124,24180,26442,780,43
125,24180,26413,1560,66
126,24180,26062,780,54
127,24180,27747,1800,28
128,24180,26640,1380,37
129,24180,26158,1380,51
130,24180,26868,720,42
131,24180,26087,780,53
132,24240,27861,1440,45
133,24300,28021,1500,64
134,24300,27388,1080,61
135,24300,27145,1380,57
136,24300,26476,1500,74
137,24300,26303,720,35
138,24360,26376,1560,55
139,24360,26782,1440,65
140,24360,26549,1560,56
141,24420,26519,4620,50
142,24420,26376,4560,49
143,24420,28933,2040,5
144,24480,29865,2880,22
145,24480,26977,2880,20
146,24480,27225,1680,39
147,24480,26030,1080,40
148,24480,27580,2880,31
