new_index,s_time,e_time,delta_time,old_index
0,17700,24396,0,27
1,18000,23878,0,16
2,18300,25825,0,23
3,18480,25176,780,27
4,18840,22980,0,35
5,19080,26605,780,23
6,19140,25018,1140,16
7,19200,25968,0,5
8,19620,26316,1920,27
9,19740,23880,900,35
10,19800,23253,0,47
11,19800,22762,0,101
12,19800,25181,0,13
13,19800,23773,0,57
14,19800,23950,0,56
15,19800,27325,1500,23
16,19800,22702,0,100
17,19800,22661,0,46
18,20040,26808,840,5
19,20100,24499,0,2
20,20280,27110,0,29
21,20340,26218,2340,16
22,20400,25185,0,10
23,20400,24357,0,70
24,20400,24829,0,11
25,20400,26916,0,19
26,20400,24257,0,71
27,20460,27985,2160,23
28,20640,24093,840,47
29,20640,23501,840,46
30,20700,26081,900,13
31,20760,24769,0,3
32,20820,27588,1620,5
33,20820,24677,420,71
34,20820,27516,3120,27
35,20820,23782,1020,101
36,20820,25219,720,2
37,20940,27770,660,29
38,20940,23842,1140,100
39,20940,24897,540,70
40,21000,27386,0,17
41,21000,24273,0,31
42,21000,23330,0,83
43,21120,25260,2280,35
44,21120,28645,2820,23
45,21240,24101,1440,46
46,21300,24753,1500,47
47,21300,25257,900,70
48,21300,28531,0,22
49,21360,24633,360,31
50,21420,25277,1020,71
51,21480,24382,1680,100
52,21480,25630,1680,56
53,21540,27418,3540,16
54,21540,25513,1740,57
55,21600,24502,0,0
56,21600,25323,0,1
57,21600,25339,0,58
58,21600,27046,0,4
59,21600,28368,2400,5
60,21600,24832,0,59
61,21600,24335,0,51
62,21600,24911,0,104
63,21600,24218,0,111
64,21600,24241,0,50
65,21600,24418,0,39
66,21600,24717,0,38
67,21600,24240,0,74
68,21600,24412,0,52
69,21600,24855,0,109
70,21600,24440,0,93
71,21600,24322,0,53
72,21600,24354,0,102
73,21600,25815,0,33
74,21600,24196,0,103
75,21600,23269,0,65
76,21600,22912,0,64
77,21600,21878,0,81
78,21600,24854,0,34
79,21600,25750,0,8
80,21600,25276,0,48
81,21600,25381,0,49
82,21600,27121,0,6
83,21600,27313,0,7
84,21600,23653,0,40
85,21600,23551,0,41
86,21600,24428,0,55
87,21600,23771,0,62
88,21600,23935,0,63
89,21600,23523,0,116
90,21600,23650,0,88
91,21600,23689,0,94
92,21600,27794,0,28
93,21600,23636,0,89
94,21600,24106,0,42
95,21600,23653,0,36
96,21600,24876,0,91
97,21600,23326,0,66
98,21600,23918,0,113
99,21600,24175,0,84
100,21600,24521,0,86
101,21600,24299,0,85
102,21600,24418,0,87
103,21600,24041,0,45
104,21600,23701,0,37
105,21600,24041,0,44
106,21600,22521,0,107
107,21660,28060,0,18
108,21660,24142,0,97
109,21660,24658,0,96
110,21660,24727,0,61
111,21660,28490,1380,29
112,21660,23808,0,99
113,21660,24316,0,75
114,21660,24775,0,108
115,21660,24523,0,92
116,21720,27101,1920,13
117,21720,29245,3420,23
118,21720,24534,0,54
119,21720,25729,960,3
120,21780,24434,0,112
121,21780,28476,4080,27
122,21900,28416,1500,19
123,22020,25473,2220,47
124,22020,26419,1920,2
125,22020,26449,1620,11
126,22020,25877,1620,71
127,22020,26805,1620,10
128,22020,24982,2220,101
129,22080,24181,480,37
130,22080,24941,2280,46
131,22140,29371,840,22
132,22140,23061,540,107
133,22140,24193,540,36
134,22200,28053,0,26
135,22200,24699,0,68
136,22200,24336,0,69
137,22200,23973,0,77
138,22200,26343,0,9
139,22260,25162,2460,100
140,22320,24401,0,95
141,22320,29150,2040,29
142,22380,29905,4080,23
143,22380,29148,3180,5
144,22380,25422,0,30
145,22380,27826,780,4
146,22380,24163,0,76
147,22380,25653,1380,31
148,22440,25303,780,92
149,22440,24109,840,65
150,22440,23752,840,64
151,22440,28318,4440,16
152,22440,26397,2040,70
153,22440,26116,840,48
154,22440,26179,840,58
155,22440,25096,780,75
156,22500,26640,3660,35
157,22500,25140,900,74
158,22500,26281,900,49
159,22560,24661,960,37
160,22620,24673,1020,36
161,22620,27019,2520,2
162,22620,24673,1020,40
163,22620,25342,1020,53
164,22620,26259,0,105
165,22620,24950,1620,83
166,22680,28061,2880,13
167,22680,24631,1080,41
168,22680,25492,1080,52
169,22680,25415,1080,51
170,22740,26193,2940,47
171,22740,25381,1140,50
172,22740,25310,0,43
173,22740,25246,1140,42
174,22800,25661,3000,46
175,22800,29186,1800,17
176,22800,30031,1500,22
177,22800,26773,3000,57
178,22800,25499,1200,85
179,22800,25375,1200,84
180,22860,26717,2460,71
181,22920,25021,1320,37
182,22920,27070,3120,56
183,22920,25822,1320,0
184,22920,28441,1320,6
185,22980,26703,1380,1
186,22980,29676,5280,27
187,22980,28693,1380,7
188,22980,23901,1380,107
189,22980,26097,1380,38
190,22980,25942,3180,101
191,22980,23926,0,106
192,23040,29870,2760,29
193,23040,25358,1440,113
194,23040,26002,3240,101
195,23100,27109,2340,3
196,23100,25201,1500,37
197,23100,26374,0,60
198,23100,24706,0,117
