new_index,s_time,e_time,delta_time,old_index
0,19800,22815,0,32
1,19800,24487,0,16
2,19800,23438,0,23
3,20400,25105,0,12
4,20460,23475,660,32
5,20940,25645,540,12
6,21060,24698,1260,23
7,21060,25747,1260,16
8,21180,24195,1380,32
9,21600,25365,0,22
10,21600,25241,0,50
11,21600,25891,0,39
12,21600,25674,0,46
13,21600,24666,0,49
14,21600,24593,0,58
15,21600,24240,0,68
16,21600,24914,0,36
17,21600,26410,0,55
18,21600,24615,1800,32
19,21600,27685,0,17
20,21600,24673,0,48
21,21600,25023,0,3
22,21600,27125,0,70
23,21600,24989,0,9
24,21600,26305,1200,12
25,21720,24448,0,21
26,21780,24720,0,52
27,21960,26770,360,55
28,22020,25661,420,50
29,22020,25334,420,36
30,22080,25073,480,58
31,22140,25080,360,52
32,22140,26845,1740,12
33,22140,24868,420,21
34,22200,25314,0,15
35,22200,25325,0,47
36,22200,25373,0,20
37,22200,25392,0,6
38,22200,25215,2400,32
39,22200,24699,0,63
40,22260,25283,0,33
41,22260,27856,0,11
42,22320,25958,2520,23
43,22320,27845,720,70
44,22320,27007,2520,16
45,22320,24960,720,68
46,22380,25453,780,48
47,22380,25396,0,62
48,22380,25446,780,49
49,22440,25829,840,9
50,22440,25754,840,36
51,22440,25168,720,21
52,22440,27250,840,55
53,22440,25380,660,52
54,22500,26141,900,50
55,22500,25692,300,6
56,22560,25733,360,20
57,22680,25673,1080,58
58,22680,25545,0,37
59,22740,25763,480,33
60,22740,25854,540,15
61,22740,25865,540,47
62,22800,28396,540,11
63,22800,26150,0,5
64,22800,26339,0,29
65,22800,26295,0,4
66,22800,26204,0,28
67,22800,25477,0,45
68,22800,25310,0,44
69,22800,26925,0,18
70,22800,27119,0,19
71,22800,27611,0,41
72,22800,27101,0,40
73,22800,25299,600,63
74,22800,26273,0,30
75,22800,25740,1020,52
76,22800,27094,0,31
77,22860,27151,1260,39
78,22860,25588,1140,21
79,22860,28945,1260,17
80,22860,26283,1260,3
81,22860,28385,1260,70
82,22860,26625,1260,22
83,22860,26934,1260,46
84,22860,26052,660,6
85,22860,25875,3060,32
86,22920,27730,1320,55
87,22920,25936,540,62
88,22920,25986,1320,49
89,22920,26093,720,20
90,22920,25993,1320,48
91,22980,26621,1380,50
92,22980,25920,1200,52
93,23040,25680,1440,68
94,23100,27805,2700,12
95,23220,26624,420,28
96,23220,26345,1020,47
97,23220,26412,1020,6
98,23280,26008,1560,21
99,23280,26453,1080,20
100,23280,27574,480,31
101,23280,26220,1500,52
102,23280,26467,0,26
103,23340,26454,1140,15
104,23340,26879,540,29
105,23340,26654,1740,36
106,23340,26355,3540,32
107,23340,26835,540,4
108,23340,26363,1080,33
109,23340,28936,1080,11
110,23340,26205,660,37
111,23340,25839,1140,63
112,23400,26873,600,30
113,23400,27719,600,19
114,23400,26077,600,45
115,23400,26462,0,67
116,23400,26416,1020,62
117,23400,26393,1800,58
118,23400,26948,0,72
119,23400,27896,0,38
120,23460,26919,0,66
121,23460,25970,660,44
122,23460,27585,660,18
123,23520,27161,1920,50
124,23520,26586,1920,49
125,23520,27071,0,35
126,23520,26593,1920,48
127,23520,27821,720,40
128,23520,28330,1920,55
129,23580,28267,3780,16
130,23580,26308,1860,21
131,23580,28391,780,41
132,23580,26772,1380,6
133,23580,27218,3780,23
134,23580,26989,0,27
135,23640,29165,2040,70
136,23640,26580,1860,52
137,23640,26765,1440,47
138,23700,27050,900,5
139,23700,27994,900,31
140,23820,26993,1620,20
141,23820,26460,2220,68
142,23820,26835,4020,32
143,23820,26843,1560,33
144,23880,27067,600,26
145,23940,27006,2340,49
146,23940,27479,1140,29
147,23940,29536,1680,11
148,23940,27132,1740,6
149,23940,27054,1740,15
150,23940,28645,3540,12
151,23940,27013,2340,48
152,23940,26933,2340,58
153,23940,28750,2340,55
154,23940,27254,2340,36
155,24000,28313,0,13
156,24000,27404,1200,28
157,24000,26864,0,53
158,24000,27473,1200,30
159,24000,28319,1200,19
160,24000,27549,0,34
161,24000,27016,1620,62
162,24060,27057,0,59
163,24060,27701,2460,50
164,24060,27233,1860,20
165,24060,26788,2340,21
166,24120,30205,2520,17
167,24120,28724,0,54
168,24120,27245,1920,47
169,24120,27543,2520,3
170,24120,28411,2520,39
